"# ------------------------------------"
"Report: Top Countries"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2017-11-09 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_yvoq2h6v"
"# ------------------------------------"
object_id,country,coordinates,count_plays,count_plays_25,count_plays_50,count_plays_75,count_plays_100,play_through_ratio,unique_known_users,avg_view_drop_off,count_loads
CO,Colombia,4/-73.25,38,22,16,15,12,0.31578947368421,2,0.42763157894737,92
BR,Brazil,'-10/-55,14,5,4,4,4,0.28571428571429,1,0.30357142857143,28
EC,Ecuador,'-1.25/-78.25,13,6,5,4,3,0.23076923076923,1,0.34615384615385,28
PE,Peru,'-10/-75.25,11,4,2,2,0,0,1,0.18181818181818,28
MX,Mexico,23/-102,8,4,3,2,1,0.125,1,0.3125,13
AR,Argentina,'-34/-64,5,2,2,2,1,0.2,1,0.35,15
UY,Uruguay,'-33/-56,2,0,0,0,0,0,1,0,6
BO,"Bolivia, Plurinational State of",'-17/-65,1,1,1,0,0,0,1,0.5,1
CL,Chile,'-30/-71,1,1,1,1,0,0,1,0.75,9
PA,Panama,9/-80,1,0,0,0,0,0,1,0,1
BE,Belgium,50.75/4.5,0,0,0,0,0,0,0,0,1
CA,Canada,60.10867/-113.64258,0,0,0,0,0,0,0,0,1
DE,Germany,51.5/10.5,0,0,0,0,0,0,0,0,4
IL,Israel,31.5/34.75,0,0,0,0,0,0,0,0,4
IT,Italy,42.83333/12.83333,0,0,0,0,0,0,0,0,2
PT,Portugal,39.6945/-8.13057,0,0,0,0,0,0,0,0,1
ES,Spain,40/-4,0,0,0,0,0,0,0,0,3
SE,Sweden,62/15,0,0,0,0,0,0,0,0,1
UK,"United Kingdom",54.75844/-2.69531,0,0,0,0,0,0,0,0,3
US,"United States",39.76/-98.5,0,0,0,0,0,0,0,0,13

