"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2018-05-07 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_6mgr9b6i"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20180507,2,3.5,1.75,5,2,0.375,0,0
20180508,1,4.6666666666667,4.6666666666667,1,1,1,0,0
20180509,0,0,0,0,0,0,0,0
20180510,0,0,0,0,0,0,0,0
20180511,15,52.5,3.5,28,1,0.75,0,0
20180512,19,75.833333333333,3.9912280701754,34,1,0.85526315789474,0,0
20180513,9,31.5,3.5,17,1,0.75,0,0
20180514,11,33.833333333333,3.0757575757576,13,1,0.65909090909091,0,0
20180515,8,25.666666666667,3.2083333333333,11,1,0.6875,0,0
20180516,2,8.1666666666667,4.0833333333333,4,1,0.875,0,0
20180517,11,36.166666666667,3.2878787878788,15,1,0.70454545454545,0,0
20180518,7,22.166666666667,3.1666666666667,13,1,0.67857142857143,0,0
20180519,6,15.166666666667,2.5277777777778,8,1,0.54166666666667,0,0
20180520,7,28,4,10,1,0.85714285714286,0,0
20180521,8,24.5,3.0625,13,1,0.65625,0,0
20180522,8,29.166666666667,3.6458333333333,10,1,0.78125,0,0
20180523,6,16.333333333333,2.7222222222222,9,1,0.58333333333333,0,0
20180524,5,16.333333333333,3.2666666666667,5,1,0.7,0,0
20180525,4,12.833333333333,3.2083333333333,8,1,0.6875,0,0
20180526,5,14,2.8,8,1,0.6,0,0
20180527,8,30.333333333333,3.7916666666667,11,1,0.8125,0,0
20180528,6,25.666666666667,4.2777777777778,9,1,0.91666666666667,0,0
20180529,5,14,2.8,7,1,0.6,0,0
20180530,3,11.666666666667,3.8888888888889,5,1,0.83333333333333,0,0
20180531,3,15.166666666667,5.0555555555556,6,1,1.0833333333333,0,0
20180601,7,18.666666666667,2.6666666666667,11,1,0.57142857142857,0,0
20180602,8,23.333333333333,2.9166666666667,14,1,0.625,0,0
20180603,6,19.833333333333,3.3055555555556,10,1,0.70833333333333,0,0
20180604,8,21,2.625,11,1,0.5625,0,0
20180605,7,22.166666666667,3.1666666666667,9,1,0.67857142857143,0,0
20180606,2,4.6666666666667,2.3333333333333,4,1,0.5,0,0
20180607,2,8.1666666666667,4.0833333333333,5,1,0.875,0,0
20180608,1,3.5,3.5,1,1,0.75,0,0
20180609,6,14,2.3333333333333,8,1,0.5,0,0
20180610,8,31.5,3.9375,10,1,0.84375,0,0
20180611,10,30.333333333333,3.0333333333333,12,1,0.65,0,0
20180612,7,19.833333333333,2.8333333333333,10,1,0.60714285714286,0,0
20180613,5,21,4.2,8,1,0.9,0,0
20180614,3,12.833333333333,4.2777777777778,10,1,0.91666666666667,0,0
20180615,2,7,3.5,3,1,0.75,0,0
20180616,2,9.3333333333333,4.6666666666667,6,1,1,0,0
20180617,5,18.666666666667,3.7333333333333,7,1,0.8,0,0
20180618,5,19.833333333333,3.9666666666667,8,1,0.85,0,0
20180619,1,4.6666666666667,4.6666666666667,1,1,1,0,0
20180620,4,16.333333333333,4.0833333333333,7,1,0.875,0,0
20180621,2,9.3333333333333,4.6666666666667,2,1,1,0,0
20180622,2,2.3333333333333,1.1666666666667,3,1,0.25,0,0
20180623,2,3.5,1.75,4,1,0.375,0,0
20180624,6,28,4.6666666666667,9,1,1,0,0
20180625,4,11.666666666667,2.9166666666667,5,1,0.625,0,0
20180626,4,16.333333333333,4.0833333333333,5,1,0.875,0,0
20180627,2,5.8333333333333,2.9166666666667,4,1,0.625,0,0
20180628,2,7,3.5,2,1,0.75,0,0
20180629,2,1.1666666666667,0.58333333333333,3,1,0.125,0,0
20180630,4,15.166666666667,3.7916666666667,5,1,0.8125,0,0
20180701,6,23.333333333333,3.8888888888889,8,1,0.83333333333333,0,0
20180702,5,14,2.8,10,1,0.6,0,0
20180703,4,15.166666666667,3.7916666666667,4,1,0.8125,0,0
20180704,3,12.833333333333,4.2777777777778,5,1,0.91666666666667,0,0
20180705,1,3.5,3.5,5,1,0.75,0,0
20180706,5,17.5,3.5,5,1,0.75,0,0
20180707,5,19.833333333333,3.9666666666667,7,1,0.85,0,0
20180708,12,26.833333333333,2.2361111111111,22,1,0.47916666666667,0,0
20180709,6,19.833333333333,3.3055555555556,8,1,0.70833333333333,0,0
20180710,6,21,3.5,8,1,0.75,0,0
20180711,4,15.166666666667,3.7916666666667,9,1,0.8125,0,0
20180712,3,10.5,3.5,9,1,0.75,0,0
20180713,6,26.833333333333,4.4722222222222,11,1,0.95833333333333,0,0
20180714,3,10.5,3.5,5,1,0.75,0,0
20180715,3,3.5,1.1666666666667,7,1,0.25,0,0
20180716,5,14,2.8,6,1,0.6,0,0
20180717,3,10.5,3.5,3,1,0.75,0,0
20180718,5,10.5,2.1,8,1,0.45,0,0
20180719,2,8.1666666666667,4.0833333333333,5,1,0.875,0,0
20180720,4,16.333333333333,4.0833333333333,7,1,0.875,0,0
20180721,8,28,3.5,12,1,0.75,0,0
20180722,4,15.166666666667,3.7916666666667,7,1,0.8125,0,0
20180723,7,19.833333333333,2.8333333333333,8,1,0.60714285714286,0,0
20180724,3,5.8333333333333,1.9444444444444,6,1,0.41666666666667,0,0
20180725,3,9.3333333333333,3.1111111111111,4,1,0.66666666666667,0,0
20180726,1,0,0,3,1,0,0,0
20180727,0,0,0,0,0,0,0,0
20180728,0,0,0,0,0,0,0,0
20180729,0,0,0,1,1,0,0,0
20180730,4,9.3333333333333,2.3333333333333,6,1,0.5,0,0
20180731,0,0,0,1,1,0,0,0
20180801,0,0,0,3,1,0,0,0
20180802,2,8.1666666666667,4.0833333333333,2,1,0.875,0,0
20180803,3,8.1666666666667,2.7222222222222,3,1,0.58333333333333,0,0
20180804,3,9.3333333333333,3.1111111111111,5,1,0.66666666666667,0,0
20180805,1,4.6666666666667,4.6666666666667,2,1,1,0,0
20180806,2,5.8333333333333,2.9166666666667,4,1,0.625,0,0
20180807,1,3.5,3.5,2,1,0.75,0,0
20180808,1,0,0,2,1,0,0,0
20180809,0,0,0,1,1,0,0,0
20180810,0,0,0,0,0,0,0,0
20180811,3,10.5,3.5,4,1,0.75,0,0
20180812,3,12.833333333333,4.2777777777778,5,1,0.91666666666667,0,0
20180813,0,0,0,0,0,0,0,0
20180814,0,0,0,0,0,0,0,0
20180815,3,8.1666666666667,2.7222222222222,6,1,0.58333333333333,0,0
20180816,0,0,0,1,1,0,0,0
20180817,2,9.3333333333333,4.6666666666667,4,1,1,0,0
20180818,2,7,3.5,2,1,0.75,0,0
20180819,1,4.6666666666667,4.6666666666667,2,1,1,0,0
20180820,2,0,0,3,1,0,0,0
20180821,0,0,0,0,0,0,0,0
20180822,3,4.6666666666667,1.5555555555556,5,1,0.33333333333333,0,0
20180823,0,0,0,1,1,0,0,0
20180824,0,0,0,1,1,0,0,0
20180825,3,8.1666666666667,2.7222222222222,4,1,0.58333333333333,0,0
20180826,4,12.833333333333,3.2083333333333,8,1,0.6875,0,0
20180827,3,3.5,1.1666666666667,4,1,0.25,0,0
20180828,1,4.6666666666667,4.6666666666667,2,1,1,0,0
20180829,1,3.5,3.5,1,1,0.75,0,0
20180830,3,12.833333333333,4.2777777777778,4,1,0.91666666666667,0,0
20180831,0,0,0,0,0,0,0,0
20180901,0,0,0,0,0,0,0,0
20180902,2,7,3.5,5,1,0.75,0,0
20180903,3,8.1666666666667,2.7222222222222,3,1,0.58333333333333,0,0
20180904,0,0,0,0,0,0,0,0
20180905,1,3.5,3.5,1,1,0.75,0,0
20180906,0,0,0,1,1,0,0,0
20180907,8,26.833333333333,3.3541666666667,15,1,0.71875,0,0
20180908,56,157.5,2.8125,93,1,0.60267857142857,0,0
20180909,69,212.33333333333,3.0772946859903,126,1,0.65942028985507,0,0
20180910,39,121.33333333333,3.1111111111111,70,1,0.66666666666667,0,0
20180911,25,75.833333333333,3.0333333333333,46,1,0.65,0,0
20180912,33,99.166666666667,3.0050505050505,57,1,0.64393939393939,0,0
20180913,22,54.833333333333,2.4924242424242,39,1,0.53409090909091,0,0
20180914,21,64.166666666667,3.0555555555556,40,1,0.6547619047619,0,0
20180915,10,28,2.8,25,1,0.6,0,0
20180916,21,75.833333333333,3.6111111111111,33,1,0.77380952380952,0,0
20180917,13,39.666666666667,3.0512820512821,18,1,0.65384615384615,0,0
20180918,17,43.166666666667,2.5392156862745,30,1,0.54411764705882,0,0
20180919,14,37.333333333333,2.6666666666667,29,1,0.57142857142857,0,0
20180920,14,44.333333333333,3.1666666666667,23,1,0.67857142857143,0,0
20180921,12,43.166666666667,3.5972222222222,18,1,0.77083333333333,0,0
20180922,7,15.166666666667,2.1666666666667,14,1,0.46428571428571,0,0
20180923,15,47.833333333333,3.1888888888889,22,1,0.68333333333333,0,0
20180924,8,18.666666666667,2.3333333333333,12,1,0.5,0,0
20180925,16,45.5,2.84375,18,1,0.609375,0,0
20180926,11,35,3.1818181818182,19,1,0.68181818181818,0,0
20180927,9,24.5,2.7222222222222,12,1,0.58333333333333,0,0
20180928,6,19.833333333333,3.3055555555556,8,1,0.70833333333333,0,0
20180929,13,43.166666666667,3.3205128205128,21,1,0.71153846153846,0,0
20180930,11,30.333333333333,2.7575757575758,18,1,0.59090909090909,0,0
20181001,2,4.6666666666667,2.3333333333333,9,1,0.5,0,0
20181002,6,7,1.1666666666667,7,1,0.25,0,0
20181003,3,9.3333333333333,3.1111111111111,6,1,0.66666666666667,0,0
20181004,4,9.3333333333333,2.3333333333333,5,1,0.5,0,0
