"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2016-07-01 05:00:00 - 2020-08-02 04:59:59 (GMT)"
"Filtered entries: 0_zdlik3ml"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20160701,1,48.083333333333,48.083333333333,1,1,0.5,0,0
20160702,1,0,0,1,1,0,0,0
20160703,0,0,0,1,1,0,0,0
20160704,4,0,0,5,2,0,0,0
20160705,2,48.083333333333,24.041666666667,2,2,0.25,0,0
20160706,2,168.28333333333,84.141666666667,2,1,0.875,0,0
20160707,0,0,0,0,0,0,0,0
20160708,0,0,0,0,0,0,0,0
20160709,0,0,0,0,0,0,0,0
20160710,0,0,0,0,0,0,0,0
20160711,0,0,0,0,0,0,0,0
20160712,0,0,0,0,0,0,0,0
20160713,0,0,0,2,1,0,0,0
20160714,0,0,0,7,1,0,0,0
20160715,0,0,0,0,0,0,0,0
20160716,2,96.166666666667,48.083333333333,2,1,0.5,0,0
20160717,0,0,0,0,0,0,0,0
20160718,0,0,0,0,0,0,0,0
20160719,0,0,0,1,1,0,0,0
20160720,3,24.033333333333,8.0111111111111,4,1,0.083333333333333,0,0
20160721,0,0,0,2,1,0,0,0
20160722,12,504.81666666667,42.068055555556,16,1,0.4375,0,0
20160723,2,24.033333333333,12.016666666667,6,1,0.125,0,0
20160724,1,0,0,2,1,0,0,0
20160725,0,0,0,5,1,0,0,0
20160726,1,0,0,1,1,0,0,0
20160727,2,72.116666666667,36.058333333333,7,1,0.375,0,0
20160728,0,0,0,1,1,0,0,0
20160729,0,0,0,1,1,0,0,0
20160730,1,24.033333333333,24.033333333333,2,1,0.25,0,0
20160731,3,240.41666666667,80.138888888889,3,1,0.83333333333333,0,0
20160801,1,96.166666666667,96.166666666667,2,1,1,0,0
20160802,1,0,0,4,1,0,0,0
20160803,36,769.3,21.369444444444,50,1,0.22222222222222,0,0
20160804,28,889.51666666667,31.768452380952,49,1,0.33035714285714,0,0
20160805,14,504.86666666667,36.061904761905,18,1,0.375,0,0
20160806,7,312.53333333333,44.647619047619,18,1,0.46428571428571,0,0
20160807,3,96.166666666667,32.055555555556,10,1,0.33333333333333,0,0
20160808,2,24.033333333333,12.016666666667,3,1,0.125,0,0
20160809,4,96.166666666667,24.041666666667,9,1,0.25,0,0
20160810,7,192.33333333333,27.47619047619,13,1,0.28571428571429,0,0
20160811,1,96.166666666667,96.166666666667,2,1,1,0,0
20160812,3,240.41666666667,80.138888888889,3,1,0.83333333333333,0,0
20160813,2,96.166666666667,48.083333333333,7,1,0.5,0,0
20160814,1,0,0,2,1,0,0,0
20160815,1,0,0,3,1,0,0,0
20160816,3,96.166666666667,32.055555555556,6,1,0.33333333333333,0,0
20160817,10,120.2,12.02,18,1,0.125,0,0
