"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2019-08-30 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 1_6vlq4ph2"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20190830,0,0,0,0,0,0,0,0
20190831,0,0,0,0,0,0,0,0
20190901,0,0,0,0,0,0,0,0
20190902,0,0,0,1,1,0,0,0
20190903,17,456.11666666667,26.830392156863,49,2,0.29411764705882,25.882352941176,0
20190904,36,615.78333333333,17.105092592593,65,1,0.1875,18.388888888889,0
20190905,25,684.2,27.368,36,1,0.3,35.32,0
20190906,20,729.8,36.49,38,1,0.4,48.45,0
20190907,21,547.36666666667,26.065079365079,33,1,0.28571428571429,28.952380952381,0
20190908,32,501.73333333333,15.679166666667,61,1,0.171875,18.25,0
20190909,24,456.11666666667,19.004861111111,39,1,0.20833333333333,23.083333333333,0
20190910,44,638.53333333333,14.512121212121,68,2,0.15909090909091,13,0
20190911,53,1026.25,19.36320754717,92,1,0.2122641509434,21.528301886792,0
20190912,38,866.63333333333,22.806140350877,69,1,0.25,22.894736842105,0
20190913,52,1026.3333333333,19.737179487179,88,1,0.21634615384615,20.711538461538,0
20190914,51,1140.3,22.358823529412,80,1,0.24509803921569,25.705882352941,0
20190915,45,980.66666666667,21.792592592593,61,1,0.23888888888889,20.933333333333,0
20190916,44,1003.5,22.806818181818,88,1,0.25,25.681818181818,0
20190917,57,729.78333333333,12.803216374269,80,1,0.14035087719298,13.561403508772,0
20190918,29,456.11666666667,15.72816091954,47,1,0.17241379310345,14.172413793103,0
20190919,31,319.3,10.3,54,1,0.11290322580645,15.967741935484,0
20190920,30,957.88333333333,31.929444444444,53,1,0.35,36.033333333333,0
20190921,21,547.38333333333,26.065873015873,36,1,0.28571428571429,26.52380952381,0
20190922,31,1049.0666666667,33.840860215054,43,1,0.37096774193548,26.193548387097,0
20190923,23,706.98333333333,30.738405797101,43,1,0.33695652173913,39,0
20190924,12,296.46666666667,24.705555555556,26,1,0.27083333333333,25.5,0
20190925,27,456.11666666667,16.893209876543,39,1,0.18518518518519,23.888888888889,0
20190926,13,342.08333333333,26.314102564103,22,1,0.28846153846154,38.692307692308,0
20190927,8,205.25,25.65625,18,1,0.28125,36.5,0
20190928,14,319.3,22.807142857143,26,1,0.25,27.571428571429,0
20190929,14,456.13333333333,32.580952380952,31,1,0.35714285714286,37.214285714286,0
20190930,15,433.33333333333,28.888888888889,22,1,0.31666666666667,24.266666666667,0
20191001,21,615.75,29.321428571429,23,1,0.32142857142857,23.142857142857,0
20191002,10,250.86666666667,25.086666666667,17,1,0.275,34.2,0
