"# ------------------------------------"
"Report: Top Countries"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2020-06-10 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 1_i4axjvij"
"# ------------------------------------"
object_id,country,coordinates,count_plays,count_plays_25,count_plays_50,count_plays_75,count_plays_100,play_through_ratio,unique_known_users,avg_view_drop_off,count_loads
CO,Colombia,4/-73.25,164,84,72,61,9,0.054878048780488,2,0.34451219512195,372
AR,Argentina,'-34/-64,0,0,0,0,0,0,0,0,22
BE,Belgium,50.75/4.5,0,0,0,0,0,0,0,0,1
BO,"Bolivia, Plurinational State of",'-17/-65,0,0,0,0,0,0,0,0,3
BR,Brazil,'-10/-55,0,0,0,0,0,0,0,0,61
CA,Canada,60.10867/-113.64258,0,0,0,0,0,0,0,0,6
CL,Chile,'-30/-71,0,0,0,0,0,0,0,0,3
CR,"Costa Rica",10/-84,0,0,0,0,0,0,0,0,3
EC,Ecuador,'-1.25/-78.25,0,0,0,0,0,0,0,0,16
SV,"El Salvador",13.83333/-88.91667,0,0,0,0,0,0,0,0,1
DE,Germany,51.5/10.5,0,0,0,0,0,0,0,0,1
IT,Italy,42.83333/12.83333,0,0,0,0,0,0,0,0,1
MX,Mexico,23/-102,0,0,0,0,0,0,0,0,35
PA,Panama,9/-80,0,0,0,0,0,0,0,0,1
PE,Peru,'-10/-75.25,0,0,0,0,0,0,0,0,14
RU,"Russian Federation",60/100,0,0,0,0,0,0,0,0,2
ES,Spain,40/-4,0,0,0,0,0,0,0,0,2
CH,Switzerland,47.00016/8.01427,0,0,0,0,0,0,0,0,1
UK,"United Kingdom",54.75844/-2.69531,0,0,0,0,0,0,0,0,1
US,"United States",39.76/-98.5,0,0,0,0,0,0,0,0,15
UY,Uruguay,'-33/-56,0,0,0,0,0,0,0,0,21
VE,"Venezuela, Bolivarian Republic of",8/-66,0,0,0,0,0,0,0,0,2

