"# ------------------------------------"
"Report: Top Countries"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2019-10-02 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 1_teq5wviz"
"# ------------------------------------"
object_id,country,coordinates,count_plays,count_plays_25,count_plays_50,count_plays_75,count_plays_100,play_through_ratio,unique_known_users,avg_view_drop_off,count_loads
EC,Ecuador,'-1.25/-78.25,186,124,104,89,34,0.18279569892473,1,0.47177419354839,266
CO,Colombia,4/-73.25,77,32,24,19,11,0.14285714285714,1,0.27922077922078,211
AR,Argentina,'-34/-64,21,7,5,3,2,0.095238095238095,1,0.20238095238095,40
MX,Mexico,23/-102,16,6,6,5,4,0.25,1,0.328125,49
BR,Brazil,'-10/-55,9,1,1,1,0,0,1,0.083333333333333,22
PE,Peru,'-10/-75.25,6,3,3,2,1,0.16666666666667,1,0.375,47
UY,Uruguay,'-33/-56,6,2,2,2,1,0.16666666666667,1,0.29166666666667,11
CL,Chile,'-30/-71,4,1,0,0,0,0,1,0.0625,12
BO,"Bolivia, Plurinational State of",'-17/-65,3,2,2,2,1,0.33333333333333,1,0.58333333333333,8
US,"United States",39.76/-98.5,1,0,0,0,0,0,1,0,20
VE,"Venezuela, Bolivarian Republic of",8/-66,1,0,0,0,0,0,1,0,1
,'-,,0,0,0,0,0,0,0,0,3
AU,Australia,'-25/135,0,0,0,0,0,0,0,0,1
FI,Finland,64/26,0,0,0,0,0,0,0,0,1
FR,France,46/2,0,0,0,0,0,0,0,0,3
DE,Germany,51.5/10.5,0,0,0,0,0,0,0,0,4
IT,Italy,42.83333/12.83333,0,0,0,0,0,0,0,0,2
NO,Norway,62/10,0,0,0,0,0,0,0,0,1
PY,Paraguay,'-23.33333/-58,0,0,0,0,0,0,0,0,2
PT,Portugal,39.6945/-8.13057,0,0,0,0,0,0,0,0,2
ES,Spain,40/-4,0,0,0,0,0,0,0,0,3
UK,"United Kingdom",54.75844/-2.69531,0,0,0,0,0,0,0,0,1

