"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2019-02-26 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_ecxj5pl2"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20190226,1,4,4,2,2,0.75,26,0
20190227,0,0,0,0,0,0,0,0
20190228,0,0,0,0,0,0,0,0
20190301,0,0,0,0,0,0,0,0
20190302,0,0,0,0,0,0,0,0
20190303,0,0,0,0,0,0,0,0
20190304,0,0,0,0,0,0,0,0
20190305,0,0,0,0,0,0,0,0
20190306,1,4,4,1,1,0.75,84,0
20190307,0,0,0,0,0,0,0,0
20190308,0,0,0,0,0,0,0,0
20190309,0,0,0,0,0,0,0,0
20190310,0,0,0,0,0,0,0,0
20190311,0,0,0,0,0,0,0,0
20190312,0,0,0,0,0,0,0,0
20190313,0,0,0,3,2,0,0,0
20190314,22,76,3.4545454545455,40,1,0.64772727272727,79.227272727273,0
20190315,23,78.666666666667,3.4202898550725,44,1,0.64130434782609,76.739130434783,0
20190316,26,86.666666666667,3.3333333333333,44,1,0.625,72.307692307692,0
20190317,22,77.333333333333,3.5151515151515,40,1,0.65909090909091,76.954545454545,0
20190318,22,72,3.2727272727273,38,1,0.61363636363636,65.454545454545,0
20190319,21,72,3.4285714285714,35,1,0.64285714285714,72.666666666667,0
20190320,22,74.666666666667,3.3939393939394,32,1,0.63636363636364,64.318181818182,0
20190321,20,64,3.2,37,1,0.6,70.1,0
20190322,8,28,3.5,11,1,0.65625,76.625,0
20190323,16,53.333333333333,3.3333333333333,30,1,0.625,72.3125,0
20190324,21,76,3.6190476190476,28,1,0.67857142857143,75.47619047619,0
20190325,17,49.333333333333,2.9019607843137,28,1,0.54411764705882,60.352941176471,0
20190326,7,29.333333333333,4.1904761904762,14,1,0.78571428571429,97.714285714286,0
20190327,14,42.666666666667,3.047619047619,25,1,0.57142857142857,57.642857142857,0
20190328,6,4,0.66666666666667,17,1,0.125,20.666666666667,0
20190329,12,42.666666666667,3.5555555555556,15,1,0.66666666666667,60.75,0
20190330,12,46.666666666667,3.8888888888889,19,1,0.72916666666667,83.416666666667,0
20190331,12,45.333333333333,3.7777777777778,16,1,0.70833333333333,76.333333333333,0
20190401,11,33.333333333333,3.030303030303,20,1,0.56818181818182,56,0
20190402,10,45.333333333333,4.5333333333333,17,1,0.85,93.4,0
20190403,6,20,3.3333333333333,9,1,0.625,71.333333333333,0
20190404,4,12,3,10,1,0.5625,69.25,0
20190405,4,16,4,12,1,0.75,75,0
20190406,15,49.333333333333,3.2888888888889,24,1,0.61666666666667,69.666666666667,0
20190407,16,58.666666666667,3.6666666666667,25,1,0.6875,68.75,0
20190408,4,17.333333333333,4.3333333333333,7,1,0.8125,86.75,0
20190409,8,30.666666666667,3.8333333333333,15,1,0.71875,82.25,0
20190410,6,26.666666666667,4.4444444444444,15,1,0.83333333333333,107.83333333333,0
20190411,4,16,4,11,1,0.75,73.75,0
20190412,6,21.333333333333,3.5555555555556,8,1,0.66666666666667,79.666666666667,0
20190413,7,32,4.5714285714286,12,1,0.85714285714286,94.571428571429,0
20190414,5,20,4,13,1,0.75,59,0
20190415,8,24,3,11,1,0.5625,63.125,0
20190416,6,22.666666666667,3.7777777777778,12,1,0.70833333333333,78.333333333333,0
20190417,4,16,4,7,1,0.75,71,0
20190418,6,18.666666666667,3.1111111111111,8,1,0.58333333333333,63.5,0
20190419,5,16,3.2,7,1,0.6,66.4,0
20190420,1,5.3333333333333,5.3333333333333,6,1,1,96,0
20190421,3,14.666666666667,4.8888888888889,5,1,0.91666666666667,124.66666666667,0
20190422,5,17.333333333333,3.4666666666667,11,1,0.65,77.6,0
20190423,2,5.3333333333333,2.6666666666667,5,1,0.5,64.5,0
20190424,4,17.333333333333,4.3333333333333,6,1,0.8125,94.5,0
20190425,3,13.333333333333,4.4444444444444,3,1,0.83333333333333,88.666666666667,0
20190426,4,13.333333333333,3.3333333333333,4,1,0.625,101.5,0
