"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2018-07-12 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 1_1h4p0nww"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20180712,2,19,9.5,8,2,0.375,0,0
20180713,18,177.38333333333,9.8546296296296,29,1,0.38888888888889,0,0
20180714,14,126.7,9.05,23,1,0.35714285714286,0,0
20180715,10,76.016666666667,7.6016666666667,17,1,0.3,0,0
20180716,9,95.033333333333,10.559259259259,15,1,0.41666666666667,0,0
20180717,12,171.05,14.254166666667,14,1,0.5625,0,0
20180718,14,196.35,14.025,19,1,0.55357142857143,0,0
20180719,4,57,14.25,10,1,0.5625,0,0
20180720,4,44.35,11.0875,6,1,0.4375,0,0
20180721,7,76.016666666667,10.859523809524,9,1,0.42857142857143,0,0
20180722,12,196.38333333333,16.365277777778,18,1,0.64583333333333,0,0
20180723,5,63.35,12.67,11,1,0.5,0,0
20180724,9,101.36666666667,11.262962962963,18,1,0.44444444444444,0,0
20180725,15,152.03333333333,10.135555555556,21,1,0.4,0,0
20180726,11,152.03333333333,13.821212121212,13,1,0.54545454545455,0,0
20180727,7,101.33333333333,14.47619047619,11,1,0.57142857142857,0,0
20180728,7,107.68333333333,15.383333333333,9,1,0.60714285714286,0,0
20180729,8,82.333333333333,10.291666666667,15,1,0.40625,0,0
20180730,5,82.366666666667,16.473333333333,7,1,0.65,0,0
20180731,5,88.683333333333,17.736666666667,12,1,0.7,0,0
20180801,10,171.01666666667,17.101666666667,15,1,0.675,0,0
20180802,2,31.666666666667,15.833333333333,5,1,0.625,0,0
20180803,6,101.35,16.891666666667,7,1,0.66666666666667,0,0
20180804,4,57,14.25,9,1,0.5625,0,0
20180805,5,50.666666666667,10.133333333333,9,1,0.4,0,0
20180806,1,19,19,5,1,0.75,0,0
20180807,4,38.016666666667,9.5041666666667,12,1,0.375,0,0
20180808,2,38,19,5,1,0.75,0,0
20180809,6,76.016666666667,12.669444444444,8,1,0.5,0,0
20180810,3,69.7,23.233333333333,3,1,0.91666666666667,0,0
20180811,6,120.38333333333,20.063888888889,8,1,0.79166666666667,0,0
20180812,5,76,15.2,13,1,0.6,0,0
20180813,5,57,11.4,6,1,0.45,0,0
20180814,4,101.38333333333,25.345833333333,5,1,1,0,0
20180815,2,38,19,4,1,0.75,0,0
20180816,1,19,19,1,1,0.75,0,0
20180817,2,19,9.5,4,1,0.375,0,0
20180818,1,19,19,2,1,0.75,0,0
20180819,0,0,0,2,1,0,0,0
20180820,3,57,19,6,1,0.75,0,0
20180821,2,50.7,25.35,2,1,1,0,0
20180822,2,38,19,2,1,0.75,0,0
20180823,0,0,0,0,0,0,0,0
20180824,0,0,0,0,0,0,0,0
20180825,2,25.333333333333,12.666666666667,4,1,0.5,0,0
20180826,2,25.333333333333,12.666666666667,3,1,0.5,0,0
20180827,1,0,0,2,1,0,0,0
20180828,4,31.666666666667,7.9166666666667,4,1,0.3125,0,0
20180829,2,31.683333333333,15.841666666667,2,1,0.625,0,0
20180830,3,12.666666666667,4.2222222222222,5,1,0.16666666666667,0,0
20180831,1,19,19,2,1,0.75,0,0
20180901,2,0,0,2,1,0,0,0
20180902,1,19,19,4,1,0.75,0,0
20180903,1,19,19,1,1,0.75,0,0
20180904,3,57,19,3,1,0.75,0,0
20180905,3,38,12.666666666667,3,1,0.5,0,0
20180906,0,0,0,1,1,0,0,0
20180907,24,304.03333333333,12.668055555556,39,1,0.5,0,0
20180908,127,1646.9666666667,12.968241469816,198,1,0.51181102362205,0,0
20180909,136,1995.3666666667,14.67181372549,244,1,0.57904411764706,0,0
20180910,69,918.48333333333,13.311352657005,142,1,0.52536231884058,0,0
20180911,64,943.86666666667,14.747916666667,118,1,0.58203125,0,0
20180912,57,582.68333333333,10.222514619883,94,1,0.40350877192982,0,0
20180913,41,532.08333333333,12.977642276423,69,1,0.51219512195122,0,0
20180914,29,361.06666666667,12.450574712644,48,1,0.49137931034483,0,0
20180915,15,234.38333333333,15.625555555556,36,1,0.61666666666667,0,0
20180916,28,430.71666666667,15.382738095238,45,1,0.60714285714286,0,0
20180917,14,190.03333333333,13.57380952381,21,1,0.53571428571429,0,0
20180918,10,183.71666666667,18.371666666667,19,1,0.725,0,0
20180919,12,190.01666666667,15.834722222222,22,1,0.625,0,0
20180920,12,158.36666666667,13.197222222222,23,1,0.52083333333333,0,0
20180921,10,120.35,12.035,17,1,0.475,0,0
20180922,19,310.4,16.336842105263,34,1,0.64473684210526,0,0
20180923,17,253.35,14.902941176471,36,1,0.58823529411765,0,0
20180924,10,88.683333333333,8.8683333333333,19,1,0.35,0,0
20180925,10,164.7,16.47,19,1,0.65,0,0
20180926,18,215.38333333333,11.965740740741,21,1,0.47222222222222,0,0
20180927,13,183.71666666667,14.132051282051,18,1,0.55769230769231,0,0
20180928,6,107.68333333333,17.947222222222,15,1,0.70833333333333,0,0
20180929,15,120.35,8.0233333333333,26,1,0.31666666666667,0,0
20180930,13,177.38333333333,13.644871794872,22,1,0.53846153846154,0,0
20181001,7,82.366666666667,11.766666666667,18,1,0.46428571428571,0,0
20181002,8,88.666666666667,11.083333333333,10,1,0.4375,0,0
20181003,8,114,14.25,12,1,0.5625,0,0
20181004,6,38,6.3333333333333,10,1,0.25,0,0
20181005,4,76,19,7,1,0.75,0,0
20181006,9,145.7,16.188888888889,15,1,0.63888888888889,0,0
20181007,6,95.033333333333,15.838888888889,12,1,0.625,0,0
20181008,11,152,13.818181818182,13,1,0.54545454545455,0,0
20181009,6,63.333333333333,10.555555555556,13,1,0.41666666666667,0,0
20181010,1,0,0,2,1,0,0,0
20181011,5,158.38333333333,31.676666666667,8,1,1.25,0,0
20181012,8,133.01666666667,16.627083333333,13,1,0.65625,0,0
20181013,9,76,8.4444444444444,15,1,0.33333333333333,0,0
20181014,6,82.35,13.725,10,1,0.54166666666667,0,0
20181015,1,12.666666666667,12.666666666667,5,1,0.5,0,0
20181016,8,139.35,17.41875,15,1,0.6875,0,0
20181017,4,31.666666666667,7.9166666666667,7,1,0.3125,0,0
20181018,22,126.7,5.7590909090909,23,1,0.22727272727273,0,0
20181019,3,50.683333333333,16.894444444444,8,1,0.66666666666667,0,0
20181020,8,158.4,19.8,14,1,0.78125,0,0
20181021,8,145.7,18.2125,11,1,0.71875,0,0
20181022,5,126.68333333333,25.336666666667,7,1,1,0,0
20181023,6,88.7,14.783333333333,11,1,0.58333333333333,0,0
20181024,4,88.683333333333,22.170833333333,5,1,0.875,0,0
20181025,0,0,0,3,1,0,0,0
20181026,2,31.666666666667,15.833333333333,4,1,0.625,0,0
20181027,3,57.016666666667,19.005555555556,6,1,0.75,0,0
20181028,4,63.35,15.8375,6,1,0.625,0,0
20181029,0,0,0,1,1,0,0,0
20181030,2,0,0,2,1,0,0,0
20181031,3,19,6.3333333333333,3,1,0.25,0,0
20181101,2,19,9.5,7,1,0.375,0,0
20181102,2,12.666666666667,6.3333333333333,4,1,0.25,0,0
20181103,2,25.35,12.675,5,1,0.5,0,0
20181104,4,44.35,11.0875,9,1,0.4375,0,0
20181105,1,19,19,2,1,0.75,0,0
20181106,3,38,12.666666666667,7,1,0.5,0,0
20181107,4,50.683333333333,12.670833333333,8,1,0.5,0,0
20181108,4,38,9.5,7,1,0.375,0,0
20181109,2,25.333333333333,12.666666666667,3,1,0.5,0,0
20181110,3,44.35,14.783333333333,4,1,0.58333333333333,0,0
20181111,6,107.68333333333,17.947222222222,8,1,0.70833333333333,0,0
20181112,2,25.35,12.675,3,1,0.5,0,0
20181113,2,38,19,3,1,0.75,0,0
20181114,4,88.7,22.175,6,1,0.875,0,0
20181115,3,63.35,21.116666666667,5,1,0.83333333333333,0,0
20181116,3,25.35,8.45,5,1,0.33333333333333,0,0
20181117,0,25.35,0,4,1,0,0,0
20181118,2,31.683333333333,15.841666666667,6,1,0.625,0,0
20181119,2,19,9.5,5,1,0.375,0,0
