"# ------------------------------------"
"Report: Top Countries"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2016-09-22 05:00:00 - 2020-08-02 04:59:59 (GMT)"
"Filtered entries: 0_oz92ee2q"
"# ------------------------------------"
object_id,country,coordinates,count_plays,count_plays_25,count_plays_50,count_plays_75,count_plays_100,play_through_ratio,unique_known_users,avg_view_drop_off,count_loads
UY,Uruguay,'-33/-56,82,50,41,30,11,0.13414634146341,1,0.40243902439024,98
AR,Argentina,'-34/-64,68,30,23,20,9,0.13235294117647,1,0.30147058823529,107
BR,Brazil,'-10/-55,32,10,6,4,3,0.09375,1,0.1796875,63
CO,Colombia,4/-73.25,28,12,7,6,4,0.14285714285714,2,0.25892857142857,75
MX,Mexico,23/-102,8,5,5,4,2,0.25,2,0.5,15
PA,Panama,9/-80,3,1,1,1,1,0.33333333333333,1,0.33333333333333,5
PE,Peru,'-10/-75.25,3,1,1,1,0,0,1,0.25,3
CL,Chile,'-30/-71,2,1,1,1,0,0,1,0.375,4
BO,"Bolivia, Plurinational State of",'-17/-65,1,0,0,0,0,0,1,0,1
CR,"Costa Rica",10/-84,1,1,1,0,0,0,1,0.5,2
EC,Ecuador,'-1.25/-78.25,1,1,1,1,1,1,1,1,3
DO,"Dominican Republic",19/-70.66667,0,0,0,0,0,0,0,0,1
FR,France,46/2,0,0,0,0,0,0,0,0,3
DE,Germany,51.5/10.5,0,0,0,0,0,0,0,0,5
GR,Greece,39/22,0,0,0,0,0,0,0,0,1
PY,Paraguay,'-23.33333/-58,0,0,0,0,0,0,0,0,1
PT,Portugal,39.6945/-8.13057,0,0,0,0,0,0,0,0,2
SK,Slovakia,48.66667/19.5,0,0,0,0,0,0,0,0,1
US,"United States",39.76/-98.5,0,0,0,0,0,0,0,0,3

