"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2016-01-01 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_wys6jw4d"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20160101,0,0,0,0,0,0,0,0
20160102,0,0,0,0,0,0,0,0
20160103,0,0,0,0,0,0,0,0
20160104,0,0,0,0,0,0,0,0
20160105,0,0,0,0,0,0,0,0
20160106,0,0,0,0,0,0,0,0
20160107,0,0,0,0,0,0,0,0
20160108,0,0,0,0,0,0,0,0
20160109,0,0,0,0,0,0,0,0
20160110,0,0,0,0,0,0,0,0
20160111,0,0,0,0,0,0,0,0
20160112,0,0,0,0,0,0,0,0
20160113,0,0,0,0,0,0,0,0
20160114,0,0,0,0,0,0,0,0
20160115,0,0,0,0,0,0,0,0
20160116,0,0,0,0,0,0,0,0
20160117,0,0,0,0,0,0,0,0
20160118,0,0,0,0,0,0,0,0
20160119,0,0,0,0,0,0,0,0
20160120,0,0,0,0,0,0,0,0
20160121,0,0,0,0,0,0,0,0
20160122,0,0,0,0,0,0,0,0
20160123,0,0,0,0,0,0,0,0
20160124,0,0,0,0,0,0,0,0
20160125,0,0,0,0,0,0,0,0
20160126,0,0,0,1,1,0,0,0
20160127,0,0,0,0,0,0,0,0
20160128,0,0,0,0,0,0,0,0
20160129,0,0,0,0,0,0,0,0
20160130,0,0,0,0,0,0,0,0
20160131,0,0,0,0,0,0,0,0
20160201,0,0,0,0,0,0,0,0
20160202,0,0,0,0,0,0,0,0
20160203,0,0,0,0,0,0,0,0
20160204,0,0,0,0,0,0,0,0
20160205,0,0,0,0,0,0,0,0
20160206,0,0,0,0,0,0,0,0
20160207,0,0,0,0,0,0,0,0
20160208,0,0,0,0,0,0,0,0
20160209,0,0,0,0,0,0,0,0
20160210,0,0,0,0,0,0,0,0
20160211,0,0,0,0,0,0,0,0
20160212,0,0,0,1,1,0,0,0
20160213,0,0,0,0,0,0,0,0
20160214,1,3.7,3.7,1,1,0.25,0,0
20160215,0,0,0,0,0,0,0,0
20160216,0,0,0,0,0,0,0,0
20160217,0,0,0,0,0,0,0,0
20160218,0,0,0,0,0,0,0,0
20160219,2,3.7,1.85,2,1,0.125,0,0
20160220,2,0,0,2,1,0,0,0
20160221,0,0,0,0,0,0,0,0
20160222,2,11.083333333333,5.5416666666667,4,1,0.375,0,0
20160223,0,0,0,1,1,0,0,0
20160224,1,0,0,1,1,0,0,0
20160225,0,0,0,0,0,0,0,0
20160226,0,0,0,0,0,0,0,0
20160227,0,0,0,0,0,0,0,0
20160228,0,0,0,0,0,0,0,0
20160229,1,11.083333333333,11.083333333333,1,1,0.75,0,0
20160301,0,0,0,3,1,0,0,0
20160302,0,0,0,1,1,0,0,0
20160303,0,0,0,0,0,0,0,0
20160304,3,25.85,8.6166666666667,11,1,0.58333333333333,0,0
20160305,4,18.466666666667,4.6166666666667,12,1,0.3125,0,0
20160306,2,22.166666666667,11.083333333333,5,1,0.75,0,0
20160307,10,66.5,6.65,17,1,0.45,0,0
20160308,2,11.083333333333,5.5416666666667,8,1,0.375,0,0
20160309,10,59.1,5.91,18,1,0.4,0,0
20160310,6,81.283333333333,13.547222222222,10,1,0.91666666666667,0,0
20160311,3,33.25,11.083333333333,11,1,0.75,0,0
20160312,5,59.116666666667,11.823333333333,9,1,0.8,0,0
20160313,6,62.816666666667,10.469444444444,9,1,0.70833333333333,0,0
20160314,4,22.166666666667,5.5416666666667,9,1,0.375,0,0
20160315,2,3.6833333333333,1.8416666666667,4,1,0.125,0,0
20160316,3,22.183333333333,7.3944444444444,3,1,0.5,0,0
20160317,3,33.25,11.083333333333,7,1,0.75,0,0
20160318,4,14.766666666667,3.6916666666667,5,1,0.25,0,0
20160319,3,33.25,11.083333333333,4,1,0.75,0,0
20160320,0,0,0,1,1,0,0,0
20160321,5,25.866666666667,5.1733333333333,5,1,0.35,0,0
20160322,0,0,0,0,0,0,0,0
20160323,1,11.083333333333,11.083333333333,2,1,0.75,0,0
20160324,1,0,0,1,1,0,0,0
20160325,6,73.9,12.316666666667,8,1,0.83333333333333,0,0
20160326,1,7.3833333333333,7.3833333333333,1,1,0.5,0,0
20160327,0,0,0,2,1,0,0,0
20160328,0,0,0,0,0,0,0,0
20160329,0,0,0,0,0,0,0,0
20160330,1,14.783333333333,14.783333333333,4,1,1,0,0
20160331,2,22.166666666667,11.083333333333,4,1,0.75,0,0
20160401,0,0,0,1,1,0,0,0
20160402,1,11.083333333333,11.083333333333,1,1,0.75,0,0
20160403,0,0,0,0,0,0,0,0
20160404,1,11.083333333333,11.083333333333,1,1,0.75,0,0
20160405,0,0,0,1,1,0,0,0
20160406,0,0,0,0,0,0,0,0
20160407,0,0,0,0,0,0,0,0
20160408,4,25.85,6.4625,4,1,0.4375,0,0
20160409,0,3.7,0,0,1,0,0,0
20160410,0,0,0,2,1,0,0,0
20160411,8,73.9,9.2375,9,1,0.625,0,0
20160412,5,48.033333333333,9.6066666666667,5,1,0.65,0,0
20160413,1,11.083333333333,11.083333333333,3,1,0.75,0,0
20160414,2,14.783333333333,7.3916666666667,2,1,0.5,0,0
20160415,2,25.866666666667,12.933333333333,6,1,0.875,0,0
20160416,1,3.6833333333333,3.6833333333333,1,1,0.25,0,0
20160417,1,3.6833333333333,3.6833333333333,3,1,0.25,0,0
20160418,2,11.083333333333,5.5416666666667,4,1,0.375,0,0
20160419,0,0,0,0,0,0,0,0
20160420,2,0,0,3,1,0,0,0
20160421,1,22.166666666667,22.166666666667,3,1,1.5,0,0
20160422,4,36.933333333333,9.2333333333333,7,1,0.625,0,0
20160423,4,44.333333333333,11.083333333333,8,1,0.75,0,0
20160424,3,33.25,11.083333333333,4,1,0.75,0,0
20160425,1,11.083333333333,11.083333333333,5,1,0.75,0,0
20160426,1,11.083333333333,11.083333333333,2,1,0.75,0,0
20160427,2,22.166666666667,11.083333333333,2,1,0.75,0,0
20160428,2,22.166666666667,11.083333333333,2,1,0.75,0,0
20160429,6,51.7,8.6166666666667,9,1,0.58333333333333,0,0
20160430,1,11.083333333333,11.083333333333,1,1,0.75,0,0
20160501,2,22.166666666667,11.083333333333,2,1,0.75,0,0
20160502,2,25.866666666667,12.933333333333,4,1,0.875,0,0
20160503,1,11.083333333333,11.083333333333,2,1,0.75,0,0
20160504,0,0,0,1,1,0,0,0
20160505,0,0,0,0,0,0,0,0
20160506,1,11.083333333333,11.083333333333,2,1,0.75,0,0
20160507,0,0,0,0,0,0,0,0
20160508,2,25.866666666667,12.933333333333,4,1,0.875,0,0
20160509,2,18.466666666667,9.2333333333333,2,1,0.625,0,0
20160510,2,22.166666666667,11.083333333333,2,1,0.75,0,0
20160511,0,0,0,0,0,0,0,0
20160512,0,0,0,0,0,0,0,0
20160513,4,36.95,9.2375,5,1,0.625,0,0
20160514,0,14.783333333333,0,0,1,0,0,0
20160515,0,0,0,1,1,0,0,0
20160516,1,11.083333333333,11.083333333333,1,1,0.75,0,0
20160517,0,0,0,3,1,0,0,0
20160518,0,0,0,0,0,0,0,0
20160519,0,0,0,0,0,0,0,0
20160520,1,11.083333333333,11.083333333333,2,1,0.75,0,0
20160521,1,11.083333333333,11.083333333333,4,1,0.75,0,0
20160522,0,0,0,0,0,0,0,0
20160523,0,0,0,0,0,0,0,0
20160524,0,0,0,0,0,0,0,0
20160525,2,11.083333333333,5.5416666666667,2,1,0.375,0,0
20160526,0,0,0,0,0,0,0,0
20160527,4,29.55,7.3875,5,1,0.5,0,0
20160528,1,0,0,1,1,0,0,0
20160529,5,59.116666666667,11.823333333333,7,1,0.8,0,0
20160530,0,0,0,0,0,0,0,0
20160531,2,11.083333333333,5.5416666666667,4,1,0.375,0,0
20160601,1,14.783333333333,14.783333333333,2,1,1,0,0
20160602,0,0,0,0,0,0,0,0
20160603,1,11.083333333333,11.083333333333,1,1,0.75,0,0
20160604,0,0,0,0,0,0,0,0
20160605,2,18.466666666667,9.2333333333333,2,1,0.625,0,0
20160606,0,0,0,0,0,0,0,0
20160607,1,11.083333333333,11.083333333333,1,1,0.75,0,0
20160608,2,11.083333333333,5.5416666666667,2,1,0.375,0,0
20160609,1,14.783333333333,14.783333333333,1,1,1,0,0
20160610,3,0,0,3,1,0,0,0
20160611,0,0,0,0,0,0,0,0
20160612,0,0,0,0,0,0,0,0
20160613,0,0,0,0,0,0,0,0
20160614,1,11.083333333333,11.083333333333,1,1,0.75,0,0
20160615,1,0,0,1,1,0,0,0
20160616,0,0,0,0,0,0,0,0
20160617,0,0,0,1,1,0,0,0
20160618,0,0,0,0,0,0,0,0
20160619,0,0,0,0,0,0,0,0
20160620,0,0,0,0,0,0,0,0
20160621,1,11.083333333333,11.083333333333,1,1,0.75,0,0
20160622,1,11.083333333333,11.083333333333,1,1,0.75,0,0
20160623,1,11.083333333333,11.083333333333,2,1,0.75,0,0
20160624,0,0,0,0,0,0,0,0
20160625,0,0,0,0,0,0,0,0
20160626,0,0,0,2,1,0,0,0
20160627,0,0,0,0,0,0,0,0
20160628,0,0,0,0,0,0,0,0
20160629,0,0,0,0,0,0,0,0
20160630,1,11.083333333333,11.083333333333,1,1,0.75,0,0
20160701,4,22.166666666667,5.5416666666667,6,1,0.375,0,0
20160702,1,0,0,3,1,0,0,0
20160703,0,0,0,1,1,0,0,0
20160704,0,0,0,0,0,0,0,0
20160705,0,0,0,0,0,0,0,0
20160706,0,0,0,0,0,0,0,0
20160707,0,0,0,0,0,0,0,0
20160708,0,0,0,0,0,0,0,0
20160709,0,0,0,0,0,0,0,0
20160710,0,0,0,0,0,0,0,0
20160711,0,0,0,0,0,0,0,0
20160712,0,0,0,0,0,0,0,0
20160713,1,14.783333333333,14.783333333333,2,1,1,0,0
20160714,1,11.083333333333,11.083333333333,1,1,0.75,0,0
20160715,1,3.6833333333333,3.6833333333333,2,1,0.25,0,0
20160716,0,0,0,2,1,0,0,0
20160717,0,0,0,1,1,0,0,0
20160718,1,11.083333333333,11.083333333333,1,1,0.75,0,0
20160719,0,0,0,0,0,0,0,0
20160720,0,0,0,0,0,0,0,0
20160721,1,11.083333333333,11.083333333333,2,1,0.75,0,0
20160722,1,11.083333333333,11.083333333333,1,1,0.75,0,0
20160723,1,11.083333333333,11.083333333333,1,1,0.75,0,0
20160724,0,0,0,1,1,0,0,0
20160725,1,3.6833333333333,3.6833333333333,3,1,0.25,0,0
20160726,1,11.083333333333,11.083333333333,2,1,0.75,0,0
20160727,0,0,0,0,0,0,0,0
20160728,1,11.083333333333,11.083333333333,2,1,0.75,0,0
20160729,1,11.083333333333,11.083333333333,1,1,0.75,0,0
20160730,3,22.166666666667,7.3888888888889,3,1,0.5,0,0
20160731,3,36.95,12.316666666667,3,1,0.83333333333333,0,0
20160801,0,0,0,0,0,0,0,0
20160802,0,0,0,0,0,0,0,0
20160803,1,0,0,2,1,0,0,0
20160804,2,11.083333333333,5.5416666666667,6,1,0.375,0,0
