"# ------------------------------------"
"Report: Top Countries"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2018-07-15 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_0p9phtup"
"# ------------------------------------"
object_id,country,coordinates,count_plays,count_plays_25,count_plays_50,count_plays_75,count_plays_100,play_through_ratio,unique_known_users,avg_view_drop_off,count_loads
CO,Colombia,4/-73.25,48,19,15,11,2,0.041666666666667,1,0.24479166666667,110
AR,Argentina,'-34/-64,0,0,0,0,0,0,0,0,4
AU,Australia,'-25/135,0,0,0,0,0,0,0,0,1
BR,Brazil,'-10/-55,0,0,0,0,0,0,0,0,1
CR,"Costa Rica",10/-84,0,0,0,0,0,0,0,0,1
EC,Ecuador,'-1.25/-78.25,0,0,0,0,0,0,0,0,3
FR,France,46/2,0,0,0,0,0,0,0,0,1
DE,Germany,51.5/10.5,0,0,0,0,0,0,0,0,1
IN,India,22/79,0,0,0,0,0,0,0,0,1
MX,Mexico,23/-102,0,0,0,0,0,0,0,0,4
PE,Peru,'-10/-75.25,0,0,0,0,0,0,0,0,1
US,"United States",39.76/-98.5,0,0,0,0,0,0,0,0,1
UY,Uruguay,'-33/-56,0,0,0,0,0,0,0,0,13

