"# ------------------------------------"
"Report: Top Countries"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2017-06-15 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_tj9bdvdu"
"# ------------------------------------"
object_id,country,coordinates,count_plays,count_plays_25,count_plays_50,count_plays_75,count_plays_100,play_through_ratio,unique_known_users,avg_view_drop_off,count_loads
CO,Colombia,4/-73.25,42,29,24,20,16,0.38095238095238,2,0.5297619047619,63
UY,Uruguay,'-33/-56,40,30,23,20,18,0.45,1,0.56875,48
BR,Brazil,'-10/-55,17,10,8,8,8,0.47058823529412,1,0.5,19
AR,Argentina,'-34/-64,15,11,9,9,9,0.6,1,0.63333333333333,16
EC,Ecuador,'-1.25/-78.25,7,5,2,1,0,0,1,0.28571428571429,9
MX,Mexico,23/-102,6,5,4,3,2,0.33333333333333,1,0.58333333333333,7
CL,Chile,'-30/-71,3,3,3,2,2,0.66666666666667,1,0.83333333333333,5
PE,Peru,'-10/-75.25,2,1,0,0,0,0,1,0.125,2
BO,"Bolivia, Plurinational State of",'-17/-65,1,1,0,0,0,0,1,0.25,1
AU,Australia,'-25/135,0,0,0,0,0,0,0,0,1
PT,Portugal,39.6945/-8.13057,0,0,0,0,0,0,0,0,1
ES,Spain,40/-4,0,0,0,0,0,0,0,0,4
CH,Switzerland,47.00016/8.01427,0,0,0,0,0,0,0,0,2
TH,Thailand,15.5/101,0,0,0,0,0,0,0,0,1
US,"United States",39.76/-98.5,0,0,0,0,0,0,0,0,1

