"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2017-04-20 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_jotydaqq"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20170420,0,0,0,0,0,0,0,0
20170421,1,83.95,83.95,2,2,1,0,0
20170422,0,0,0,0,0,0,0,0
20170423,0,0,0,0,0,0,0,0
20170424,0,0,0,0,0,0,0,0
20170425,0,0,0,0,0,0,0,0
20170426,0,0,0,0,0,0,0,0
20170427,0,0,0,0,0,0,0,0
20170428,0,0,0,0,0,0,0,0
20170429,0,0,0,0,0,0,0,0
20170430,0,0,0,0,0,0,0,0
20170501,0,0,0,0,0,0,0,0
20170502,0,0,0,0,0,0,0,0
20170503,0,0,0,0,0,0,0,0
20170504,0,0,0,0,0,0,0,0
20170505,0,0,0,0,0,0,0,0
20170506,0,0,0,0,0,0,0,0
20170507,0,0,0,0,0,0,0,0
20170508,0,0,0,0,0,0,0,0
20170509,0,0,0,0,0,0,0,0
20170510,0,0,0,0,0,0,0,0
20170511,0,0,0,0,0,0,0,0
20170512,0,0,0,0,0,0,0,0
20170513,0,0,0,0,0,0,0,0
20170514,0,0,0,0,0,0,0,0
20170515,0,0,0,0,0,0,0,0
20170516,0,0,0,0,0,0,0,0
20170517,0,0,0,0,0,0,0,0
20170518,1,0,0,1,1,0,0,0
20170519,0,0,0,0,0,0,0,0
20170520,0,0,0,0,0,0,0,0
20170521,0,0,0,0,0,0,0,0
20170522,0,0,0,0,0,0,0,0
20170523,0,0,0,0,0,0,0,0
20170524,0,0,0,0,0,0,0,0
20170525,0,0,0,0,0,0,0,0
20170526,0,0,0,0,0,0,0,0
20170527,0,0,0,0,0,0,0,0
20170528,0,0,0,0,0,0,0,0
20170529,0,0,0,0,0,0,0,0
20170530,0,0,0,0,0,0,0,0
20170531,0,0,0,0,0,0,0,0
20170601,0,0,0,0,0,0,0,0
20170602,0,0,0,0,0,0,0,0
20170603,0,0,0,0,0,0,0,0
20170604,0,0,0,0,0,0,0,0
20170605,0,0,0,0,0,0,0,0
20170606,1,0,0,5,2,0,0,0
20170607,0,0,0,7,2,0,0,0
20170608,2,41.966666666667,20.983333333333,6,1,0.25,0,0
20170609,8,167.9,20.9875,13,1,0.25,0,0
20170610,5,104.93333333333,20.986666666667,9,1,0.25,0,0
20170611,1,0,0,5,1,0,0,0
20170612,7,41.966666666667,5.9952380952381,18,1,0.071428571428571,0,0
20170613,4,167.9,41.975,11,1,0.5,0,0
20170614,7,125.91666666667,17.988095238095,14,1,0.21428571428571,0,0
20170615,8,440.73333333333,55.091666666667,12,1,0.65625,0,0
20170616,0,41.983333333333,0,2,1,0,0,0
20170617,0,0,0,5,1,0,0,0
20170618,4,20.983333333333,5.2458333333333,7,1,0.0625,0,0
20170619,5,20.983333333333,4.1966666666667,11,1,0.05,0,0
20170620,0,0,0,1,1,0,0,0
20170621,1,0,0,6,1,0,0,0
20170622,2,0,0,4,1,0,0,0
20170623,3,104.93333333333,34.977777777778,3,1,0.41666666666667,0,0
20170624,4,83.95,20.9875,9,1,0.25,0,0
20170625,8,167.9,20.9875,13,1,0.25,0,0
20170626,5,146.91666666667,29.383333333333,9,1,0.35,0,0
20170627,6,104.93333333333,17.488888888889,6,1,0.20833333333333,0,0
20170628,1,0,0,6,1,0,0,0
20170629,2,0,0,8,1,0,0,0
20170630,3,167.9,55.966666666667,8,1,0.66666666666667,0,0
20170701,3,62.966666666667,20.988888888889,6,1,0.25,0,0
20170702,4,125.91666666667,31.479166666667,9,1,0.375,0,0
20170703,8,0,0,10,1,0,0,0
20170704,2,20.983333333333,10.491666666667,4,1,0.125,0,0
20170705,2,104.93333333333,52.466666666667,5,1,0.625,0,0
20170706,3,0,0,6,1,0,0,0
20170707,1,0,0,4,1,0,0,0
20170708,1,0,0,5,1,0,0,0
20170709,4,0,0,11,1,0,0,0
20170710,3,0,0,6,1,0,0,0
20170711,1,0,0,3,1,0,0,0
20170712,1,0,0,1,1,0,0,0
20170713,2,62.966666666667,31.483333333333,3,1,0.375,0,0
20170714,0,0,0,0,0,0,0,0
20170715,1,41.966666666667,41.966666666667,1,1,0.5,0,0
20170716,0,0,0,0,0,0,0,0
20170717,0,0,0,0,0,0,0,0
20170718,0,0,0,0,0,0,0,0
20170719,1,20.983333333333,20.983333333333,2,1,0.25,0,0
20170720,0,0,0,1,1,0,0,0
20170721,0,0,0,0,0,0,0,0
20170722,0,0,0,1,1,0,0,0
20170723,0,0,0,0,0,0,0,0
20170724,0,0,0,0,0,0,0,0
20170725,2,83.95,41.975,2,1,0.5,0,0
20170726,0,0,0,0,0,0,0,0
20170727,0,0,0,1,1,0,0,0
20170728,1,83.95,83.95,1,1,1,0,0
20170729,1,83.95,83.95,1,1,1,0,0
20170730,1,62.966666666667,62.966666666667,2,1,0.75,0,0
20170731,0,0,0,0,0,0,0,0
20170801,1,0,0,4,1,0,0,0
20170802,1,0,0,1,1,0,0,0
20170803,1,0,0,1,1,0,0,0
20170804,0,0,0,0,0,0,0,0
20170805,0,0,0,0,0,0,0,0
20170806,0,0,0,0,0,0,0,0
20170807,0,0,0,2,1,0,0,0
20170808,0,0,0,0,0,0,0,0
20170809,0,0,0,0,0,0,0,0
20170810,0,0,0,0,0,0,0,0
20170811,0,0,0,0,0,0,0,0
20170812,0,0,0,0,0,0,0,0
20170813,1,0,0,3,1,0,0,0
20170814,1,0,0,1,1,0,0,0
20170815,0,0,0,0,0,0,0,0
20170816,0,0,0,0,0,0,0,0
20170817,0,0,0,0,0,0,0,0
20170818,0,0,0,2,1,0,0,0
20170819,1,0,0,1,1,0,0,0
20170820,1,20.983333333333,20.983333333333,1,1,0.25,0,0
20170821,1,104.93333333333,104.93333333333,3,1,1.25,0,0
20170822,0,0,0,1,1,0,0,0
20170823,3,83.95,27.983333333333,7,1,0.33333333333333,0,0
20170824,1,0,0,1,1,0,0,0
20170825,2,83.95,41.975,4,1,0.5,0,0
20170826,2,0,0,3,1,0,0,0
20170827,0,0,0,0,0,0,0,0
20170828,1,0,0,1,1,0,0,0
20170829,0,0,0,0,0,0,0,0
20170830,0,0,0,0,0,0,0,0
20170831,0,0,0,0,0,0,0,0
20170901,0,0,0,0,0,0,0,0
20170902,0,0,0,0,0,0,0,0
20170903,1,0,0,1,1,0,0,0
20170904,0,0,0,1,1,0,0,0
20170905,0,0,0,0,0,0,0,0
20170906,0,0,0,1,1,0,0,0
20170907,0,0,0,1,1,0,0,0
20170908,0,0,0,0,0,0,0,0
20170909,0,0,0,0,0,0,0,0
20170910,0,0,0,2,1,0,0,0
20170911,2,104.91666666667,52.458333333333,2,1,0.625,0,0
20170912,0,0,0,0,0,0,0,0
20170913,0,0,0,0,0,0,0,0
20170914,0,0,0,0,0,0,0,0
20170915,0,0,0,0,0,0,0,0
20170916,0,0,0,0,0,0,0,0
20170917,0,0,0,1,1,0,0,0
20170918,0,0,0,0,0,0,0,0
20170919,0,0,0,1,1,0,0,0
20170920,0,0,0,0,0,0,0,0
20170921,0,0,0,0,0,0,0,0
20170922,1,62.966666666667,62.966666666667,3,1,0.75,0,0
20170923,0,0,0,2,1,0,0,0
20170924,0,0,0,0,0,0,0,0
20170925,0,0,0,2,1,0,0,0
20170926,0,0,0,1,1,0,0,0
20170927,0,0,0,2,1,0,0,0
20170928,0,0,0,0,0,0,0,0
20170929,0,0,0,1,1,0,0,0
20170930,0,0,0,1,1,0,0,0
20171001,1,0,0,1,1,0,0,0
20171002,0,0,0,1,1,0,0,0
20171003,0,0,0,1,1,0,0,0
20171004,0,0,0,1,1,0,0,0
20171005,0,0,0,0,0,0,0,0
20171006,0,0,0,1,1,0,0,0
20171007,0,0,0,0,0,0,0,0
20171008,1,83.95,83.95,2,1,1,0,0
20171009,0,0,0,0,0,0,0,0
20171010,0,0,0,1,1,0,0,0
20171011,2,83.95,41.975,2,1,0.5,0,0
20171012,0,62.966666666667,0,1,1,0,0,0
20171013,0,0,0,0,0,0,0,0
20171014,0,0,0,0,0,0,0,0
20171015,0,0,0,1,1,0,0,0
20171016,0,0,0,0,0,0,0,0
20171017,0,0,0,0,0,0,0,0
20171018,0,0,0,0,0,0,0,0
20171019,0,0,0,0,0,0,0,0
20171020,0,0,0,0,0,0,0,0
20171021,0,0,0,1,1,0,0,0
20171022,2,0,0,3,1,0,0,0
20171023,0,0,0,1,1,0,0,0
20171024,1,0,0,2,1,0,0,0
20171025,1,0,0,1,1,0,0,0
20171026,0,0,0,2,1,0,0,0
20171027,0,0,0,1,1,0,0,0
20171028,0,0,0,0,0,0,0,0
20171029,1,0,0,1,1,0,0,0
20171030,0,0,0,0,0,0,0,0
20171031,0,0,0,0,0,0,0,0
20171101,0,0,0,0,0,0,0,0
20171102,0,0,0,0,0,0,0,0
20171103,2,41.966666666667,20.983333333333,2,1,0.25,0,0
20171104,0,0,0,0,0,0,0,0
20171105,0,0,0,2,1,0,0,0
20171106,0,0,0,1,1,0,0,0
20171107,0,0,0,0,0,0,0,0
20171108,0,0,0,0,0,0,0,0
20171109,0,0,0,0,0,0,0,0
20171110,0,0,0,0,0,0,0,0
20171111,0,0,0,0,0,0,0,0
20171112,0,0,0,1,1,0,0,0
20171113,0,0,0,0,0,0,0,0
20171114,0,0,0,0,0,0,0,0
20171115,0,0,0,0,0,0,0,0
20171116,0,0,0,1,1,0,0,0
20171117,0,0,0,0,0,0,0,0
20171118,0,0,0,0,0,0,0,0
20171119,0,0,0,2,1,0,0,0
20171120,0,0,0,0,0,0,0,0
20171121,0,0,0,0,0,0,0,0
20171122,0,0,0,0,0,0,0,0
20171123,0,0,0,0,0,0,0,0
20171124,0,0,0,0,0,0,0,0
20171125,0,0,0,0,0,0,0,0
20171126,0,0,0,0,0,0,0,0
20171127,0,0,0,1,1,0,0,0
20171128,0,0,0,1,1,0,0,0
20171129,0,0,0,0,0,0,0,0
20171130,0,0,0,0,0,0,0,0
20171201,0,0,0,0,0,0,0,0
20171202,0,0,0,0,0,0,0,0
20171203,0,0,0,0,0,0,0,0
20171204,0,0,0,0,0,0,0,0
20171205,0,0,0,0,0,0,0,0
20171206,0,0,0,0,0,0,0,0
20171207,0,0,0,0,0,0,0,0
20171208,0,0,0,0,0,0,0,0
20171209,0,0,0,0,0,0,0,0
20171210,0,0,0,1,1,0,0,0
20171211,0,0,0,0,0,0,0,0
20171212,0,0,0,0,0,0,0,0
20171213,0,0,0,0,0,0,0,0
20171214,0,0,0,0,0,0,0,0
20171215,0,0,0,0,0,0,0,0
20171216,0,0,0,0,0,0,0,0
20171217,0,0,0,0,0,0,0,0
20171218,0,0,0,0,0,0,0,0
20171219,0,0,0,1,1,0,0,0
20171220,0,0,0,0,0,0,0,0
20171221,0,0,0,0,0,0,0,0
20171222,0,0,0,0,0,0,0,0
20171223,0,0,0,0,0,0,0,0
20171224,0,0,0,0,0,0,0,0
20171225,0,0,0,0,0,0,0,0
20171226,0,0,0,0,0,0,0,0
20171227,0,0,0,0,0,0,0,0
20171228,0,0,0,0,0,0,0,0
20171229,0,0,0,0,0,0,0,0
20171230,0,0,0,1,1,0,0,0
20171231,0,0,0,0,0,0,0,0
20180101,0,0,0,0,0,0,0,0
20180102,0,0,0,0,0,0,0,0
20180103,0,0,0,0,0,0,0,0
20180104,0,0,0,0,0,0,0,0
20180105,1,0,0,1,1,0,0,0
20180106,0,0,0,0,0,0,0,0
20180107,0,0,0,2,1,0,0,0
20180108,0,0,0,0,0,0,0,0
20180109,0,0,0,0,0,0,0,0
20180110,0,0,0,0,0,0,0,0
20180111,0,0,0,0,0,0,0,0
20180112,0,0,0,1,1,0,0,0
20180113,0,0,0,0,0,0,0,0
20180114,0,0,0,1,1,0,0,0
20180115,0,0,0,0,0,0,0,0
20180116,0,0,0,0,0,0,0,0
20180117,0,0,0,0,0,0,0,0
20180118,0,0,0,0,0,0,0,0
20180119,0,0,0,0,0,0,0,0
20180120,0,0,0,0,0,0,0,0
20180121,0,0,0,0,0,0,0,0
20180122,0,0,0,0,0,0,0,0
20180123,1,0,0,1,1,0,0,0
20180124,0,0,0,0,0,0,0,0
20180125,0,0,0,0,0,0,0,0
20180126,0,0,0,0,0,0,0,0
