"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2018-12-11 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_g742xtc9"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20181211,2,16.1,8.05,3,3,0.75,0,0
20181212,0,0,0,0,0,0,0,0
20181213,0,0,0,0,0,0,0,0
20181214,0,0,0,0,0,0,0,0
20181215,0,0,0,0,0,0,0,0
20181216,0,0,0,0,0,0,0,0
20181217,0,0,0,0,0,0,0,0
20181218,0,0,0,0,0,0,0,0
20181219,0,0,0,0,0,0,0,0
20181220,0,0,0,0,0,0,0,0
20181221,0,0,0,0,0,0,0,0
20181222,0,0,0,0,0,0,0,0
20181223,0,0,0,0,0,0,0,0
20181224,0,0,0,0,0,0,0,0
20181225,0,0,0,0,0,0,0,0
20181226,1,10.733333333333,10.733333333333,2,1,1,0,0
20181227,0,0,0,0,0,0,0,0
20181228,0,0,0,0,0,0,0,0
20181229,0,0,0,0,0,0,0,0
20181230,0,0,0,0,0,0,0,0
20181231,0,0,0,0,0,0,0,0
20190101,0,0,0,0,0,0,0,0
20190102,0,0,0,0,0,0,0,0
20190103,11,48.3,4.3909090909091,28,2,0.40909090909091,0,0
20190104,24,118.06666666667,4.9194444444444,30,1,0.45833333333333,0,0
20190105,24,120.75,5.03125,42,1,0.46875,0,0
20190106,37,158.31666666667,4.2788288288288,61,1,0.39864864864865,0,0
20190107,36,136.85,3.8013888888889,61,1,0.35416666666667,0,0
20190108,33,75.133333333333,2.2767676767677,59,1,0.21212121212121,0,0
20190109,35,155.63333333333,4.4466666666667,63,1,0.41428571428571,0,0
20190110,26,126.11666666667,4.850641025641,57,1,0.45192307692308,0,0
20190111,21,144.9,6.9,34,1,0.64285714285714,0,0
20190112,17,96.6,5.6823529411765,39,1,0.52941176470588,0,0
20190113,30,126.11666666667,4.2038888888889,49,1,0.39166666666667,0,0
20190114,30,136.85,4.5616666666667,59,1,0.425,0,0
20190115,41,177.1,4.319512195122,74,1,0.40243902439024,0,0
20190116,20,112.7,5.635,36,1,0.525,0,0
20190117,28,142.21666666667,5.0791666666667,54,1,0.47321428571429,0,0
20190118,22,128.8,5.8545454545455,43,1,0.54545454545455,0,0
20190119,16,120.75,7.546875,33,1,0.703125,0,0
20190120,32,161,5.03125,55,1,0.46875,0,0
20190121,21,72.45,3.45,34,1,0.32142857142857,0,0
20190122,24,120.75,5.03125,40,1,0.46875,0,0
20190123,14,45.616666666667,3.2583333333333,24,1,0.30357142857143,0,0
20190124,8,26.833333333333,3.3541666666667,21,1,0.3125,0,0
20190125,10,45.616666666667,4.5616666666667,22,1,0.425,0,0
20190126,13,93.916666666667,7.224358974359,22,1,0.67307692307692,0,0
20190127,13,91.233333333333,7.0179487179487,26,1,0.65384615384615,65.615384615385,0
20190128,6,45.616666666667,7.6027777777778,14,1,0.70833333333333,78.166666666667,0
20190129,3,8.05,2.6833333333333,9,1,0.25,39.666666666667,0
20190130,5,37.566666666667,7.5133333333333,8,1,0.7,80.8,0
20190131,3,21.466666666667,7.1555555555556,7,1,0.66666666666667,71.333333333333,0
20190201,2,8.05,4.025,4,1,0.375,45.5,0
20190202,5,13.416666666667,2.6833333333333,10,1,0.25,29.2,0
20190203,6,24.15,4.025,10,1,0.375,38.166666666667,0
20190204,4,29.516666666667,7.3791666666667,7,1,0.6875,81.25,0
20190205,2,2.6833333333333,1.3416666666667,6,1,0.125,18.5,0
20190206,3,18.783333333333,6.2611111111111,5,1,0.58333333333333,69.666666666667,0
20190207,4,16.1,4.025,5,1,0.375,53.75,0
20190208,2,0,0,4,1,0,13.5,0
20190209,4,16.1,4.025,8,1,0.375,36,0
20190210,5,37.566666666667,7.5133333333333,5,1,0.7,79.2,0
20190211,2,10.733333333333,5.3666666666667,4,1,0.5,58,0
20190212,2,8.05,4.025,5,1,0.375,52.5,0
20190213,6,10.733333333333,1.7888888888889,7,1,0.16666666666667,25.333333333333,0
20190214,2,18.783333333333,9.3916666666667,2,1,0.875,93.5,0
20190215,2,13.416666666667,6.7083333333333,3,1,0.625,68.5,0
20190216,1,0,0,1,1,0,0,0
20190217,3,5.3666666666667,1.7888888888889,4,1,0.16666666666667,25.333333333333,0
20190218,4,21.466666666667,5.3666666666667,5,1,0.5,58.75,0
20190219,2,13.416666666667,6.7083333333333,4,1,0.625,63.5,0
20190220,1,8.05,8.05,1,1,0.75,97,0
20190221,2,18.783333333333,9.3916666666667,2,1,0.875,96,0
20190222,1,10.733333333333,10.733333333333,2,1,1,99,0
20190223,3,18.783333333333,6.2611111111111,3,1,0.58333333333333,68,0
20190224,1,10.733333333333,10.733333333333,2,1,1,100,0
20190225,6,42.933333333333,7.1555555555556,7,1,0.66666666666667,77,0
20190226,4,29.516666666667,7.3791666666667,5,1,0.6875,77.5,0
20190227,3,24.15,8.05,4,1,0.75,90.333333333333,0
20190228,1,0,0,1,1,0,21,0
20190301,3,21.466666666667,7.1555555555556,3,1,0.66666666666667,77,0
20190302,1,10.733333333333,10.733333333333,1,1,1,100,0
20190303,6,34.883333333333,5.8138888888889,6,1,0.54166666666667,63.333333333333,0
20190304,1,0,0,3,1,0,16,0
20190305,3,26.833333333333,8.9444444444444,3,1,0.83333333333333,90,0
20190306,1,10.733333333333,10.733333333333,1,1,1,100,0
20190307,4,13.416666666667,3.3541666666667,6,1,0.3125,37,0
20190308,3,16.1,5.3666666666667,5,1,0.5,5,0
20190309,5,32.2,6.44,7,1,0.6,84.6,0
20190310,4,29.516666666667,7.3791666666667,8,1,0.6875,69.25,0
20190311,6,18.783333333333,3.1305555555556,7,1,0.29166666666667,46.333333333333,0
20190312,2,10.733333333333,5.3666666666667,4,1,0.5,50.5,0
20190313,2,13.416666666667,6.7083333333333,2,1,0.625,75.5,0
20190314,0,0,0,1,1,0,0,0
20190315,1,0,0,3,1,0,0,0
20190316,2,16.1,8.05,2,1,0.75,45,0
20190317,1,10.733333333333,10.733333333333,3,1,1,100,0
20190318,2,10.733333333333,5.3666666666667,4,1,0.5,59.5,0
20190319,0,0,0,1,1,0,0,0
20190320,0,0,0,1,1,0,0,0
20190321,1,5.3666666666667,5.3666666666667,1,1,0.5,69,0
20190322,1,0,0,3,1,0,8,0
20190323,3,13.416666666667,4.4722222222222,4,1,0.41666666666667,49,0
20190324,2,10.733333333333,5.3666666666667,2,1,0.5,55,0
20190325,2,18.783333333333,9.3916666666667,2,1,0.875,95,0
20190326,0,0,0,7,1,0,0,0
20190327,1,2.6833333333333,2.6833333333333,1,1,0.25,21,0
20190328,1,0,0,2,1,0,0,0
20190329,0,0,0,0,0,0,0,0
20190330,1,8.05,8.05,1,1,0.75,92,0
20190331,2,18.783333333333,9.3916666666667,2,1,0.875,98,0
20190401,1,5.3666666666667,5.3666666666667,2,1,0.5,3,0
20190402,3,16.1,5.3666666666667,3,1,0.5,69,0
20190403,0,0,0,0,0,0,0,0
20190404,1,8.05,8.05,1,1,0.75,92,0
20190405,1,0,0,2,1,0,5,0
20190406,1,2.6833333333333,2.6833333333333,1,1,0.25,20,0
20190407,1,8.05,8.05,1,1,0.75,92,0
20190408,1,8.05,8.05,1,1,0.75,80,0
20190409,0,0,0,1,1,0,0,0
20190410,1,8.05,8.05,2,1,0.75,83,0
20190411,0,0,0,0,0,0,0,0
20190412,0,0,0,1,1,0,0,0
20190413,0,0,0,1,1,0,0,0
20190414,0,0,0,0,0,0,0,0
20190415,0,0,0,2,1,0,0,0
20190416,0,0,0,0,0,0,0,0
20190417,0,0,0,0,0,0,0,0
20190418,1,8.05,8.05,1,1,0.75,97,0
20190419,0,0,0,1,1,0,0,0
20190420,0,0,0,1,1,0,0,0
20190421,0,0,0,1,1,0,0,0
20190422,1,10.733333333333,10.733333333333,3,1,1,94,0
20190423,1,10.733333333333,10.733333333333,2,1,1,98,0
20190424,0,0,0,0,0,0,0,0
20190425,2,13.416666666667,6.7083333333333,3,1,0.625,81,0
20190426,0,0,0,1,1,0,0,0
20190427,0,0,0,0,0,0,0,0
20190428,1,0,0,1,1,0,15,0
20190429,1,8.05,8.05,1,1,0.75,73,0
20190430,0,0,0,0,0,0,0,0
20190501,0,0,0,0,0,0,0,0
20190502,2,13.416666666667,6.7083333333333,3,1,0.625,63.5,0
20190503,3,16.1,5.3666666666667,3,1,0.5,55.666666666667,0
20190504,0,0,0,1,1,0,0,0
20190505,1,2.6833333333333,2.6833333333333,1,1,0.25,29,0
20190506,1,10.733333333333,10.733333333333,1,1,1,95,0
20190507,0,0,0,0,0,0,0,0
20190508,1,8.05,8.05,1,1,0.75,87,0
20190509,1,0,0,2,1,0,0,0
20190510,0,0,0,0,0,0,0,0
20190511,0,0,0,0,0,0,0,0
20190512,0,0,0,1,1,0,0,0
20190513,0,0,0,1,1,0,0,0
20190514,1,2.6833333333333,2.6833333333333,1,1,0.25,40,0
20190515,2,16.1,8.05,2,1,0.75,51.5,0
20190516,1,0,0,5,1,0,21,0
20190517,1,8.05,8.05,1,1,0.75,95,0
20190518,2,8.05,4.025,4,1,0.375,50.5,0
20190519,1,0,0,4,1,0,0,0
20190520,0,0,0,1,1,0,0,0
20190521,0,0,0,0,0,0,0,0
20190522,1,0,0,1,1,0,8,0
20190523,0,0,0,1,1,0,0,0
20190524,0,0,0,1,1,0,0,0
20190525,0,0,0,1,1,0,0,0
20190526,1,8.05,8.05,2,1,0.75,94,0
20190527,0,0,0,0,0,0,0,0
20190528,2,21.466666666667,10.733333333333,2,1,1,100,0
20190529,0,0,0,2,1,0,0,0
20190530,0,0,0,0,0,0,0,0
20190531,0,0,0,0,0,0,0,0
20190601,0,0,0,0,0,0,0,0
20190602,0,0,0,3,1,0,0,0
20190603,0,0,0,2,1,0,0,0
20190604,2,21.466666666667,10.733333333333,3,1,1,100,0
20190605,1,0,0,2,1,0,8,0
20190606,2,2.6833333333333,1.3416666666667,3,1,0.125,25.5,0
20190607,0,0,0,0,0,0,0,0
20190608,0,0,0,0,0,0,0,0
20190609,0,0,0,1,1,0,0,0
20190610,1,2.6833333333333,2.6833333333333,2,1,0.25,16,0
20190611,3,18.783333333333,6.2611111111111,3,1,0.58333333333333,66,0
20190612,0,0,0,0,0,0,0,0
20190613,0,0,0,1,1,0,0,0
20190614,0,0,0,0,0,0,0,0
20190615,2,8.05,4.025,4,1,0.375,31.5,0
20190616,0,0,0,1,1,0,0,0
20190617,3,18.783333333333,6.2611111111111,4,1,0.58333333333333,102,0
20190618,0,0,0,0,0,0,0,0
20190619,0,0,0,2,1,0,0,0
20190620,0,0,0,1,1,0,0,0
20190621,1,8.05,8.05,1,1,0.75,94,0
20190622,0,0,0,1,1,0,0,0
20190623,0,0,0,0,0,0,0,0
20190624,1,0,0,3,1,0,18,0
20190625,1,2.6833333333333,2.6833333333333,1,1,0.25,34,0
20190626,2,16.1,8.05,2,1,0.75,50,0
20190627,0,0,0,0,0,0,0,0
20190628,0,0,0,1,1,0,0,0
20190629,0,0,0,0,0,0,0,0
20190630,0,0,0,0,0,0,0,0
20190701,2,13.416666666667,6.7083333333333,2,1,0.625,52,0
20190702,0,0,0,0,0,0,0,0
20190703,0,0,0,0,0,0,0,0
20190704,0,0,0,0,0,0,0,0
20190705,0,0,0,0,0,0,0,0
20190706,0,0,0,1,1,0,0,0
20190707,1,10.733333333333,10.733333333333,1,1,1,100,0
20190708,0,0,0,0,0,0,0,0
20190709,0,0,0,0,0,0,0,0
20190710,0,0,0,0,0,0,0,0
20190711,2,10.733333333333,5.3666666666667,2,1,0.5,65,0
20190712,1,10.733333333333,10.733333333333,1,1,1,100,0
20190713,1,0,0,3,1,0,6,0
20190714,0,0,0,1,1,0,0,0
20190715,0,0,0,1,1,0,0,0
20190716,1,5.3666666666667,5.3666666666667,1,1,0.5,49,0
20190717,1,2.6833333333333,2.6833333333333,2,1,0.25,43,0
20190718,1,2.6833333333333,2.6833333333333,1,1,0.25,34,0
20190719,0,0,0,0,0,0,0,0
20190720,1,2.6833333333333,2.6833333333333,1,1,0.25,25,0
20190721,0,0,0,1,1,0,0,0
20190722,1,8.05,8.05,2,1,0.75,93,0
20190723,0,0,0,1,1,0,0,0
20190724,0,0,0,0,0,0,0,0
20190725,0,0,0,0,0,0,0,0
20190726,0,0,0,0,0,0,0,0
20190727,0,0,0,0,0,0,0,0
20190728,1,10.733333333333,10.733333333333,2,1,1,91,0
20190729,1,10.733333333333,10.733333333333,3,1,1,96,0
20190730,2,10.733333333333,5.3666666666667,2,1,0.5,55.5,0
20190731,1,0,0,1,1,0,5,0
20190801,0,0,0,0,0,0,0,0
20190802,1,8.05,8.05,1,1,0.75,87,0
20190803,0,0,0,0,0,0,0,0
20190804,0,0,0,0,0,0,0,0
20190805,0,0,0,1,1,0,0,0
20190806,1,10.733333333333,10.733333333333,1,1,1,100,0
20190807,4,16.1,4.025,6,1,0.375,49.25,0
20190808,1,2.6833333333333,2.6833333333333,1,1,0.25,10,0
20190809,0,0,0,1,1,0,0,0
20190810,0,0,0,0,0,0,0,0
20190811,0,0,0,2,1,0,0,0
20190812,1,0,0,1,1,0,8,0
20190813,0,0,0,0,0,0,0,0
20190814,0,0,0,1,1,0,0,0
20190815,1,5.3666666666667,5.3666666666667,1,1,0.5,60,0
20190816,0,0,0,1,1,0,0,0
20190817,1,8.05,8.05,1,1,0.75,98,0
20190818,1,10.733333333333,10.733333333333,2,1,1,185,0
20190819,1,0,0,2,1,0,6,0
20190820,0,0,0,3,1,0,0,0
20190821,0,0,0,1,1,0,0,0
20190822,0,0,0,2,1,0,0,0
20190823,1,8.05,8.05,1,1,0.75,88,0
20190824,3,18.783333333333,6.2611111111111,3,1,0.58333333333333,71.333333333333,0
20190825,0,0,0,1,1,0,0,0
20190826,2,8.05,4.025,4,1,0.375,59.5,0
20190827,1,10.733333333333,10.733333333333,2,1,1,100,0
20190828,0,0,0,1,1,0,0,0
20190829,0,0,0,0,0,0,0,0
20190830,0,0,0,0,0,0,0,0
20190831,1,2.6833333333333,2.6833333333333,1,1,0.25,28,0
20190901,0,0,0,2,1,0,0,0
20190902,2,18.783333333333,9.3916666666667,2,1,0.875,89.5,0
20190903,0,0,0,0,0,0,0,0
20190904,0,0,0,1,1,0,0,0
20190905,2,16.1,8.05,2,1,0.75,77.5,0
20190906,0,0,0,0,0,0,0,0
20190907,1,8.05,8.05,2,1,0.75,92,0
20190908,1,10.733333333333,10.733333333333,1,1,1,100,0
20190909,0,0,0,1,1,0,0,0
20190910,1,8.05,8.05,1,1,0.75,71,0
20190911,1,0,0,2,1,0,19,0
20190912,2,10.733333333333,5.3666666666667,3,1,0.5,55,0
20190913,5,21.466666666667,4.2933333333333,5,1,0.4,30.8,0
20190914,4,21.466666666667,5.3666666666667,6,1,0.5,51.5,0
20190915,0,0,0,3,1,0,0,0
20190916,1,2.6833333333333,2.6833333333333,7,1,0.25,28,0
20190917,1,0,0,1,1,0,6,0
20190918,3,18.783333333333,6.2611111111111,4,1,0.58333333333333,74,0
20190919,2,0,0,4,1,0,8.5,0
20190920,3,10.733333333333,3.5777777777778,6,1,0.33333333333333,38.666666666667,0
20190921,1,0,0,2,1,0,1,0
20190922,4,10.733333333333,2.6833333333333,9,1,0.25,30.75,0
20190923,3,8.05,2.6833333333333,6,1,0.25,32.333333333333,0
20190924,3,13.416666666667,4.4722222222222,3,1,0.41666666666667,53.666666666667,0
20190925,1,0,0,0,1,0,15,0
20190926,2,2.6833333333333,1.3416666666667,3,1,0.125,15.5,0
20190927,2,0,0,2,1,0,10.5,0
20190928,0,0,0,1,1,0,0,0
20190929,3,16.1,5.3666666666667,5,1,0.5,67.333333333333,0
20190930,0,0,0,0,0,0,0,0
20191001,0,0,0,0,0,0,0,0
20191002,1,0,0,2,1,0,1,0
20191003,1,10.733333333333,10.733333333333,1,1,1,100,0
20191004,1,2.6833333333333,2.6833333333333,2,1,0.25,30,0
20191005,0,0,0,1,1,0,0,0
20191006,0,0,0,0,0,0,0,0
20191007,0,0,0,0,0,0,0,0
20191008,1,8.05,8.05,1,1,0.75,24,0
20191009,0,0,0,3,1,0,0,0
20191010,0,0,0,0,0,0,0,0
20191011,0,0,0,0,0,0,0,0
20191012,0,0,0,0,0,0,0,0
20191013,4,10.733333333333,2.6833333333333,4,1,0.25,34.75,0
20191014,0,8.05,0,1,1,0,0,0
20191015,1,10.733333333333,10.733333333333,1,1,1,100,0
20191016,0,0,0,0,0,0,0,0
20191017,1,0,0,1,1,0,0,0
20191018,0,0,0,0,0,0,0,0
20191019,1,10.733333333333,10.733333333333,2,1,1,100,0
20191020,0,0,0,1,1,0,0,0
20191021,0,0,0,0,0,0,0,0
20191022,0,0,0,0,0,0,0,0
20191023,0,0,0,0,0,0,0,0
20191024,0,0,0,0,0,0,0,0
20191025,4,24.15,6.0375,4,1,0.5625,56.5,0
20191026,0,0,0,0,0,0,0,0
20191027,0,0,0,0,0,0,0,0
20191028,0,0,0,0,0,0,0,0
20191029,0,0,0,1,1,0,0,0
20191030,0,0,0,0,0,0,0,0
20191031,1,8.05,8.05,1,1,0.75,90,0
20191101,0,0,0,1,1,0,0,0
20191102,1,8.05,8.05,1,1,0.75,89,0
20191103,0,0,0,2,1,0,0,0
20191104,1,0,0,2,1,0,9,0
20191105,0,0,0,1,1,0,0,0
20191106,0,0,0,1,1,0,0,0
20191107,0,0,0,0,0,0,0,0
20191108,0,0,0,1,1,0,0,0
20191109,0,0,0,1,1,0,0,0
20191110,2,10.733333333333,5.3666666666667,3,1,0.5,54,0
20191111,0,2.6833333333333,0,0,1,0,0,0
20191112,0,0,0,0,0,0,0,0
20191113,0,0,0,0,0,0,0,0
20191114,0,0,0,0,0,0,0,0
20191115,0,0,0,0,0,0,0,0
20191116,1,8.05,8.05,1,1,0.75,89,0
20191117,2,2.6833333333333,1.3416666666667,3,1,0.125,26.5,0
20191118,0,0,0,0,0,0,0,0
20191119,0,0,0,0,0,0,0,0
20191120,0,0,0,0,0,0,0,0
20191121,0,0,0,2,1,0,0,0
20191122,0,0,0,0,0,0,0,0
20191123,0,0,0,0,0,0,0,0
20191124,2,13.416666666667,6.7083333333333,2,1,0.625,66.5,0
20191125,0,0,0,1,1,0,0,0
20191126,1,10.733333333333,10.733333333333,2,1,1,0,0
20191127,1,8.05,8.05,1,1,0.75,82,0
20191128,0,0,0,0,0,0,0,0
20191129,0,0,0,0,0,0,0,0
20191130,0,0,0,0,0,0,0,0
20191201,0,0,0,0,0,0,0,0
20191202,0,0,0,0,0,0,0,0
20191203,0,0,0,0,0,0,0,0
20191204,0,0,0,1,1,0,0,0
20191205,2,10.733333333333,5.3666666666667,2,1,0.5,52,0
20191206,0,0,0,0,0,0,0,0
20191207,1,0,0,2,1,0,22,0
