"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2020-06-29 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 1_7jkjqdce"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20200629,0,0,0,4,1,0,0,0
20200630,32,123.2,3.85,45,1,0.75,85.125,0
20200701,28,102.66666666667,3.6666666666667,35,1,0.71428571428571,83.892857142857,0
20200702,26,88.55,3.4057692307692,32,1,0.66346153846154,74.346153846154,0
20200703,22,68.016666666667,3.0916666666667,39,1,0.60227272727273,64.181818181818,0
20200704,27,115.5,4.2777777777778,44,1,0.83333333333333,92.740740740741,0
20200705,27,101.38333333333,3.7549382716049,41,1,0.73148148148148,83.111111111111,0
20200706,13,37.216666666667,2.8628205128205,22,1,0.55769230769231,63.692307692308,0
20200707,25,92.4,3.696,34,1,0.72,80.6,0
20200708,18,66.733333333333,3.7074074074074,28,1,0.72222222222222,76.666666666667,0
20200709,19,77,4.0526315789474,30,1,0.78947368421053,85.526315789474,0
20200710,19,53.9,2.8368421052632,30,1,0.55263157894737,64.789473684211,0
20200711,30,115.5,3.85,46,1,0.75,90.033333333333,0
20200712,17,57.75,3.3970588235294,30,1,0.66176470588235,65.470588235294,0
20200713,16,66.733333333333,4.1708333333333,26,1,0.8125,86.375,0
20200714,15,57.75,3.85,18,1,0.75,76,0
20200715,13,42.35,3.2576923076923,18,1,0.63461538461538,71.692307692308,0
20200716,14,44.916666666667,3.2083333333333,22,1,0.625,71,0
20200717,11,43.633333333333,3.9666666666667,19,1,0.77272727272727,86.090909090909,0
20200718,19,62.883333333333,3.309649122807,25,1,0.64473684210526,72.421052631579,0
20200719,18,74.433333333333,4.1351851851852,29,1,0.80555555555556,90.888888888889,0
20200720,16,64.166666666667,4.0104166666667,21,1,0.78125,81.75,0
20200721,13,55.183333333333,4.2448717948718,23,1,0.82692307692308,82.846153846154,0
20200722,20,68.016666666667,3.4008333333333,28,1,0.6625,75.7,0
20200723,8,30.8,3.85,13,1,0.75,82.875,0
20200724,16,60.316666666667,3.7697916666667,25,1,0.734375,81.375,0
20200725,17,59.033333333333,3.4725490196078,21,1,0.67647058823529,77.117647058824,0
20200726,12,47.483333333333,3.9569444444444,18,1,0.77083333333333,86.166666666667,0
20200727,12,43.633333333333,3.6361111111111,16,1,0.70833333333333,76.333333333333,0
20200728,7,23.1,3.3,9,1,0.64285714285714,61.857142857143,0
20200729,1,3.85,3.85,1,1,0.75,87,0
20200730,0,0,0,0,0,0,0,0
20200731,0,0,0,0,0,0,0,0
