"# ------------------------------------"
"Report: Top Countries"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2019-04-02 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_6xmsylie"
"# ------------------------------------"
object_id,country,coordinates,count_plays,count_plays_25,count_plays_50,count_plays_75,count_plays_100,play_through_ratio,unique_known_users,avg_view_drop_off,count_loads
CO,Colombia,4/-73.25,86,57,48,42,18,0.2093023255814,1,0.4796511627907,166
DO,"Dominican Republic",19/-70.66667,27,21,19,17,5,0.18518518518519,1,0.57407407407407,36
AR,Argentina,'-34/-64,20,14,12,10,2,0.1,1,0.475,30
UY,Uruguay,'-33/-56,16,12,9,9,4,0.25,1,0.53125,22
US,"United States",39.76/-98.5,14,9,5,4,3,0.21428571428571,1,0.375,16
MX,Mexico,23/-102,13,6,5,4,2,0.15384615384615,1,0.32692307692308,20
EC,Ecuador,'-1.25/-78.25,9,6,6,6,2,0.22222222222222,1,0.55555555555556,16
PE,Peru,'-10/-75.25,7,6,4,2,2,0.28571428571429,1,0.5,12
BR,Brazil,'-10/-55,4,4,4,3,1,0.25,1,0.75,6
CL,Chile,'-30/-71,3,2,2,2,0,0,1,0.5,5
CR,"Costa Rica",10/-84,3,3,2,2,0,0,1,0.58333333333333,4
ES,Spain,40/-4,3,1,1,1,1,0.33333333333333,1,0.33333333333333,6
BO,"Bolivia, Plurinational State of",'-17/-65,1,0,0,0,0,0,1,0,1
IT,Italy,42.83333/12.83333,1,0,0,0,0,0,1,0,1
JP,Japan,35.68536/139.75309,1,0,0,0,0,0,1,0,1
UK,"United Kingdom",54.75844/-2.69531,1,0,0,0,0,0,1,0,1
SV,"El Salvador",13.83333/-88.91667,0,0,0,0,0,0,0,0,2
NI,Nicaragua,13/-85,0,0,0,0,0,0,0,0,1

