"# ------------------------------------"
"Report: Top Countries"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2017-04-12 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_ligvm3be"
"# ------------------------------------"
object_id,country,coordinates,count_plays,count_plays_25,count_plays_50,count_plays_75,count_plays_100,play_through_ratio,unique_known_users,avg_view_drop_off,count_loads
CO,Colombia,4/-73.25,36,23,16,12,4,0.11111111111111,2,0.38194444444444,68
BR,Brazil,'-10/-55,12,5,4,3,1,0.083333333333333,1,0.27083333333333,19
AR,Argentina,'-34/-64,11,7,5,4,0,0,1,0.36363636363636,17
MX,Mexico,23/-102,11,9,8,4,3,0.27272727272727,1,0.54545454545455,25
UY,Uruguay,'-33/-56,9,7,5,2,0,0,1,0.38888888888889,15
PE,Peru,'-10/-75.25,8,5,5,3,2,0.25,1,0.46875,11
CL,Chile,'-30/-71,5,3,2,1,0,0,1,0.3,10
EC,Ecuador,'-1.25/-78.25,5,4,3,2,0,0,1,0.45,8
GT,Guatemala,15.5/-90.25,1,0,0,0,0,0,1,0,1
AU,Australia,'-25/135,0,0,0,0,0,0,0,0,1
CA,Canada,60.10867/-113.64258,0,0,0,0,0,0,0,0,1
DE,Germany,51.5/10.5,0,0,0,0,0,0,0,0,1
KW,Kuwait,29.5/47.75,0,0,0,0,0,0,0,0,1
US,"United States",39.76/-98.5,0,0,0,0,0,0,0,0,2

