"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2018-09-19 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_bfbsa1vw"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20180919,1,39.3,39.3,4,3,0.75,0,0
20180920,0,0,0,5,2,0,0,0
20180921,43,812.3,18.890697674419,107,1,0.36046511627907,0,0
20180922,53,773.01666666667,14.585220125786,129,1,0.27830188679245,0,0
20180923,59,917.1,15.54406779661,137,1,0.29661016949153,0,0
20180924,26,196.53333333333,7.5589743589744,74,1,0.14423076923077,0,0
20180925,40,707.48333333333,17.687083333333,81,1,0.3375,0,0
20180926,18,196.51666666667,10.917592592593,49,1,0.20833333333333,0,0
20180927,24,104.81666666667,4.3673611111111,52,1,0.083333333333333,0,0
20180928,26,196.51666666667,7.5583333333333,63,1,0.14423076923077,0,0
20180929,31,393.03333333333,12.678494623656,63,1,0.24193548387097,0,0
20180930,29,353.75,12.198275862069,61,1,0.23275862068966,0,0
20181001,18,209.65,11.647222222222,37,1,0.22222222222222,0,0
20181002,21,170.31666666667,8.1103174603175,34,1,0.1547619047619,0,0
20181003,8,235.85,29.48125,24,1,0.5625,0,0
20181004,19,170.33333333333,8.9649122807018,37,1,0.17105263157895,0,0
20181005,17,379.95,22.35,34,1,0.42647058823529,0,0
20181006,18,235.85,13.102777777778,46,1,0.25,0,0
20181007,12,196.55,16.379166666667,34,1,0.3125,0,0
20181008,10,65.5,6.55,26,1,0.125,0,0
20181009,4,13.1,3.275,15,1,0.0625,0,0
20181010,7,52.4,7.4857142857143,18,1,0.14285714285714,0,0
20181011,7,144.13333333333,20.590476190476,12,1,0.39285714285714,0,0
20181012,8,78.616666666667,9.8270833333333,14,1,0.1875,0,0
20181013,9,144.1,16.011111111111,19,1,0.30555555555556,0,0
20181014,6,144.11666666667,24.019444444444,12,1,0.45833333333333,0,0
20181015,5,39.316666666667,7.8633333333333,19,1,0.15,0,0
20181016,11,65.5,5.9545454545455,23,1,0.11363636363636,0,0
20181017,5,144.11666666667,28.823333333333,14,1,0.55,0,0
20181018,1,0,0,7,1,0,0,0
20181019,3,104.83333333333,34.944444444444,9,1,0.66666666666667,0,0
20181020,10,209.65,20.965,17,1,0.4,0,0
20181021,7,52.4,7.4857142857143,20,1,0.14285714285714,0,0
20181022,4,39.3,9.825,7,1,0.1875,0,0
