"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2017-10-02 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_ru954jv4"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20171002,0,0,0,0,0,0,0,0
20171003,0,0,0,0,0,0,0,0
20171004,1,25.3,25.3,1,1,1,0,0
20171005,0,0,0,0,0,0,0,0
20171006,0,0,0,0,0,0,0,0
20171007,0,0,0,0,0,0,0,0
20171008,0,0,0,0,0,0,0,0
20171009,0,0,0,0,0,0,0,0
20171010,1,6.3333333333333,6.3333333333333,8,2,0.25,0,0
20171011,0,0,0,0,0,0,0,0
20171012,0,0,0,5,1,0,0,0
20171013,1,25.3,25.3,3,1,1,0,0
20171014,3,44.266666666667,14.755555555556,2,1,0.58333333333333,0,0
20171015,3,0,0,7,1,0,0,0
20171016,3,25.3,8.4333333333333,8,1,0.33333333333333,0,0
20171017,4,56.916666666667,14.229166666667,7,1,0.5625,0,0
20171018,2,18.966666666667,9.4833333333333,5,1,0.375,0,0
20171019,1,0,0,4,1,0,0,0
20171020,5,69.566666666667,13.913333333333,5,1,0.55,0,0
20171021,4,18.966666666667,4.7416666666667,10,1,0.1875,0,0
20171022,3,6.3166666666667,2.1055555555556,3,1,0.083333333333333,0,0
20171023,4,88.533333333333,22.133333333333,5,1,0.875,0,0
20171024,1,0,0,1,1,0,0,0
20171025,2,25.3,12.65,4,1,0.5,0,0
20171026,0,0,0,3,1,0,0,0
20171027,2,6.3166666666667,3.1583333333333,4,1,0.125,0,0
20171028,4,12.65,3.1625,5,1,0.125,0,0
20171029,2,50.6,25.3,3,1,1,0,0
20171030,1,0,0,2,1,0,0,0
20171031,0,0,0,1,1,0,0,0
20171101,2,25.3,12.65,2,1,0.5,0,0
20171102,5,63.25,12.65,5,1,0.5,0,0
20171103,2,6.3166666666667,3.1583333333333,5,1,0.125,0,0
20171104,1,0,0,2,1,0,0,0
20171105,2,31.616666666667,15.808333333333,6,1,0.625,0,0
20171106,1,44.283333333333,44.283333333333,3,1,1.75,0,0
20171107,4,56.916666666667,14.229166666667,5,1,0.5625,0,0
20171108,0,0,0,1,1,0,0,0
20171109,0,0,0,1,1,0,0,0
20171110,2,18.966666666667,9.4833333333333,6,1,0.375,0,0
20171111,1,0,0,5,1,0,0,0
20171112,3,44.266666666667,14.755555555556,4,1,0.58333333333333,0,0
20171113,0,0,0,0,0,0,0,0
20171114,2,12.65,6.325,2,1,0.25,0,0
20171115,1,0,0,3,1,0,0,0
20171116,1,12.65,12.65,2,1,0.5,0,0
20171117,2,25.283333333333,12.641666666667,2,1,0.5,0,0
20171118,0,6.3333333333333,0,2,1,0,0,0
20171119,0,0,0,1,1,0,0,0
20171120,1,6.3166666666667,6.3166666666667,4,1,0.25,0,0
20171121,3,12.65,4.2166666666667,4,1,0.16666666666667,0,0
20171122,1,6.3166666666667,6.3166666666667,2,1,0.25,0,0
20171123,0,0,0,2,1,0,0,0
20171124,0,0,0,1,1,0,0,0
20171125,0,0,0,1,1,0,0,0
20171126,3,50.6,16.866666666667,4,1,0.66666666666667,0,0
20171127,1,6.3166666666667,6.3166666666667,7,1,0.25,0,0
20171128,2,25.3,12.65,3,1,0.5,0,0
20171129,0,0,0,1,1,0,0,0
20171130,0,0,0,2,1,0,0,0
20171201,1,25.3,25.3,1,1,1,0,0
20171202,0,0,0,1,1,0,0,0
20171203,0,0,0,1,1,0,0,0
20171204,4,25.3,6.325,5,1,0.25,0,0
20171205,7,75.9,10.842857142857,19,1,0.42857142857143,0,0
20171206,2,25.3,12.65,7,1,0.5,0,0
20171207,2,50.6,25.3,7,1,1,0,0
20171208,2,50.6,25.3,5,1,1,0,0
20171209,0,0,0,4,1,0,0,0
20171210,2,12.65,6.325,4,1,0.25,0,0
20171211,2,37.95,18.975,6,1,0.75,0,0
20171212,0,0,0,2,1,0,0,0
20171213,3,50.6,16.866666666667,8,1,0.66666666666667,0,0
20171214,2,25.3,12.65,3,1,0.5,0,0
20171215,1,25.3,25.3,1,1,1,0,0
20171216,2,18.966666666667,9.4833333333333,5,1,0.375,0,0
20171217,1,12.65,12.65,1,1,0.5,0,0
20171218,0,0,0,2,1,0,0,0
20171219,1,0,0,2,1,0,0,0
20171220,2,25.3,12.65,1,1,0.5,0,0
