"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2017-08-23 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_3sd668yc"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20170823,0,0,0,0,0,0,0,0
20170824,0,0,0,0,0,0,0,0
20170825,0,0,0,0,0,0,0,0
20170826,0,0,0,0,0,0,0,0
20170827,0,0,0,0,0,0,0,0
20170828,0,0,0,1,1,0,0,0
20170829,0,0,0,0,0,0,0,0
20170830,0,0,0,0,0,0,0,0
20170831,0,0,0,0,0,0,0,0
20170901,1,8.6833333333333,8.6833333333333,2,1,0.75,0,0
20170902,0,0,0,0,0,0,0,0
20170903,0,0,0,0,0,0,0,0
20170904,0,0,0,0,0,0,0,0
20170905,0,0,0,0,0,0,0,0
20170906,0,0,0,0,0,0,0,0
20170907,0,0,0,0,0,0,0,0
20170908,0,0,0,0,0,0,0,0
20170909,0,0,0,0,0,0,0,0
20170910,0,0,0,0,0,0,0,0
20170911,0,0,0,0,0,0,0,0
20170912,1,0,0,4,2,0,0,0
20170913,0,0,0,0,0,0,0,0
20170914,4,26.05,6.5125,14,2,0.5625,0,0
20170915,9,78.166666666667,8.6851851851852,13,1,0.75,0,0
20170916,5,26.033333333333,5.2066666666667,9,1,0.45,0,0
20170917,10,69.466666666667,6.9466666666667,16,1,0.6,0,0
20170918,6,55,9.1666666666667,7,1,0.79166666666667,0,0
20170919,6,52.116666666667,8.6861111111111,9,1,0.75,0,0
20170920,6,26.05,4.3416666666667,9,1,0.375,0,0
20170921,5,43.416666666667,8.6833333333333,10,1,0.75,0,0
20170922,4,28.95,7.2375,9,1,0.625,0,0
20170923,10,49.2,4.92,12,1,0.425,0,0
20170924,13,78.133333333333,6.0102564102564,14,1,0.51923076923077,0,0
20170925,3,11.583333333333,3.8611111111111,5,1,0.33333333333333,0,0
20170926,1,8.6833333333333,8.6833333333333,8,1,0.75,0,0
20170927,5,37.633333333333,7.5266666666667,10,1,0.65,0,0
20170928,5,34.716666666667,6.9433333333333,8,1,0.6,0,0
20170929,7,31.833333333333,4.547619047619,9,1,0.39285714285714,0,0
20170930,4,26.05,6.5125,10,1,0.5625,0,0
20171001,6,43.416666666667,7.2361111111111,7,1,0.625,0,0
20171002,8,78.166666666667,9.7708333333333,12,1,0.84375,0,0
20171003,5,23.15,4.63,7,1,0.4,0,0
20171004,1,0,0,4,1,0,0,0
20171005,4,28.933333333333,7.2333333333333,7,1,0.625,0,0
20171006,2,8.6833333333333,4.3416666666667,6,1,0.375,0,0
20171007,9,46.316666666667,5.1462962962963,11,1,0.44444444444444,0,0
20171008,6,40.516666666667,6.7527777777778,8,1,0.58333333333333,0,0
20171009,4,26.05,6.5125,5,1,0.5625,0,0
20171010,3,11.566666666667,3.8555555555556,5,1,0.33333333333333,0,0
20171011,3,8.6833333333333,2.8944444444444,4,1,0.25,0,0
20171012,6,23.15,3.8583333333333,9,1,0.33333333333333,0,0
20171013,1,2.8833333333333,2.8833333333333,2,1,0.25,0,0
20171014,4,40.533333333333,10.133333333333,6,1,0.875,0,0
20171015,2,8.6833333333333,4.3416666666667,2,1,0.375,0,0
20171016,6,31.833333333333,5.3055555555556,7,1,0.45833333333333,0,0
20171017,2,17.366666666667,8.6833333333333,6,1,0.75,0,0
20171018,2,8.6833333333333,4.3416666666667,4,1,0.375,0,0
20171019,8,20.266666666667,2.5333333333333,12,1,0.21875,0,0
20171020,7,28.933333333333,4.1333333333333,10,1,0.35714285714286,0,0
20171021,2,17.366666666667,8.6833333333333,4,1,0.75,0,0
20171022,6,11.55,1.925,9,1,0.16666666666667,0,0
20171023,4,11.566666666667,2.8916666666667,9,1,0.25,0,0
20171024,4,37.633333333333,9.4083333333333,6,1,0.8125,0,0
20171025,1,8.6833333333333,8.6833333333333,1,1,0.75,0,0
20171026,5,43.416666666667,8.6833333333333,6,1,0.75,0,0
20171027,3,26.05,8.6833333333333,3,1,0.75,0,0
20171028,6,28.95,4.825,9,1,0.41666666666667,0,0
20171029,6,28.95,4.825,8,1,0.41666666666667,0,0
20171030,2,17.366666666667,8.6833333333333,3,1,0.75,0,0
20171031,1,8.6833333333333,8.6833333333333,4,1,0.75,0,0
20171101,0,0,0,2,1,0,0,0
20171102,1,11.583333333333,11.583333333333,4,1,1,0,0
20171103,7,34.716666666667,4.9595238095238,11,1,0.42857142857143,0,0
20171104,0,0,0,1,1,0,0,0
20171105,2,11.566666666667,5.7833333333333,3,1,0.5,0,0
20171106,2,17.366666666667,8.6833333333333,3,1,0.75,0,0
20171107,0,0,0,1,1,0,0,0
20171108,3,17.366666666667,5.7888888888889,8,1,0.5,0,0
20171109,1,11.583333333333,11.583333333333,2,1,1,0,0
20171110,5,31.833333333333,6.3666666666667,13,1,0.55,0,0
20171111,3,26.05,8.6833333333333,3,1,0.75,0,0
20171112,1,11.583333333333,11.583333333333,3,1,1,0,0
20171113,2,14.466666666667,7.2333333333333,5,1,0.625,0,0
20171114,1,8.6833333333333,8.6833333333333,1,1,0.75,0,0
20171115,1,11.583333333333,11.583333333333,3,1,1,0,0
20171116,3,17.366666666667,5.7888888888889,3,1,0.5,0,0
20171117,1,11.583333333333,11.583333333333,5,1,1,0,0
20171118,3,20.266666666667,6.7555555555556,5,1,0.58333333333333,0,0
20171119,3,14.466666666667,4.8222222222222,5,1,0.41666666666667,0,0
20171120,4,26.033333333333,6.5083333333333,5,1,0.5625,0,0
20171121,4,8.6833333333333,2.1708333333333,6,1,0.1875,0,0
20171122,2,17.366666666667,8.6833333333333,3,1,0.75,0,0
20171123,1,8.6833333333333,8.6833333333333,2,1,0.75,0,0
20171124,2,14.466666666667,7.2333333333333,3,1,0.625,0,0
20171125,0,0,0,1,1,0,0,0
20171126,0,0,0,1,1,0,0,0
20171127,3,28.95,9.65,3,1,0.83333333333333,0,0
20171128,2,8.6833333333333,4.3416666666667,3,1,0.375,0,0
20171129,2,17.366666666667,8.6833333333333,2,1,0.75,0,0
20171130,1,11.583333333333,11.583333333333,3,1,1,0,0
20171201,1,8.6833333333333,8.6833333333333,1,1,0.75,0,0
20171202,3,20.266666666667,6.7555555555556,4,1,0.58333333333333,0,0
20171203,4,23.15,5.7875,5,1,0.5,0,0
20171204,2,17.366666666667,8.6833333333333,3,1,0.75,0,0
20171205,2,20.266666666667,10.133333333333,3,1,0.875,0,0
20171206,1,11.583333333333,11.583333333333,2,1,1,0,0
20171207,1,0,0,2,1,0,0,0
20171208,4,28.95,7.2375,4,1,0.625,0,0
20171209,0,0,0,3,1,0,0,0
20171210,5,37.633333333333,7.5266666666667,6,1,0.65,0,0
20171211,2,14.466666666667,7.2333333333333,2,1,0.625,0,0
20171212,2,17.366666666667,8.6833333333333,4,1,0.75,0,0
20171213,5,26.05,5.21,6,1,0.45,0,0
20171214,1,8.6833333333333,8.6833333333333,4,1,0.75,0,0
20171215,0,0,0,0,0,0,0,0
20171216,2,17.366666666667,8.6833333333333,5,1,0.75,0,0
20171217,1,8.6833333333333,8.6833333333333,3,1,0.75,0,0
20171218,4,14.466666666667,3.6166666666667,5,1,0.3125,0,0
20171219,1,0,0,5,1,0,0,0
20171220,1,8.6833333333333,8.6833333333333,3,1,0.75,0,0
20171221,4,26.05,6.5125,5,1,0.5625,0,0
20171222,1,8.6833333333333,8.6833333333333,1,1,0.75,0,0
20171223,0,0,0,0,0,0,0,0
20171224,0,0,0,0,0,0,0,0
20171225,1,8.6833333333333,8.6833333333333,1,1,0.75,0,0
20171226,1,2.8833333333333,2.8833333333333,2,1,0.25,0,0
20171227,1,0,0,3,1,0,0,0
20171228,2,17.366666666667,8.6833333333333,6,1,0.75,0,0
20171229,2,0,0,3,1,0,0,0
20171230,1,11.583333333333,11.583333333333,3,1,1,0,0
20171231,1,8.6833333333333,8.6833333333333,1,1,0.75,0,0
20180101,0,0,0,1,1,0,0,0
20180102,1,0,0,2,1,0,0,0
20180103,0,0,0,0,0,0,0,0
20180104,1,2.8833333333333,2.8833333333333,1,1,0.25,0,0
