"# ------------------------------------"
"Report: Top Countries"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2019-09-24 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_7499mqft"
"# ------------------------------------"
object_id,country,coordinates,count_plays,count_plays_25,count_plays_50,count_plays_75,count_plays_100,play_through_ratio,unique_known_users,avg_view_drop_off,count_loads
CO,Colombia,4/-73.25,359,195,156,133,32,0.089136490250696,2,0.35933147632312,600
MX,Mexico,23/-102,31,17,15,12,2,0.064516129032258,1,0.37096774193548,46
AR,Argentina,'-34/-64,29,11,7,4,1,0.03448275862069,1,0.19827586206897,52
BR,Brazil,'-10/-55,15,4,3,3,0,0,1,0.16666666666667,24
UY,Uruguay,'-33/-56,14,3,2,2,1,0.071428571428571,1,0.14285714285714,21
EC,Ecuador,'-1.25/-78.25,12,5,4,3,0,0,1,0.25,21
PE,Peru,'-10/-75.25,11,6,4,4,1,0.090909090909091,1,0.34090909090909,29
CL,Chile,'-30/-71,6,3,3,3,2,0.33333333333333,1,0.45833333333333,8
,'-,,5,2,2,2,1,0.2,1,0.35,6
BO,"Bolivia, Plurinational State of",'-17/-65,3,2,0,0,0,0,1,0.16666666666667,5
CR,"Costa Rica",10/-84,1,0,0,0,0,0,1,0,2
PA,Panama,9/-80,1,1,1,1,0,0,1,0.75,1
VE,"Venezuela, Bolivarian Republic of",8/-66,1,0,0,0,0,0,1,0,1
AU,Australia,'-25/135,0,0,0,0,0,0,0,0,2
CA,Canada,60.10867/-113.64258,0,0,0,0,0,0,0,0,1
DE,Germany,51.5/10.5,0,0,0,0,0,0,0,0,2
NL,Netherlands,52.25/5.75,0,0,0,0,0,0,0,0,1
PH,Philippines,13/122,0,0,0,0,0,0,0,0,1
PT,Portugal,39.6945/-8.13057,0,0,0,0,0,0,0,0,1
ES,Spain,40/-4,0,0,0,0,0,0,0,0,6
CH,Switzerland,47.00016/8.01427,0,0,0,0,0,0,0,0,1
US,"United States",39.76/-98.5,0,0,0,0,0,0,0,0,14

