"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2017-11-07 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_d23utje0"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20171107,2,49.666666666667,24.833333333333,3,3,0.875,0,0
20171108,0,0,0,0,0,0,0,0
20171109,0,0,0,0,0,0,0,0
20171110,0,0,0,0,0,0,0,0
20171111,0,0,0,0,0,0,0,0
20171112,0,0,0,0,0,0,0,0
20171113,0,0,0,0,0,0,0,0
20171114,0,0,0,0,0,0,0,0
20171115,0,0,0,0,0,0,0,0
20171116,0,0,0,0,0,0,0,0
20171117,0,0,0,0,0,0,0,0
20171118,0,0,0,0,0,0,0,0
20171119,0,0,0,0,0,0,0,0
20171120,0,0,0,0,0,0,0,0
20171121,0,0,0,0,0,0,0,0
20171122,0,0,0,0,0,0,0,0
20171123,0,0,0,0,0,0,0,0
20171124,0,0,0,0,0,0,0,0
20171125,0,0,0,0,0,0,0,0
20171126,0,0,0,0,0,0,0,0
20171127,0,0,0,0,0,0,0,0
20171128,0,0,0,0,0,0,0,0
20171129,0,0,0,0,0,0,0,0
20171130,0,0,0,0,0,0,0,0
20171201,0,0,0,0,0,0,0,0
20171202,0,0,0,0,0,0,0,0
20171203,0,0,0,0,0,0,0,0
20171204,0,0,0,0,0,0,0,0
20171205,0,0,0,0,0,0,0,0
20171206,0,0,0,0,0,0,0,0
20171207,0,0,0,0,0,0,0,0
20171208,0,0,0,0,0,0,0,0
20171209,0,0,0,0,0,0,0,0
20171210,0,0,0,0,0,0,0,0
20171211,0,0,0,0,0,0,0,0
20171212,0,0,0,0,0,0,0,0
20171213,0,0,0,0,0,0,0,0
20171214,0,0,0,0,0,0,0,0
20171215,0,0,0,0,0,0,0,0
20171216,0,0,0,0,0,0,0,0
20171217,0,0,0,0,0,0,0,0
20171218,0,0,0,0,0,0,0,0
20171219,0,0,0,0,0,0,0,0
20171220,0,0,0,0,0,0,0,0
20171221,0,0,0,0,0,0,0,0
20171222,0,0,0,0,0,0,0,0
20171223,0,0,0,0,0,0,0,0
20171224,0,0,0,0,0,0,0,0
20171225,0,0,0,0,0,0,0,0
20171226,0,0,0,0,0,0,0,0
20171227,0,0,0,0,0,0,0,0
20171228,0,0,0,0,0,0,0,0
20171229,0,0,0,0,0,0,0,0
20171230,0,0,0,0,0,0,0,0
20171231,0,0,0,0,0,0,0,0
20180101,0,0,0,0,0,0,0,0
20180102,0,0,0,0,0,0,0,0
20180103,0,0,0,0,0,0,0,0
20180104,0,0,0,0,0,0,0,0
20180105,0,0,0,0,0,0,0,0
20180106,0,0,0,0,0,0,0,0
20180107,0,0,0,0,0,0,0,0
20180108,0,0,0,0,0,0,0,0
20180109,0,0,0,0,0,0,0,0
20180110,0,0,0,0,0,0,0,0
20180111,0,0,0,0,0,0,0,0
20180112,0,0,0,0,0,0,0,0
20180113,0,0,0,0,0,0,0,0
20180114,0,0,0,0,0,0,0,0
20180115,0,0,0,0,0,0,0,0
20180116,0,0,0,0,0,0,0,0
20180117,0,0,0,0,0,0,0,0
20180118,0,0,0,0,0,0,0,0
20180119,0,0,0,0,0,0,0,0
20180120,0,0,0,0,0,0,0,0
20180121,0,0,0,0,0,0,0,0
20180122,0,0,0,0,0,0,0,0
20180123,0,0,0,0,0,0,0,0
20180124,0,0,0,0,0,0,0,0
20180125,0,0,0,0,0,0,0,0
20180126,0,0,0,0,0,0,0,0
20180127,0,0,0,0,0,0,0,0
20180128,0,0,0,0,0,0,0,0
20180129,0,0,0,0,0,0,0,0
20180130,0,0,0,0,0,0,0,0
20180131,0,0,0,0,0,0,0,0
20180201,2,0,0,4,2,0,0,0
20180202,0,0,0,1,1,0,0,0
20180203,0,0,0,0,0,0,0,0
20180204,0,0,0,0,0,0,0,0
20180205,0,0,0,0,0,0,0,0
20180206,0,0,0,0,0,0,0,0
20180207,5,28.35,5.67,7,1,0.2,0,0
20180208,8,78.033333333333,9.7541666666667,15,1,0.34375,0,0
20180209,6,106.41666666667,17.736111111111,8,1,0.625,0,0
20180210,2,28.383333333333,14.191666666667,7,1,0.5,0,0
20180211,1,28.383333333333,28.383333333333,2,1,1,0,0
20180212,2,56.766666666667,28.383333333333,2,1,1,0,0
20180213,2,28.383333333333,14.191666666667,3,1,0.5,0,0
20180214,4,49.65,12.4125,6,1,0.4375,0,0
20180215,4,63.833333333333,15.958333333333,4,1,0.5625,0,0
20180216,4,42.566666666667,10.641666666667,7,1,0.375,0,0
20180217,3,49.65,16.55,8,1,0.58333333333333,0,0
20180218,8,56.75,7.09375,14,1,0.25,0,0
20180219,10,92.233333333333,9.2233333333333,11,1,0.325,0,0
20180220,1,21.283333333333,21.283333333333,6,1,0.75,0,0
20180221,5,70.933333333333,14.186666666667,8,1,0.5,0,0
20180222,5,56.75,11.35,5,1,0.4,0,0
20180223,5,0,0,7,1,0,0,0
20180224,2,21.283333333333,10.641666666667,4,1,0.375,0,0
20180225,2,21.283333333333,10.641666666667,8,1,0.375,0,0
20180226,3,14.166666666667,4.7222222222222,6,1,0.16666666666667,0,0
20180227,1,0,0,3,1,0,0,0
20180228,4,35.466666666667,8.8666666666667,7,1,0.3125,0,0
20180301,7,99.316666666667,14.188095238095,10,1,0.5,0,0
20180302,3,28.366666666667,9.4555555555556,4,1,0.33333333333333,0,0
20180303,2,0,0,2,1,0,0,0
20180304,3,49.65,16.55,5,1,0.58333333333333,0,0
20180305,1,14.183333333333,14.183333333333,2,1,0.5,0,0
20180306,1,35.483333333333,35.483333333333,2,1,1.25,0,0
20180307,3,0,0,4,1,0,0,0
20180308,2,0,0,3,1,0,0,0
20180309,2,7.0833333333333,3.5416666666667,6,1,0.125,0,0
20180310,2,35.466666666667,17.733333333333,7,1,0.625,0,0
20180311,0,0,0,3,1,0,0,0
20180312,0,14.183333333333,0,3,1,0,0,0
