"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2017-01-30 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_mq8gc1d6"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20170130,2,0,0,3,2,0,0,0
20170131,1,24.6,24.6,2,2,1,0,0
20170201,0,0,0,0,0,0,0,0
20170202,0,0,0,0,0,0,0,0
20170203,0,0,0,0,0,0,0,0
20170204,0,0,0,0,0,0,0,0
20170205,0,0,0,0,0,0,0,0
20170206,0,0,0,0,0,0,0,0
20170207,0,0,0,0,0,0,0,0
20170208,0,0,0,0,0,0,0,0
20170209,0,0,0,0,0,0,0,0
20170210,0,0,0,0,0,0,0,0
20170211,0,0,0,0,0,0,0,0
20170212,0,0,0,0,0,0,0,0
20170213,0,0,0,0,0,0,0,0
20170214,0,0,0,0,0,0,0,0
20170215,0,0,0,0,0,0,0,0
20170216,0,0,0,0,0,0,0,0
20170217,0,0,0,0,0,0,0,0
20170218,0,0,0,0,0,0,0,0
20170219,0,0,0,0,0,0,0,0
20170220,0,0,0,0,0,0,0,0
20170221,0,0,0,0,0,0,0,0
20170222,0,0,0,0,0,0,0,0
20170223,0,0,0,0,0,0,0,0
20170224,0,0,0,0,0,0,0,0
20170225,0,0,0,0,0,0,0,0
20170226,0,0,0,0,0,0,0,0
20170227,0,0,0,0,0,0,0,0
20170228,1,0,0,1,1,0,0,0
20170301,0,0,0,2,1,0,0,0
20170302,0,0,0,2,1,0,0,0
20170303,1,18.45,18.45,1,1,0.75,0,0
20170304,1,18.45,18.45,1,1,0.75,0,0
20170305,2,18.45,9.225,4,1,0.375,0,0
20170306,0,0,0,2,1,0,0,0
20170307,6,55.35,9.225,9,1,0.375,0,0
20170308,3,43.05,14.35,3,1,0.58333333333333,0,0
20170309,2,0,0,2,1,0,0,0
20170310,0,0,0,3,1,0,0,0
20170311,1,6.15,6.15,2,1,0.25,0,0
20170312,1,12.3,12.3,1,1,0.5,0,0
20170313,1,0,0,1,1,0,0,0
20170314,2,24.6,12.3,3,1,0.5,0,0
20170315,2,12.3,6.15,3,1,0.25,0,0
20170316,0,0,0,0,0,0,0,0
20170317,1,6.15,6.15,2,1,0.25,0,0
20170318,0,0,0,1,1,0,0,0
20170319,2,30.75,15.375,4,1,0.625,0,0
20170320,2,24.6,12.3,2,1,0.5,0,0
20170321,0,0,0,0,0,0,0,0
20170322,1,6.15,6.15,1,1,0.25,0,0
20170323,0,0,0,0,0,0,0,0
20170324,3,12.3,4.1,5,1,0.16666666666667,0,0
20170325,2,24.6,12.3,2,1,0.5,0,0
20170326,0,0,0,1,1,0,0,0
