"# ------------------------------------"
"Report: Top Countries"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2019-04-02 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_yd3oimh6"
"# ------------------------------------"
object_id,country,coordinates,count_plays,count_plays_25,count_plays_50,count_plays_75,count_plays_100,play_through_ratio,unique_known_users,avg_view_drop_off,count_loads
CO,Colombia,4/-73.25,111,81,65,56,25,0.22522522522523,1,0.51126126126126,171
AR,Argentina,'-34/-64,21,18,13,12,8,0.38095238095238,1,0.60714285714286,36
DO,"Dominican Republic",19/-70.66667,21,14,12,10,7,0.33333333333333,1,0.51190476190476,34
MX,Mexico,23/-102,16,13,11,7,5,0.3125,1,0.5625,32
PE,Peru,'-10/-75.25,12,8,7,7,3,0.25,1,0.52083333333333,17
UY,Uruguay,'-33/-56,12,10,10,9,5,0.41666666666667,1,0.70833333333333,18
EC,Ecuador,'-1.25/-78.25,11,9,8,8,2,0.18181818181818,1,0.61363636363636,19
BR,Brazil,'-10/-55,9,5,5,5,3,0.33333333333333,1,0.5,13
US,"United States",39.76/-98.5,9,7,6,3,2,0.22222222222222,1,0.5,11
ES,Spain,40/-4,3,1,1,1,1,0.33333333333333,1,0.33333333333333,5
BO,"Bolivia, Plurinational State of",'-17/-65,2,2,2,2,1,0.5,1,0.875,6
CL,Chile,'-30/-71,2,2,2,1,1,0.5,1,0.75,3
AT,Austria,47.33333/13.33333,1,0,0,0,0,0,1,0,1
CA,Canada,60.10867/-113.64258,1,0,0,0,0,0,1,0,3
CR,"Costa Rica",10/-84,1,1,1,1,0,0,1,0.75,3
FR,France,46/2,1,1,1,1,1,1,1,1,1
GT,Guatemala,15.5/-90.25,1,1,0,0,0,0,1,0.25,1
NL,Netherlands,52.25/5.75,1,1,1,1,0,0,1,0.75,1
PT,Portugal,39.6945/-8.13057,1,1,1,1,1,1,1,1,1
SE,Sweden,62/15,1,0,0,0,0,0,1,0,1
UK,"United Kingdom",54.75844/-2.69531,1,1,1,0,0,0,1,0.5,1

