"# ------------------------------------"
"Report: Top Countries"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2019-04-04 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_z9vdz5bs"
"# ------------------------------------"
object_id,country,coordinates,count_plays,count_plays_25,count_plays_50,count_plays_75,count_plays_100,play_through_ratio,unique_known_users,avg_view_drop_off,count_loads
CO,Colombia,4/-73.25,75,60,53,48,44,0.58666666666667,2,0.68333333333333,116
DO,"Dominican Republic",19/-70.66667,20,18,16,12,10,0.5,1,0.7,31
AR,Argentina,'-34/-64,17,13,9,8,8,0.47058823529412,1,0.55882352941176,32
EC,Ecuador,'-1.25/-78.25,14,9,7,6,5,0.35714285714286,1,0.48214285714286,30
MX,Mexico,23/-102,11,10,10,7,6,0.54545454545455,1,0.75,21
BR,Brazil,'-10/-55,10,4,3,3,2,0.2,1,0.3,12
PE,Peru,'-10/-75.25,9,5,4,4,2,0.22222222222222,1,0.41666666666667,18
CL,Chile,'-30/-71,6,3,3,3,3,0.5,1,0.5,8
UY,Uruguay,'-33/-56,3,3,2,1,1,0.33333333333333,1,0.58333333333333,4
BO,"Bolivia, Plurinational State of",'-17/-65,2,2,2,2,2,1,1,1,2
IT,Italy,42.83333/12.83333,2,1,1,1,1,0.5,1,0.5,2
NL,Netherlands,52.25/5.75,2,1,1,1,1,0.5,1,0.5,2
PY,Paraguay,'-23.33333/-58,2,2,2,2,2,1,1,1,2
FR,France,46/2,1,1,1,0,0,0,1,0.5,1
DE,Germany,51.5/10.5,1,0,1,1,1,1,1,0.75,3
PR,"Puerto Rico",18.24829/-66.49989,1,1,1,1,1,1,1,1,1
US,"United States",39.76/-98.5,1,1,1,1,1,1,1,1,3
CR,"Costa Rica",10/-84,0,0,0,0,0,0,0,0,2
CZ,"Czech Republic",49.75/15,0,0,0,0,0,0,0,0,1
ES,Spain,40/-4,0,0,0,0,0,0,0,0,3
VN,"Viet Nam",16.16667/107.83333,0,0,0,0,0,0,0,0,1

