"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2020-06-04 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 1_eb6i8tm2"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20200604,0,0,0,2,1,0,0,0
20200605,0,0,0,0,0,0,0,0
20200606,0,0,0,0,0,0,0,0
20200607,0,0,0,0,0,0,0,0
20200608,0,0,0,0,0,0,0,0
20200609,0,0,0,0,0,0,0,0
20200610,0,0,0,0,0,0,0,0
20200611,0,0,0,2,1,0,0,0
20200612,0,0,0,11,2,0,0,0
20200613,0,0,0,2,1,0,0,0
20200614,0,0,0,4,2,0,0,0
20200615,90,1477.15,16.412777777778,158,1,0.63055555555556,61.433333333333,0
20200616,60,1164.8166666667,19.413611111111,126,2,0.74583333333333,78.933333333333,0
20200617,60,1002.1333333333,16.702222222222,104,1,0.64166666666667,64.7,0
20200618,40,722.33333333333,18.058333333333,78,1,0.69375,76.2,0
20200619,42,637.73333333333,15.184126984127,78,1,0.58333333333333,56.333333333333,0
20200620,10,253.81666666667,25.381666666667,16,1,0.975,111.9,0
20200621,0,0,0,1,1,0,0,0
20200622,0,0,0,1,1,0,0,0
20200623,0,0,0,1,1,0,0,0
20200624,0,0,0,1,1,0,0,0
20200625,0,0,0,2,1,0,0,0
20200626,0,0,0,0,0,0,0,0
20200627,0,0,0,1,1,0,0,0
20200628,0,0,0,0,0,0,0,0
20200629,0,0,0,0,0,0,0,0
20200630,0,0,0,0,0,0,0,0
20200701,0,0,0,1,1,0,0,0
20200702,0,0,0,0,0,0,0,0
20200703,0,0,0,0,0,0,0,0
20200704,0,0,0,0,0,0,0,0
20200705,0,0,0,0,0,0,0,0
20200706,0,0,0,0,0,0,0,0
20200707,0,0,0,0,0,0,0,0
20200708,0,0,0,0,0,0,0,0
20200709,0,0,0,0,0,0,0,0
20200710,0,0,0,0,0,0,0,0
20200711,0,0,0,0,0,0,0,0
20200712,0,0,0,0,0,0,0,0
20200713,0,0,0,0,0,0,0,0
20200714,0,0,0,0,0,0,0,0
20200715,0,0,0,0,0,0,0,0
20200716,0,0,0,0,0,0,0,0
20200717,0,0,0,0,0,0,0,0
20200718,0,0,0,0,0,0,0,0
20200719,0,0,0,0,0,0,0,0
20200720,0,0,0,0,0,0,0,0
20200721,0,0,0,0,0,0,0,0
20200722,0,0,0,0,0,0,0,0
20200723,0,0,0,0,0,0,0,0
20200724,0,0,0,0,0,0,0,0
20200725,0,0,0,0,0,0,0,0
20200726,0,0,0,0,0,0,0,0
20200727,0,0,0,0,0,0,0,0
20200728,0,0,0,0,0,0,0,0
20200729,0,0,0,0,0,0,0,0
20200730,0,0,0,0,0,0,0,0
20200731,0,0,0,0,0,0,0,0
