"# ------------------------------------"
"Report: Top Countries"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2020-06-04 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 1_eb6i8tm2"
"# ------------------------------------"
object_id,country,coordinates,count_plays,count_plays_25,count_plays_50,count_plays_75,count_plays_100,play_through_ratio,unique_known_users,avg_view_drop_off,count_loads
CO,Colombia,4/-73.25,301,240,223,207,135,0.4485049833887,1,0.66860465116279,478
US,"United States",39.76/-98.5,1,1,1,1,0,0,1,0.75,3
AR,Argentina,'-34/-64,0,0,0,0,0,0,0,0,34
BO,"Bolivia, Plurinational State of",'-17/-65,0,0,0,0,0,0,0,0,3
BR,Brazil,'-10/-55,0,0,0,0,0,0,0,0,12
CA,Canada,60.10867/-113.64258,0,0,0,0,0,0,0,0,1
CL,Chile,'-30/-71,0,0,0,0,0,0,0,0,1
CR,"Costa Rica",10/-84,0,0,0,0,0,0,0,0,1
DO,"Dominican Republic",19/-70.66667,0,0,0,0,0,0,0,0,1
EC,Ecuador,'-1.25/-78.25,0,0,0,0,0,0,0,0,7
FR,France,46/2,0,0,0,0,0,0,0,0,1
DE,Germany,51.5/10.5,0,0,0,0,0,0,0,0,2
IT,Italy,42.83333/12.83333,0,0,0,0,0,0,0,0,1
MX,Mexico,23/-102,0,0,0,0,0,0,0,0,24
PE,Peru,'-10/-75.25,0,0,0,0,0,0,0,0,6
ES,Spain,40/-4,0,0,0,0,0,0,0,0,5
UK,"United Kingdom",54.75844/-2.69531,0,0,0,0,0,0,0,0,2
UY,Uruguay,'-33/-56,0,0,0,0,0,0,0,0,6
VE,"Venezuela, Bolivarian Republic of",8/-66,0,0,0,0,0,0,0,0,1

