"# ------------------------------------"
"Report: Top Countries"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2016-09-22 05:00:00 - 2020-08-02 04:59:59 (GMT)"
"Filtered entries: 0_u4lmuu3o"
"# ------------------------------------"
object_id,country,coordinates,count_plays,count_plays_25,count_plays_50,count_plays_75,count_plays_100,play_through_ratio,unique_known_users,avg_view_drop_off,count_loads
CO,Colombia,4/-73.25,284,200,179,159,63,0.22183098591549,2,0.52904929577465,471
BR,Brazil,'-10/-55,43,25,17,13,6,0.13953488372093,1,0.3546511627907,64
AR,Argentina,'-34/-64,25,17,14,10,5,0.2,1,0.46,51
MX,Mexico,23/-102,20,13,10,10,6,0.3,2,0.4875,36
EC,Ecuador,'-1.25/-78.25,13,5,4,2,0,0,1,0.21153846153846,16
PE,Peru,'-10/-75.25,7,7,5,5,2,0.28571428571429,1,0.67857142857143,12
UY,Uruguay,'-33/-56,5,3,3,3,0,0,1,0.45,6
CL,Chile,'-30/-71,2,2,2,1,0,0,1,0.625,10
PA,Panama,9/-80,2,1,1,1,0,0,1,0.375,3
CR,"Costa Rica",10/-84,1,1,1,1,0,0,1,0.75,1
VE,"Venezuela, Bolivarian Republic of",8/-66,1,1,1,0,0,0,1,0.5,4
AU,Australia,'-25/135,0,0,0,0,0,0,0,0,1
BO,"Bolivia, Plurinational State of",'-17/-65,0,0,0,0,0,0,0,0,1
CA,Canada,60.10867/-113.64258,0,0,0,0,0,0,0,0,2
FR,France,46/2,0,0,0,0,0,0,0,0,4
DE,Germany,51.5/10.5,0,0,0,0,0,0,0,0,7
IT,Italy,42.83333/12.83333,0,0,0,0,0,0,0,0,2
PT,Portugal,39.6945/-8.13057,0,0,0,0,0,0,0,0,2
RU,"Russian Federation",60/100,0,0,0,0,0,0,0,0,1
SG,Singapore,1.36667/103.8,0,0,0,0,0,0,0,0,1
ES,Spain,40/-4,0,0,0,0,0,0,0,0,4
UK,"United Kingdom",54.75844/-2.69531,0,0,0,0,0,0,0,0,1
US,"United States",39.76/-98.5,0,0,0,0,0,0,0,0,7

