"# ------------------------------------"
"Report: Top Countries"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2017-03-01 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_8cb7qre1"
"# ------------------------------------"
object_id,country,coordinates,count_plays,count_plays_25,count_plays_50,count_plays_75,count_plays_100,play_through_ratio,unique_known_users,avg_view_drop_off,count_loads
CO,Colombia,4/-73.25,428,251,180,142,48,0.11214953271028,2,0.36273364485981,695
AR,Argentina,'-34/-64,33,13,10,10,3,0.090909090909091,1,0.27272727272727,50
MX,Mexico,23/-102,21,10,7,5,3,0.14285714285714,1,0.29761904761905,37
BR,Brazil,'-10/-55,13,7,5,3,2,0.15384615384615,1,0.32692307692308,24
UY,Uruguay,'-33/-56,12,8,8,4,0,0,1,0.41666666666667,17
EC,Ecuador,'-1.25/-78.25,4,2,1,0,0,0,1,0.1875,5
CL,Chile,'-30/-71,3,1,0,0,0,0,1,0.083333333333333,5
PE,Peru,'-10/-75.25,2,1,1,1,1,0.5,1,0.5,4
BO,"Bolivia, Plurinational State of",'-17/-65,1,2,1,0,0,0,1,0.75,1
DO,"Dominican Republic",19/-70.66667,1,0,0,0,0,0,1,0,1
FR,France,46/2,1,1,1,1,1,1,1,1,7
UK,"United Kingdom",54.75844/-2.69531,1,0,0,0,0,0,1,0,10
VE,"Venezuela, Bolivarian Republic of",8/-66,1,0,0,0,0,0,1,0,3
AU,Australia,'-25/135,0,0,0,0,0,0,0,0,1
CA,Canada,60.10867/-113.64258,0,0,0,0,0,0,0,0,7
HN,Honduras,15/-86.5,0,0,0,0,0,0,0,0,1
IT,Italy,42.83333/12.83333,0,0,0,0,0,0,0,0,1
NL,Netherlands,52.25/5.75,0,0,0,0,0,0,0,0,1
SG,Singapore,1.36667/103.8,0,0,0,0,0,0,0,0,1
ES,Spain,40/-4,0,0,0,0,0,0,0,0,10
US,"United States",39.76/-98.5,0,0,0,0,0,0,0,0,10

