"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2016-01-01 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_h8kfp09v"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20160101,0,0,0,0,0,0,0,0
20160102,0,0,0,0,0,0,0,0
20160103,0,0,0,0,0,0,0,0
20160104,0,0,0,0,0,0,0,0
20160105,0,0,0,0,0,0,0,0
20160106,0,0,0,0,0,0,0,0
20160107,0,0,0,0,0,0,0,0
20160108,0,0,0,0,0,0,0,0
20160109,0,0,0,0,0,0,0,0
20160110,0,0,0,0,0,0,0,0
20160111,0,0,0,0,0,0,0,0
20160112,0,0,0,0,0,0,0,0
20160113,0,0,0,0,0,0,0,0
20160114,0,0,0,0,0,0,0,0
20160115,0,0,0,0,0,0,0,0
20160116,0,0,0,0,0,0,0,0
20160117,0,0,0,0,0,0,0,0
20160118,0,0,0,0,0,0,0,0
20160119,0,0,0,0,0,0,0,0
20160120,0,0,0,0,0,0,0,0
20160121,0,0,0,0,0,0,0,0
20160122,0,0,0,0,0,0,0,0
20160123,0,0,0,0,0,0,0,0
20160124,0,0,0,0,0,0,0,0
20160125,0,0,0,0,0,0,0,0
20160126,0,0,0,0,0,0,0,0
20160127,0,0,0,0,0,0,0,0
20160128,0,0,0,0,0,0,0,0
20160129,0,0,0,0,0,0,0,0
20160130,0,0,0,0,0,0,0,0
20160131,0,0,0,0,0,0,0,0
20160201,0,0,0,0,0,0,0,0
20160202,0,0,0,0,0,0,0,0
20160203,0,0,0,0,0,0,0,0
20160204,0,0,0,0,0,0,0,0
20160205,0,0,0,0,0,0,0,0
20160206,0,0,0,0,0,0,0,0
20160207,0,0,0,0,0,0,0,0
20160208,0,0,0,0,0,0,0,0
20160209,0,0,0,0,0,0,0,0
20160210,0,0,0,0,0,0,0,0
20160211,0,0,0,0,0,0,0,0
20160212,0,0,0,0,0,0,0,0
20160213,0,0,0,0,0,0,0,0
20160214,0,0,0,0,0,0,0,0
20160215,0,0,0,0,0,0,0,0
20160216,0,0,0,0,0,0,0,0
20160217,0,0,0,0,0,0,0,0
20160218,0,0,0,0,0,0,0,0
20160219,0,0,0,0,0,0,0,0
20160220,1,26.216666666667,26.216666666667,2,2,0.5,0,0
20160221,0,0,0,0,0,0,0,0
20160222,0,0,0,0,0,0,0,0
20160223,0,0,0,0,0,0,0,0
20160224,1,13.116666666667,13.116666666667,1,1,0.25,0,0
20160225,0,0,0,0,0,0,0,0
20160226,0,0,0,0,0,0,0,0
20160227,0,0,0,1,1,0,0,0
20160228,0,0,0,0,0,0,0,0
20160229,0,0,0,3,1,0,0,0
20160301,0,0,0,0,0,0,0,0
20160302,0,0,0,2,1,0,0,0
20160303,0,0,0,0,0,0,0,0
20160304,3,39.316666666667,13.105555555556,8,1,0.25,0,0
20160305,5,39.316666666667,7.8633333333333,8,1,0.15,0,0
20160306,1,52.433333333333,52.433333333333,2,1,1,0,0
20160307,6,26.216666666667,4.3694444444444,15,1,0.083333333333333,0,0
20160308,2,39.316666666667,19.658333333333,3,1,0.375,0,0
20160309,24,432.51666666667,18.021527777778,35,1,0.34375,0,0
20160310,20,524.28333333333,26.214166666667,31,1,0.5,0,0
20160311,9,144.15,16.016666666667,14,1,0.30555555555556,0,0
20160312,4,170.4,42.6,6,1,0.8125,0,0
20160313,0,0,0,2,1,0,0,0
20160314,2,0,0,2,1,0,0,0
20160315,1,0,0,3,1,0,0,0
20160316,7,131.06666666667,18.72380952381,10,1,0.35714285714286,0,0
20160317,10,170.4,17.04,15,1,0.325,0,0
20160318,4,65.533333333333,16.383333333333,9,1,0.3125,0,0
20160319,5,52.433333333333,10.486666666667,7,1,0.2,0,0
20160320,4,144.18333333333,36.045833333333,5,1,0.6875,0,0
20160321,2,52.433333333333,26.216666666667,4,1,0.5,0,0
20160322,4,104.85,26.2125,5,1,0.5,0,0
20160323,2,104.86666666667,52.433333333333,2,1,1,0,0
20160324,1,0,0,2,1,0,0,0
20160325,4,91.75,22.9375,4,1,0.4375,0,0
20160326,5,39.316666666667,7.8633333333333,4,1,0.15,0,0
20160327,4,14.35,3.5875,4,1,0.25,0,0
20160328,1,39.333333333333,39.333333333333,1,1,0.75,0,0
20160329,2,104.86666666667,52.433333333333,6,1,1,0,0
20160330,0,0,0,4,1,0,0,0
20160331,1,13.1,13.1,2,1,0.25,0,0
20160401,0,0,0,2,1,0,0,0
20160402,3,104.85,34.95,3,1,0.66666666666667,0,0
20160403,3,52.433333333333,17.477777777778,7,1,0.33333333333333,0,0
20160404,5,104.85,20.97,5,1,0.4,0,0
20160405,2,0,0,2,1,0,0,0
20160406,0,0,0,1,1,0,0,0
20160407,0,0,0,0,0,0,0,0
20160408,0,0,0,0,0,0,0,0
20160409,0,0,0,0,0,0,0,0
20160410,0,0,0,0,0,0,0,0
20160411,7,117.96666666667,16.852380952381,9,1,0.32142857142857,0,0
20160412,1,0,0,4,1,0,0,0
20160413,3,13.1,4.3666666666667,3,1,0.083333333333333,0,0
20160414,1,13.1,13.1,3,1,0.25,0,0
20160415,1,0,0,1,1,0,0,0
20160416,1,0,0,3,1,0,0,0
20160417,1,52.433333333333,52.433333333333,3,1,1,0,0
20160418,0,0,0,1,1,0,0,0
20160419,0,0,0,1,1,0,0,0
20160420,0,0,0,0,0,0,0,0
20160421,2,52.433333333333,26.216666666667,3,1,0.5,0,0
20160422,1,39.316666666667,39.316666666667,3,1,0.75,0,0
20160423,2,26.216666666667,13.108333333333,2,1,0.25,0,0
20160424,5,144.18333333333,28.836666666667,17,1,0.55,0,0
20160425,1,13.1,13.1,1,1,0.25,0,0
20160426,0,0,0,1,1,0,0,0
20160427,0,0,0,1,1,0,0,0
20160428,0,0,0,0,0,0,0,0
20160429,0,0,0,2,1,0,0,0
20160430,0,0,0,0,0,0,0,0
20160501,1,0,0,1,1,0,0,0
20160502,0,0,0,1,1,0,0,0
20160503,0,0,0,0,0,0,0,0
20160504,2,39.316666666667,19.658333333333,2,1,0.375,0,0
20160505,0,0,0,0,0,0,0,0
20160506,0,0,0,1,1,0,0,0
20160507,2,78.633333333333,39.316666666667,2,1,0.75,0,0
20160508,2,39.316666666667,19.658333333333,3,1,0.375,0,0
20160509,0,0,0,0,0,0,0,0
20160510,0,0,0,1,1,0,0,0
20160511,0,0,0,0,0,0,0,0
20160512,1,39.316666666667,39.316666666667,1,1,0.75,0,0
20160513,0,0,0,0,0,0,0,0
20160514,0,0,0,0,0,0,0,0
20160515,0,0,0,0,0,0,0,0
20160516,0,0,0,1,1,0,0,0
20160517,0,0,0,4,1,0,0,0
20160518,1,13.1,13.1,2,1,0.25,0,0
20160519,2,26.2,13.1,2,1,0.25,0,0
20160520,1,39.316666666667,39.316666666667,1,1,0.75,0,0
20160521,1,0,0,2,1,0,0,0
20160522,0,0,0,0,0,0,0,0
20160523,0,0,0,0,0,0,0,0
20160524,0,0,0,0,0,0,0,0
20160525,0,0,0,0,0,0,0,0
20160526,1,39.316666666667,39.316666666667,1,1,0.75,0,0
20160527,2,78.65,39.325,2,1,0.75,0,0
20160528,2,39.316666666667,19.658333333333,2,1,0.375,0,0
20160529,0,0,0,0,0,0,0,0
20160530,1,0,0,1,1,0,0,0
20160531,0,0,0,1,1,0,0,0
20160601,0,0,0,1,1,0,0,0
20160602,0,0,0,0,0,0,0,0
20160603,0,0,0,0,0,0,0,0
20160604,0,0,0,0,0,0,0,0
20160605,2,52.433333333333,26.216666666667,2,1,0.5,0,0
20160606,0,0,0,0,0,0,0,0
20160607,1,0,0,3,1,0,0,0
20160608,1,0,0,1,1,0,0,0
20160609,0,0,0,0,0,0,0,0
20160610,0,0,0,0,0,0,0,0
20160611,0,0,0,0,0,0,0,0
20160612,1,52.433333333333,52.433333333333,1,1,1,0,0
20160613,1,0,0,1,1,0,0,0
20160614,0,0,0,1,1,0,0,0
20160615,1,26.216666666667,26.216666666667,3,1,0.5,0,0
20160616,0,0,0,0,0,0,0,0
20160617,3,39.333333333333,13.111111111111,4,1,0.25,0,0
20160618,2,52.433333333333,26.216666666667,2,1,0.5,0,0
20160619,3,104.85,34.95,4,1,0.66666666666667,0,0
20160620,4,117.98333333333,29.495833333333,6,1,0.5625,0,0
20160621,0,0,0,1,1,0,0,0
20160622,6,65.533333333333,10.922222222222,8,1,0.20833333333333,0,0
20160623,1,13.1,13.1,2,1,0.25,0,0
20160624,1,78.633333333333,78.633333333333,1,1,1.5,0,0
20160625,4,0,0,7,1,0,0,0
20160626,2,52.433333333333,26.216666666667,2,1,0.5,0,0
20160627,3,117.96666666667,39.322222222222,5,1,0.75,0,0
20160628,0,0,0,1,1,0,0,0
20160629,1,0,0,1,1,0,0,0
20160630,3,91.75,30.583333333333,3,1,0.58333333333333,0,0
20160701,1,0,0,1,1,0,0,0
20160702,1,52.433333333333,52.433333333333,2,1,1,0,0
20160703,2,13.1,6.55,4,1,0.125,0,0
20160704,0,0,0,0,0,0,0,0
20160705,0,0,0,1,1,0,0,0
20160706,1,39.316666666667,39.316666666667,2,1,0.75,0,0
20160707,0,0,0,0,0,0,0,0
20160708,1,52.433333333333,52.433333333333,2,1,1,0,0
20160709,0,0,0,0,0,0,0,0
20160710,1,52.433333333333,52.433333333333,2,1,1,0,0
20160711,1,52.433333333333,52.433333333333,2,1,1,0,0
20160712,0,0,0,2,1,0,0,0
20160713,0,0,0,1,1,0,0,0
20160714,1,0,0,3,1,0,0,0
20160715,0,0,0,0,0,0,0,0
20160716,2,52.433333333333,26.216666666667,2,1,0.5,0,0
20160717,1,52.433333333333,52.433333333333,1,1,1,0,0
20160718,1,52.433333333333,52.433333333333,1,1,1,0,0
20160719,1,39.316666666667,39.316666666667,1,1,0.75,0,0
20160720,0,0,0,0,0,0,0,0
20160721,0,0,0,2,1,0,0,0
20160722,0,0,0,1,1,0,0,0
20160723,1,26.216666666667,26.216666666667,1,1,0.5,0,0
20160724,1,0,0,2,1,0,0,0
20160725,0,0,0,1,1,0,0,0
20160726,2,65.533333333333,32.766666666667,2,1,0.625,0,0
20160727,1,52.433333333333,52.433333333333,1,1,1,0,0
20160728,0,0,0,0,0,0,0,0
20160729,0,0,0,0,0,0,0,0
20160730,0,0,0,0,0,0,0,0
20160731,0,0,0,0,0,0,0,0
20160801,0,0,0,0,0,0,0,0
20160802,0,0,0,0,0,0,0,0
20160803,1,0,0,2,1,0,0,0
20160804,1,0,0,2,1,0,0,0
20160805,0,0,0,0,0,0,0,0
20160806,1,52.433333333333,52.433333333333,2,1,1,0,0
20160807,0,0,0,2,1,0,0,0
20160808,0,0,0,0,0,0,0,0
20160809,0,0,0,0,0,0,0,0
20160810,0,0,0,0,0,0,0,0
20160811,0,0,0,0,0,0,0,0
20160812,0,0,0,0,0,0,0,0
20160813,0,0,0,0,0,0,0,0
20160814,0,0,0,0,0,0,0,0
20160815,0,0,0,0,0,0,0,0
20160816,0,0,0,0,0,0,0,0
