"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2018-12-11 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_gu2mgljm"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20181211,2,6.2333333333333,3.1166666666667,3,3,0.25,0,0
20181212,0,0,0,0,0,0,0,0
20181213,0,0,0,0,0,0,0,0
20181214,0,0,0,0,0,0,0,0
20181215,0,0,0,0,0,0,0,0
20181216,0,0,0,0,0,0,0,0
20181217,0,0,0,0,0,0,0,0
20181218,0,0,0,0,0,0,0,0
20181219,0,0,0,0,0,0,0,0
20181220,0,0,0,0,0,0,0,0
20181221,0,0,0,0,0,0,0,0
20181222,0,0,0,0,0,0,0,0
20181223,0,0,0,0,0,0,0,0
20181224,0,0,0,0,0,0,0,0
20181225,0,0,0,0,0,0,0,0
20181226,1,12.5,12.5,2,1,1,0,0
20181227,14,87.45,6.2464285714286,28,2,0.5,0,0
20181228,11,56.2,5.1090909090909,16,1,0.40909090909091,0,0
20181229,18,128.06666666667,7.1148148148148,37,1,0.56944444444444,0,0
20181230,14,78.083333333333,5.577380952381,29,1,0.44642857142857,0,0
20181231,5,37.483333333333,7.4966666666667,6,1,0.6,0,0
20190101,18,112.41666666667,6.2453703703704,34,1,0.5,0,0
20190102,12,78.05,6.5041666666667,33,1,0.52083333333333,0,0
20190103,15,90.583333333333,6.0388888888889,25,1,0.48333333333333,0,0
20190104,19,71.8,3.7789473684211,27,1,0.30263157894737,0,0
20190105,44,196.75,4.4715909090909,77,1,0.35795454545455,0,0
20190106,44,165.48333333333,3.7609848484848,83,1,0.30113636363636,0,0
20190107,47,249.85,5.3159574468085,71,1,0.42553191489362,0,0
20190108,41,187.31666666667,4.5686991869919,74,1,0.36585365853659,0,0
20190109,36,112.38333333333,3.1217592592593,63,1,0.25,0,0
20190110,29,159.25,5.4913793103448,55,1,0.43965517241379,0,0
20190111,20,74.95,3.7475,39,1,0.3,0,0
20190112,27,156.15,5.7833333333333,48,1,0.46296296296296,0,0
20190113,24,124.9,5.2041666666667,54,1,0.41666666666667,0,0
20190114,30,71.783333333333,2.3927777777778,56,1,0.19166666666667,0,0
20190115,30,115.53333333333,3.8511111111111,63,1,0.30833333333333,0,0
20190116,23,131.13333333333,5.7014492753623,48,1,0.45652173913043,0,0
20190117,34,181.11666666667,5.3269607843137,59,1,0.42647058823529,0,0
20190118,21,81.166666666667,3.8650793650794,53,1,0.30952380952381,0,0
20190119,28,171.76666666667,6.1345238095238,54,1,0.49107142857143,0,0
20190120,38,221.73333333333,5.8350877192982,78,1,0.46710526315789,0,0
20190121,25,128,5.12,51,1,0.41,0,0
20190122,26,124.9,4.8038461538462,39,1,0.38461538461538,0,0
20190123,12,56.2,4.6833333333333,25,1,0.375,0,0
20190124,20,137.38333333333,6.8691666666667,33,1,0.55,0,0
20190125,16,56.2,3.5125,26,1,0.28125,0,0
20190126,20,93.666666666667,4.6833333333333,27,1,0.375,0,0
20190127,15,40.583333333333,2.7055555555556,22,1,0.21666666666667,24.2,0
20190128,15,74.933333333333,4.9955555555556,23,1,0.4,55.066666666667,0
20190129,12,49.983333333333,4.1652777777778,18,1,0.33333333333333,37,0
20190130,9,46.833333333333,5.2037037037037,15,1,0.41666666666667,49.777777777778,0
20190131,8,65.6,8.2,16,1,0.65625,69.5,0
20190201,7,46.833333333333,6.6904761904762,14,1,0.53571428571429,57.285714285714,0
20190202,13,74.95,5.7653846153846,21,1,0.46153846153846,56.769230769231,0
20190203,4,43.733333333333,10.933333333333,14,1,0.875,71.5,0
20190204,3,12.483333333333,4.1611111111111,8,1,0.33333333333333,40.666666666667,0
20190205,6,37.483333333333,6.2472222222222,9,1,0.5,71.666666666667,0
20190206,5,34.333333333333,6.8666666666667,8,1,0.55,64.6,0
20190207,7,49.983333333333,7.1404761904762,9,1,0.57142857142857,64.857142857143,0
20190208,1,9.3666666666667,9.3666666666667,3,1,0.75,95,0
20190209,4,34.366666666667,8.5916666666667,6,1,0.6875,77.5,0
20190210,1,9.3666666666667,9.3666666666667,4,1,0.75,95,0
20190211,6,31.216666666667,5.2027777777778,9,1,0.41666666666667,44.666666666667,0
20190212,6,31.216666666667,5.2027777777778,13,1,0.41666666666667,55.333333333333,0
20190213,4,12.5,3.125,5,1,0.25,26.75,0
20190214,3,24.983333333333,8.3277777777778,4,1,0.66666666666667,63.666666666667,0
20190215,1,3.1166666666667,3.1166666666667,2,1,0.25,34,0
20190216,0,0,0,2,1,0,0,0
20190217,4,24.983333333333,6.2458333333333,12,1,0.5,51.5,0
20190218,4,34.366666666667,8.5916666666667,5,1,0.6875,79.25,0
20190219,1,9.3666666666667,9.3666666666667,3,1,0.75,94,0
20190220,3,12.483333333333,4.1611111111111,3,1,0.33333333333333,42.333333333333,0
20190221,3,12.5,4.1666666666667,3,1,0.33333333333333,42.333333333333,0
20190222,2,25,12.5,4,1,1,98,0
20190223,4,34.366666666667,8.5916666666667,7,1,0.6875,74.25,0
20190224,1,0,0,3,1,0,0,0
20190225,1,3.1166666666667,3.1166666666667,2,1,0.25,28,0
20190226,1,0,0,3,1,0,22,0
20190227,2,12.483333333333,6.2416666666667,3,1,0.5,61,0
20190228,1,15.616666666667,15.616666666667,3,1,1.25,110,0
20190301,3,15.616666666667,5.2055555555556,6,1,0.41666666666667,23,0
20190302,3,21.866666666667,7.2888888888889,3,1,0.58333333333333,63.333333333333,0
20190303,8,18.716666666667,2.3395833333333,11,1,0.1875,31.125,0
20190304,2,6.2333333333333,3.1166666666667,3,1,0.25,40.5,0
20190305,3,12.5,4.1666666666667,5,1,0.33333333333333,36.333333333333,0
20190306,3,21.866666666667,7.2888888888889,3,1,0.58333333333333,64.333333333333,0
20190307,2,3.1166666666667,1.5583333333333,3,1,0.125,20,0
20190308,2,25,12.5,2,1,1,148,0
20190309,1,0,0,3,1,0,6,0
20190310,2,21.866666666667,10.933333333333,3,1,0.875,97.5,0
20190311,3,18.733333333333,6.2444444444444,6,1,0.5,54.333333333333,0
20190312,0,0,0,1,1,0,0,0
20190313,0,0,0,1,1,0,0,0
20190314,3,31.233333333333,10.411111111111,5,1,0.83333333333333,93.333333333333,0
20190315,2,3.1166666666667,1.5583333333333,4,1,0.125,25,0
20190316,1,0,0,1,1,0,15,0
20190317,7,53.083333333333,7.5833333333333,13,1,0.60714285714286,70.857142857143,0
20190318,1,0,0,3,1,0,19,0
20190319,1,3.1166666666667,3.1166666666667,4,1,0.25,39,0
