"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2016-03-22 05:00:00 - 2020-08-02 04:59:59 (GMT)"
"Filtered entries: 0_qsjq4fo0"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20160322,1,4.45,4.45,4,1,0.75,0,0
20160323,1,5.9333333333333,5.9333333333333,1,1,1,0,0
20160324,0,0,0,0,0,0,0,0
20160325,0,0,0,0,0,0,0,0
20160326,0,0,0,0,0,0,0,0
20160327,0,0,0,0,0,0,0,0
20160328,7,5.9333333333333,0.84761904761905,8,1,0.14285714285714,0,0
20160329,0,0,0,1,1,0,0,0
20160330,4,19.283333333333,4.8208333333333,6,1,0.8125,0,0
20160331,1,5.9333333333333,5.9333333333333,1,1,1,0,0
20160401,0,0,0,0,0,0,0,0
20160402,0,0,0,0,0,0,0,0
20160403,0,0,0,0,0,0,0,0
20160404,0,0,0,0,0,0,0,0
20160405,0,0,0,0,0,0,0,0
20160406,0,0,0,0,0,0,0,0
20160407,0,0,0,0,0,0,0,0
20160408,0,0,0,1,1,0,0,0
20160409,0,0,0,0,0,0,0,0
20160410,0,0,0,0,0,0,0,0
20160411,9,32.633333333333,3.6259259259259,20,2,0.61111111111111,0,0
20160412,2,8.9,4.45,7,1,0.75,0,0
20160413,10,23.733333333333,2.3733333333333,14,1,0.4,0,0
20160414,8,20.766666666667,2.5958333333333,16,1,0.4375,0,0
20160415,12,43.016666666667,3.5847222222222,19,1,0.60416666666667,0,0
20160416,8,29.666666666667,3.7083333333333,16,1,0.625,0,0
20160417,8,23.733333333333,2.9666666666667,14,1,0.5,0,0
20160418,8,28.183333333333,3.5229166666667,9,1,0.59375,0,0
20160419,5,7.4166666666667,1.4833333333333,8,1,0.25,0,0
20160420,4,22.25,5.5625,7,1,0.9375,0,0
20160421,3,10.383333333333,3.4611111111111,10,1,0.58333333333333,0,0
