"# ------------------------------------"
"Report: Top Domains"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2016-01-01 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_0mlgryuy"
"# ------------------------------------"
object_id,domain_name,count_plays,sum_time_viewed,avg_time_viewed,count_loads,load_play_ratio,avg_view_drop_off,avg_completion_rate
www.retinalatina.org,www.retinalatina.org,2040,21784.016666667,10.678439542484,3783,0.53925455987312,0.56973039215686,17.102941176471
retinalatina.org,retinalatina.org,445,4692.75,10.545505617978,819,0.54334554334554,0.5623595505618,0
kmc.kaltura.com,kmc.kaltura.com,22,28.116666666667,1.2780303030303,24,0.91666666666667,0.068181818181818,10.318181818182
Unknown,Unknown,14,135.95,9.7107142857143,20,0.7,0.51785714285714,0
cdnapisec.kaltura.com,cdnapisec.kaltura.com,3,42.183333333333,14.061111111111,4,0.75,0.75,0
www.kaltura.com,www.kaltura.com,3,28.133333333333,9.3777777777778,4,0.75,0.5,0
localhost,localhost,2,0,0,11,0.18181818181818,0,0
cdnapi.kaltura.com,cdnapi.kaltura.com,1,14.066666666667,14.066666666667,1,1,0.75,0
www.facebook.com,www.facebook.com,1,0,0,9,0.11111111111111,0,0
retinastag.wpengine.com,retinastag.wpengine.com,0,0,0,10,0,0,0

