"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2016-01-01 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_yhau9jzf"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20160101,0,0,0,0,0,0,0,0
20160102,0,0,0,0,0,0,0,0
20160103,0,0,0,0,0,0,0,0
20160104,0,0,0,0,0,0,0,0
20160105,0,0,0,0,0,0,0,0
20160106,0,0,0,0,0,0,0,0
20160107,0,0,0,0,0,0,0,0
20160108,0,0,0,0,0,0,0,0
20160109,0,0,0,0,0,0,0,0
20160110,0,0,0,0,0,0,0,0
20160111,0,0,0,0,0,0,0,0
20160112,0,0,0,0,0,0,0,0
20160113,0,0,0,0,0,0,0,0
20160114,0,0,0,0,0,0,0,0
20160115,0,0,0,0,0,0,0,0
20160116,0,0,0,0,0,0,0,0
20160117,0,0,0,0,0,0,0,0
20160118,0,0,0,0,0,0,0,0
20160119,0,0,0,0,0,0,0,0
20160120,0,0,0,0,0,0,0,0
20160121,0,0,0,0,0,0,0,0
20160122,0,0,0,0,0,0,0,0
20160123,0,0,0,0,0,0,0,0
20160124,0,0,0,0,0,0,0,0
20160125,1,0,0,1,1,0,0,0
20160126,0,0,0,0,0,0,0,0
20160127,0,0,0,0,0,0,0,0
20160128,0,0,0,0,0,0,0,0
20160129,0,0,0,0,0,0,0,0
20160130,0,0,0,0,0,0,0,0
20160131,0,0,0,0,0,0,0,0
20160201,0,0,0,0,0,0,0,0
20160202,0,0,0,0,0,0,0,0
20160203,0,0,0,0,0,0,0,0
20160204,0,0,0,0,0,0,0,0
20160205,0,0,0,0,0,0,0,0
20160206,0,0,0,0,0,0,0,0
20160207,0,0,0,0,0,0,0,0
20160208,0,0,0,0,0,0,0,0
20160209,0,0,0,0,0,0,0,0
20160210,0,0,0,0,0,0,0,0
20160211,0,0,0,0,0,0,0,0
20160212,0,0,0,1,1,0,0,0
20160213,0,0,0,0,0,0,0,0
20160214,1,21.85,21.85,1,1,0.25,0,0
20160215,0,0,0,0,0,0,0,0
20160216,0,0,0,0,0,0,0,0
20160217,0,0,0,0,0,0,0,0
20160218,0,0,0,0,0,0,0,0
20160219,0,0,0,0,0,0,0,0
20160220,0,0,0,0,0,0,0,0
20160221,1,0,0,1,1,0,0,0
20160222,0,0,0,0,0,0,0,0
20160223,0,0,0,0,0,0,0,0
20160224,0,0,0,0,0,0,0,0
20160225,1,0,0,1,1,0,0,0
20160226,0,0,0,0,0,0,0,0
20160227,0,0,0,0,0,0,0,0
20160228,0,0,0,2,1,0,0,0
20160229,1,65.55,65.55,1,1,0.75,0,0
20160301,0,0,0,4,1,0,0,0
20160302,0,0,0,0,0,0,0,0
20160303,1,65.55,65.55,3,1,0.75,0,0
20160304,2,65.55,32.775,9,1,0.375,0,0
20160305,6,43.7,7.2833333333333,11,1,0.083333333333333,0,0
20160306,5,65.55,13.11,9,1,0.15,0,0
20160307,10,284.05,28.405,12,1,0.325,0,0
20160308,3,87.4,29.133333333333,9,1,0.33333333333333,0,0
20160309,4,87.4,21.85,8,1,0.25,0,0
20160310,1,65.55,65.55,3,1,0.75,0,0
20160311,2,65.55,32.775,2,1,0.375,0,0
20160312,4,131.1,32.775,11,1,0.375,0,0
20160313,2,65.55,32.775,7,1,0.375,0,0
20160314,1,21.85,21.85,1,1,0.25,0,0
20160315,2,87.4,43.7,3,1,0.5,0,0
20160316,3,87.4,29.133333333333,5,1,0.33333333333333,0,0
20160317,3,65.55,21.85,5,1,0.25,0,0
20160318,1,21.85,21.85,5,1,0.25,0,0
20160319,0,0,0,2,1,0,0,0
20160320,2,0,0,2,1,0,0,0
20160321,0,0,0,2,1,0,0,0
20160322,0,0,0,0,0,0,0,0
20160323,0,0,0,2,1,0,0,0
20160324,1,65.55,65.55,1,1,0.75,0,0
20160325,1,0,0,2,1,0,0,0
20160326,1,43.7,43.7,2,1,0.5,0,0
20160327,1,21.85,21.85,0,1,0.25,0,0
20160328,0,0,0,3,1,0,0,0
20160329,0,0,0,0,0,0,0,0
20160330,0,0,0,0,0,0,0,0
20160331,1,0,0,1,1,0,0,0
20160401,0,0,0,0,0,0,0,0
20160402,0,0,0,0,0,0,0,0
20160403,0,0,0,0,0,0,0,0
20160404,2,0,0,2,1,0,0,0
20160405,0,0,0,0,0,0,0,0
20160406,0,0,0,0,0,0,0,0
20160407,0,0,0,1,1,0,0,0
20160408,0,0,0,0,0,0,0,0
20160409,0,0,0,0,0,0,0,0
20160410,1,0,0,1,1,0,0,0
20160411,7,21.85,3.1214285714286,7,1,0.035714285714286,0,0
20160412,0,0,0,2,1,0,0,0
20160413,1,0,0,2,1,0,0,0
20160414,0,0,0,0,0,0,0,0
20160415,1,21.85,21.85,2,1,0.25,0,0
20160416,1,0,0,2,1,0,0,0
20160417,2,152.95,76.475,5,1,0.875,0,0
20160418,0,0,0,2,1,0,0,0
20160419,1,0,0,1,1,0,0,0
20160420,1,65.55,65.55,2,1,0.75,0,0
20160421,0,0,0,1,1,0,0,0
20160422,0,0,0,3,1,0,0,0
20160423,2,65.55,32.775,5,1,0.375,0,0
20160424,1,0,0,3,1,0,0,0
20160425,0,0,0,1,1,0,0,0
20160426,0,0,0,2,1,0,0,0
20160427,0,0,0,2,1,0,0,0
20160428,1,65.55,65.55,1,1,0.75,0,0
20160429,1,0,0,5,1,0,0,0
20160430,0,0,0,1,1,0,0,0
20160501,0,0,0,0,0,0,0,0
20160502,0,0,0,0,0,0,0,0
20160503,0,0,0,0,0,0,0,0
20160504,0,0,0,0,0,0,0,0
20160505,0,0,0,0,0,0,0,0
20160506,0,0,0,0,0,0,0,0
20160507,2,152.95,76.475,3,1,0.875,0,0
20160508,8,305.9,38.2375,11,1,0.4375,0,0
20160509,0,0,0,0,0,0,0,0
20160510,0,0,0,0,0,0,0,0
20160511,0,0,0,0,0,0,0,0
20160512,0,0,0,0,0,0,0,0
20160513,0,0,0,0,0,0,0,0
20160514,0,0,0,0,0,0,0,0
20160515,0,0,0,1,1,0,0,0
20160516,0,0,0,1,1,0,0,0
20160517,0,0,0,3,1,0,0,0
20160518,1,0,0,1,1,0,0,0
20160519,0,0,0,0,0,0,0,0
20160520,0,0,0,0,0,0,0,0
20160521,0,0,0,1,1,0,0,0
20160522,0,0,0,0,0,0,0,0
20160523,0,0,0,1,1,0,0,0
20160524,0,0,0,0,0,0,0,0
20160525,0,0,0,1,1,0,0,0
20160526,0,0,0,0,0,0,0,0
20160527,0,0,0,1,1,0,0,0
20160528,1,65.55,65.55,1,1,0.75,0,0
20160529,0,21.85,0,1,1,0,0,0
20160530,0,0,0,0,0,0,0,0
20160531,0,0,0,0,0,0,0,0
20160601,0,0,0,1,1,0,0,0
20160602,0,0,0,1,1,0,0,0
20160603,0,0,0,0,0,0,0,0
20160604,0,0,0,0,0,0,0,0
20160605,0,0,0,0,0,0,0,0
20160606,0,0,0,0,0,0,0,0
20160607,0,0,0,0,0,0,0,0
20160608,0,0,0,1,1,0,0,0
20160609,0,0,0,0,0,0,0,0
20160610,0,0,0,0,0,0,0,0
20160611,0,0,0,0,0,0,0,0
20160612,0,0,0,0,0,0,0,0
20160613,0,0,0,0,0,0,0,0
20160614,0,0,0,0,0,0,0,0
20160615,0,0,0,0,0,0,0,0
20160616,0,0,0,0,0,0,0,0
20160617,1,0,0,2,1,0,0,0
20160618,0,0,0,0,0,0,0,0
20160619,0,0,0,2,1,0,0,0
20160620,0,0,0,0,0,0,0,0
20160621,1,0,0,1,1,0,0,0
20160622,0,0,0,0,0,0,0,0
20160623,2,43.7,21.85,2,1,0.25,0,0
20160624,0,0,0,1,1,0,0,0
20160625,0,0,0,1,1,0,0,0
20160626,0,0,0,1,1,0,0,0
20160627,0,0,0,0,0,0,0,0
20160628,0,0,0,1,1,0,0,0
20160629,0,0,0,0,0,0,0,0
20160630,1,0,0,2,1,0,0,0
20160701,1,0,0,2,1,0,0,0
20160702,1,0,0,2,1,0,0,0
20160703,0,0,0,0,0,0,0,0
20160704,0,0,0,0,0,0,0,0
20160705,0,0,0,0,0,0,0,0
20160706,0,0,0,0,0,0,0,0
20160707,0,0,0,0,0,0,0,0
20160708,1,0,0,2,1,0,0,0
20160709,0,0,0,0,0,0,0,0
20160710,0,0,0,0,0,0,0,0
20160711,0,0,0,0,0,0,0,0
20160712,0,0,0,0,0,0,0,0
20160713,0,0,0,1,1,0,0,0
20160714,0,0,0,0,0,0,0,0
20160715,0,0,0,0,0,0,0,0
20160716,0,0,0,0,0,0,0,0
20160717,0,0,0,0,0,0,0,0
20160718,0,0,0,0,0,0,0,0
20160719,0,0,0,0,0,0,0,0
20160720,0,0,0,0,0,0,0,0
20160721,0,0,0,0,0,0,0,0
20160722,0,0,0,0,0,0,0,0
20160723,0,0,0,0,0,0,0,0
20160724,0,0,0,0,0,0,0,0
20160725,0,0,0,0,0,0,0,0
20160726,0,0,0,0,0,0,0,0
20160727,0,0,0,0,0,0,0,0
20160728,0,0,0,0,0,0,0,0
20160729,0,0,0,0,0,0,0,0
20160730,0,0,0,0,0,0,0,0
20160731,0,0,0,0,0,0,0,0
20160801,0,0,0,0,0,0,0,0
20160802,0,0,0,0,0,0,0,0
20160803,0,0,0,4,1,0,0,0
20160804,1,0,0,2,1,0,0,0
20160805,0,0,0,0,0,0,0,0
20160806,0,0,0,0,0,0,0,0
20160807,0,0,0,1,1,0,0,0
20160808,0,0,0,0,0,0,0,0
20160809,0,0,0,0,0,0,0,0
20160810,0,0,0,0,0,0,0,0
20160811,0,0,0,0,0,0,0,0
20160812,1,43.7,43.7,1,1,0.5,0,0
20160813,0,0,0,0,0,0,0,0
20160814,0,0,0,0,0,0,0,0
20160815,2,65.55,32.775,5,1,0.375,0,0
20160816,2,0,0,3,1,0,0,0
20160817,4,0,0,6,1,0,0,0
20160818,0,0,0,0,0,0,0,0
20160819,0,0,0,0,0,0,0,0
20160820,0,0,0,0,0,0,0,0
20160821,0,0,0,1,1,0,0,0
20160822,0,0,0,0,0,0,0,0
20160823,0,0,0,0,0,0,0,0
20160824,0,0,0,0,0,0,0,0
20160825,0,0,0,0,0,0,0,0
20160826,0,0,0,0,0,0,0,0
20160827,0,0,0,1,1,0,0,0
20160828,0,0,0,0,0,0,0,0
20160829,0,0,0,0,0,0,0,0
20160830,0,0,0,0,0,0,0,0
20160831,0,0,0,1,1,0,0,0
20160901,0,0,0,0,0,0,0,0
20160902,0,0,0,0,0,0,0,0
20160903,0,0,0,0,0,0,0,0
20160904,0,0,0,0,0,0,0,0
20160905,1,87.4,87.4,1,1,1,0,0
20160906,0,0,0,0,0,0,0,0
20160907,1,87.4,87.4,1,1,1,0,0
20160908,0,0,0,1,1,0,0,0
20160909,0,0,0,0,0,0,0,0
20160910,0,0,0,0,0,0,0,0
20160911,1,0,0,1,1,0,0,0
20160912,1,0,0,1,1,0,0,0
20160913,0,0,0,0,0,0,0,0
