"# ------------------------------------"
"Report: Top Countries"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2016-05-20 05:00:00 - 2020-08-02 04:59:59 (GMT)"
"Filtered entries: 0_nz6op308"
"# ------------------------------------"
object_id,country,coordinates,count_plays,count_plays_25,count_plays_50,count_plays_75,count_plays_100,play_through_ratio,unique_known_users,avg_view_drop_off,count_loads
CO,Colombia,4/-73.25,124,61,52,48,41,0.33064516129032,2,0.40725806451613,222
BR,Brazil,'-10/-55,105,58,48,47,38,0.36190476190476,1,0.4547619047619,175
UY,Uruguay,'-33/-56,49,23,21,19,18,0.36734693877551,1,0.41326530612245,85
AR,Argentina,'-34/-64,36,19,17,17,14,0.38888888888889,1,0.46527777777778,59
MX,Mexico,23/-102,20,11,9,9,7,0.35,2,0.45,36
PE,Peru,'-10/-75.25,12,5,4,3,2,0.16666666666667,2,0.29166666666667,24
EC,Ecuador,'-1.25/-78.25,7,5,5,4,4,0.57142857142857,1,0.64285714285714,15
CL,Chile,'-30/-71,5,3,3,3,3,0.6,1,0.6,7
PA,Panama,9/-80,4,1,0,0,0,0,1,0.0625,4
FR,France,46/2,3,0,0,0,0,0,1,0,6
CR,"Costa Rica",10/-84,2,1,1,1,1,0.5,1,0.5,2
BO,"Bolivia, Plurinational State of",'-17/-65,1,0,0,0,0,0,1,0,1
NZ,"New Zealand",'-42/174,1,0,0,0,0,0,1,0,1
BE,Belgium,50.75/4.5,0,0,0,0,0,0,0,0,1
CA,Canada,60.10867/-113.64258,0,0,0,0,0,0,0,0,2
DE,Germany,51.5/10.5,0,0,0,0,0,0,0,0,3
NL,Netherlands,52.25/5.75,0,0,0,0,0,0,0,0,1
RU,"Russian Federation",60/100,0,0,0,0,0,0,0,0,1
SG,Singapore,1.36667/103.8,0,0,0,0,0,0,0,0,1
ES,Spain,40/-4,0,0,0,0,0,0,0,0,4
US,"United States",39.76/-98.5,0,0,0,0,0,0,0,0,6
VE,"Venezuela, Bolivarian Republic of",8/-66,0,0,0,0,0,0,0,0,1

