"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2020-06-03 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 1_7abpns5g"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20200603,0,0,0,1,1,0,0,0
20200604,0,0,0,0,0,0,0,0
20200605,0,0,0,0,0,0,0,0
20200606,0,0,0,0,0,0,0,0
20200607,0,0,0,0,0,0,0,0
20200608,0,0,0,0,0,0,0,0
20200609,0,0,0,0,0,0,0,0
20200610,0,0,0,0,0,0,0,0
20200611,0,0,0,2,1,0,0,0
20200612,0,0,0,10,2,0,0,0
20200613,0,0,0,3,1,0,0,0
20200614,0,0,0,1,1,0,0,0
20200615,29,316.23333333333,10.904597701149,50,1,0.68965517241379,64.551724137931,0
20200616,22,189.73333333333,8.6242424242424,34,1,0.54545454545455,54.318181818182,0
20200617,26,256.95,9.8826923076923,39,1,0.625,63.576923076923,0
20200618,10,86.933333333333,8.6933333333333,12,1,0.55,46.3,0
20200619,7,86.95,12.421428571429,28,1,0.78571428571429,87.142857142857,0
20200620,4,27.65,6.9125,7,1,0.4375,59,0
20200621,4,31.6,7.9,7,1,0.5,35,0
20200622,3,19.766666666667,6.5888888888889,6,1,0.41666666666667,48.333333333333,0
20200623,15,130.43333333333,8.6955555555556,23,1,0.55,55.866666666667,0
20200624,10,75.083333333333,7.5083333333333,12,1,0.475,55,0
20200625,8,55.35,6.91875,14,1,0.4375,45.25,0
20200626,6,27.65,4.6083333333333,7,1,0.29166666666667,33.333333333333,0
20200627,4,43.466666666667,10.866666666667,6,1,0.6875,78.75,0
20200628,3,27.666666666667,9.2222222222222,5,1,0.58333333333333,65,0
20200629,6,63.233333333333,10.538888888889,10,1,0.66666666666667,82.5,0
20200630,5,43.483333333333,8.6966666666667,14,1,0.55,61.4,0
20200701,3,11.85,3.95,5,1,0.25,37,0
20200702,3,27.666666666667,9.2222222222222,7,1,0.58333333333333,51.666666666667,0
20200703,4,15.8,3.95,7,1,0.25,12,0
20200704,1,31.633333333333,31.633333333333,2,1,2,199,0
20200705,0,0,0,0,0,0,0,0
20200706,0,0,0,0,0,0,0,0
20200707,0,0,0,0,0,0,0,0
20200708,0,0,0,0,0,0,0,0
20200709,0,0,0,0,0,0,0,0
20200710,0,0,0,0,0,0,0,0
20200711,0,0,0,0,0,0,0,0
20200712,0,0,0,0,0,0,0,0
20200713,0,0,0,0,0,0,0,0
20200714,0,0,0,0,0,0,0,0
20200715,0,0,0,0,0,0,0,0
20200716,0,0,0,1,1,0,0,0
20200717,0,0,0,1,1,0,0,0
20200718,0,0,0,0,0,0,0,0
20200719,0,0,0,0,0,0,0,0
20200720,0,0,0,0,0,0,0,0
20200721,0,0,0,0,0,0,0,0
20200722,0,0,0,0,0,0,0,0
20200723,0,0,0,1,1,0,0,0
20200724,0,0,0,0,0,0,0,0
20200725,0,0,0,0,0,0,0,0
20200726,0,0,0,0,0,0,0,0
20200727,0,0,0,1,1,0,0,0
20200728,0,0,0,0,0,0,0,0
20200729,0,0,0,0,0,0,0,0
20200730,0,0,0,0,0,0,0,0
20200731,0,0,0,0,0,0,0,0
