"# ------------------------------------"
"Report: Top Countries"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2018-09-26 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_xfa9m7si"
"# ------------------------------------"
object_id,country,coordinates,count_plays,count_plays_25,count_plays_50,count_plays_75,count_plays_100,play_through_ratio,unique_known_users,avg_view_drop_off,count_loads
MX,Mexico,23/-102,36,26,22,22,13,0.36111111111111,1,0.57638888888889,54
CO,Colombia,4/-73.25,34,19,14,14,6,0.17647058823529,2,0.38970588235294,55
AR,Argentina,'-34/-64,11,5,5,5,4,0.36363636363636,1,0.43181818181818,12
EC,Ecuador,'-1.25/-78.25,3,2,1,1,0,0,1,0.33333333333333,3
PE,Peru,'-10/-75.25,2,2,2,2,1,0.5,1,0.875,2
BO,"Bolivia, Plurinational State of",'-17/-65,1,0,0,0,0,0,1,0,1
BR,Brazil,'-10/-55,1,1,1,1,1,1,1,1,2
CL,Chile,'-30/-71,1,0,0,0,0,0,1,0,1
PT,Portugal,39.6945/-8.13057,1,1,1,1,1,1,1,1,1
US,"United States",39.76/-98.5,1,1,1,1,0,0,1,0.75,3
UY,Uruguay,'-33/-56,1,1,1,1,0,0,1,0.75,1

