"# ------------------------------------"
"Report: Top Countries"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2017-10-30 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_0fw5xdcy"
"# ------------------------------------"
object_id,country,coordinates,count_plays,count_plays_25,count_plays_50,count_plays_75,count_plays_100,play_through_ratio,unique_known_users,avg_view_drop_off,count_loads
CO,Colombia,4/-73.25,22,8,8,7,3,0.13636363636364,2,0.29545454545455,57
BR,Brazil,'-10/-55,8,5,2,2,1,0.125,1,0.3125,16
MX,Mexico,23/-102,8,5,5,3,1,0.125,1,0.4375,16
PE,Peru,'-10/-75.25,6,3,3,3,2,0.33333333333333,1,0.45833333333333,8
AR,Argentina,'-34/-64,5,4,4,3,2,0.4,1,0.65,9
BO,"Bolivia, Plurinational State of",'-17/-65,1,1,0,0,0,0,1,0.25,2
CL,Chile,'-30/-71,1,0,0,0,0,0,1,0,1
FR,France,46/2,1,1,1,1,0,0,1,0.75,2
CA,Canada,60.10867/-113.64258,0,0,0,0,0,0,0,0,2
EC,Ecuador,'-1.25/-78.25,0,0,0,0,0,0,0,0,5
DE,Germany,51.5/10.5,0,0,0,0,0,0,0,0,1
IT,Italy,42.83333/12.83333,0,0,0,0,0,0,0,0,1
NO,Norway,62/10,0,0,0,0,0,0,0,0,2
PA,Panama,9/-80,0,0,0,0,0,0,0,0,1
RO,Romania,46/25,0,0,0,0,0,0,0,0,1
ES,Spain,40/-4,0,0,0,0,0,0,0,0,3
US,"United States",39.76/-98.5,0,0,0,0,0,0,0,0,6
UY,Uruguay,'-33/-56,0,0,0,0,0,0,0,0,2

