"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2020-06-10 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 1_wonppaq7"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20200610,0,0,0,0,0,0,0,0
20200611,0,0,0,0,0,0,0,0
20200612,0,0,0,0,0,0,0,0
20200613,0,0,0,0,0,0,0,0
20200614,0,0,0,0,0,0,0,0
20200615,0,0,0,0,0,0,0,0
20200616,0,0,0,4,1,0,0,0
20200617,1,37.616666666667,37.616666666667,5,2,0.5,50,0
20200618,14,432.53333333333,30.895238095238,58,1,0.41071428571429,35.071428571429,0
20200619,21,564.15,26.864285714286,83,1,0.35714285714286,38.380952380952,0
20200620,12,244.46666666667,20.372222222222,50,1,0.27083333333333,33,0
20200621,17,733.43333333333,43.143137254902,51,1,0.57352941176471,63.823529411765,0
20200622,17,601.78333333333,35.399019607843,46,1,0.47058823529412,46.941176470588,0
20200623,37,1260.0333333333,34.054954954955,102,1,0.4527027027027,40.081081081081,0
20200624,25,959.13333333333,38.365333333333,57,1,0.51,51.32,0
20200625,17,714.63333333333,42.037254901961,56,1,0.55882352941176,54.529411764706,0
20200626,3,56.416666666667,18.805555555556,6,1,0.25,34.333333333333,0
20200627,0,0,0,3,1,0,0,0
20200628,0,0,0,1,1,0,0,0
20200629,0,0,0,0,0,0,0,0
20200630,0,0,0,0,0,0,0,0
20200701,0,0,0,1,1,0,0,0
20200702,0,0,0,0,0,0,0,0
20200703,0,0,0,2,1,0,0,0
20200704,0,0,0,0,0,0,0,0
20200705,0,0,0,0,0,0,0,0
20200706,0,0,0,1,1,0,0,0
20200707,0,0,0,2,1,0,0,0
20200708,0,0,0,0,0,0,0,0
20200709,0,0,0,0,0,0,0,0
20200710,0,0,0,0,0,0,0,0
20200711,0,0,0,0,0,0,0,0
20200712,0,0,0,1,1,0,0,0
20200713,0,0,0,0,0,0,0,0
20200714,0,0,0,0,0,0,0,0
20200715,0,0,0,1,1,0,0,0
20200716,0,0,0,0,0,0,0,0
20200717,0,0,0,0,0,0,0,0
20200718,0,0,0,0,0,0,0,0
20200719,0,0,0,0,0,0,0,0
20200720,0,0,0,0,0,0,0,0
20200721,0,0,0,0,0,0,0,0
20200722,0,0,0,1,1,0,0,0
20200723,0,0,0,1,1,0,0,0
20200724,0,0,0,1,1,0,0,0
20200725,0,0,0,0,0,0,0,0
20200726,0,0,0,0,0,0,0,0
20200727,0,0,0,0,0,0,0,0
20200728,0,0,0,0,0,0,0,0
20200729,0,0,0,0,0,0,0,0
20200730,0,0,0,0,0,0,0,0
20200731,0,0,0,0,0,0,0,0
