"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2017-03-01 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_p06zig3p"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20170301,1,11.633333333333,11.633333333333,2,2,1,0,0
20170302,2,17.45,8.725,6,1,0.75,0,0
20170303,4,26.166666666667,6.5416666666667,4,1,0.5625,0,0
20170304,3,5.8166666666667,1.9388888888889,5,1,0.16666666666667,0,0
20170305,0,0,0,0,0,0,0,0
20170306,8,78.516666666667,9.8145833333333,9,1,0.84375,0,0
20170307,4,37.8,9.45,7,1,0.8125,0,0
20170308,2,23.266666666667,11.633333333333,4,1,1,0,0
20170309,2,0,0,3,1,0,0,0
20170310,2,11.633333333333,5.8166666666667,3,1,0.5,0,0
20170311,0,0,0,0,0,0,0,0
20170312,5,46.533333333333,9.3066666666667,8,1,0.8,0,0
20170313,1,11.633333333333,11.633333333333,3,1,1,0,0
20170314,1,11.633333333333,11.633333333333,2,1,1,0,0
20170315,0,0,0,0,0,0,0,0
20170316,0,0,0,1,1,0,0,0
20170317,0,0,0,0,0,0,0,0
20170318,1,0,0,1,1,0,0,0
20170319,1,14.533333333333,14.533333333333,3,1,1.25,0,0
20170320,0,0,0,1,1,0,0,0
20170321,0,0,0,0,0,0,0,0
20170322,0,0,0,0,0,0,0,0
20170323,1,11.633333333333,11.633333333333,2,1,1,0,0
20170324,0,0,0,1,1,0,0,0
20170325,0,0,0,0,0,0,0,0
20170326,1,2.9,2.9,2,1,0.25,0,0
20170327,1,11.633333333333,11.633333333333,1,1,1,0,0
20170328,0,0,0,0,0,0,0,0
20170329,0,0,0,1,1,0,0,0
20170330,1,0,0,2,1,0,0,0
20170331,0,0,0,1,1,0,0,0
20170401,0,0,0,2,1,0,0,0
20170402,0,0,0,1,1,0,0,0
20170403,0,0,0,1,1,0,0,0
20170404,1,11.633333333333,11.633333333333,1,1,1,0,0
20170405,2,8.7166666666667,4.3583333333333,2,1,0.375,0,0
20170406,1,11.633333333333,11.633333333333,1,1,1,0,0
20170407,1,0,0,2,1,0,0,0
20170408,4,26.166666666667,6.5416666666667,4,1,0.5625,0,0
20170409,2,17.45,8.725,2,1,0.75,0,0
20170410,1,11.633333333333,11.633333333333,1,1,1,0,0
20170411,1,11.633333333333,11.633333333333,3,1,1,0,0
20170412,2,20.35,10.175,2,1,0.875,0,0
20170413,0,0,0,0,0,0,0,0
20170414,2,20.35,10.175,3,1,0.875,0,0
20170415,0,0,0,0,0,0,0,0
20170416,1,11.633333333333,11.633333333333,1,1,1,0,0
20170417,1,11.633333333333,11.633333333333,2,1,1,0,0
20170418,2,14.533333333333,7.2666666666667,2,1,0.625,0,0
20170419,1,2.9,2.9,3,1,0.25,0,0
20170420,1,11.633333333333,11.633333333333,1,1,1,0,0
20170421,0,0,0,1,1,0,0,0
20170422,0,0,0,0,0,0,0,0
