"# ------------------------------------"
"Report: Top Countries"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2019-02-26 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_iuqfqpkf"
"# ------------------------------------"
object_id,country,coordinates,count_plays,count_plays_25,count_plays_50,count_plays_75,count_plays_100,play_through_ratio,unique_known_users,avg_view_drop_off,count_loads
CO,Colombia,4/-73.25,375,236,194,176,82,0.21866666666667,2,0.45866666666667,704
AR,Argentina,'-34/-64,41,26,24,22,4,0.097560975609756,1,0.46341463414634,75
MX,Mexico,23/-102,23,18,13,13,5,0.21739130434783,1,0.53260869565217,58
EC,Ecuador,'-1.25/-78.25,19,11,7,5,2,0.10526315789474,1,0.32894736842105,42
BR,Brazil,'-10/-55,17,10,10,9,7,0.41176470588235,1,0.52941176470588,23
PE,Peru,'-10/-75.25,11,8,7,6,6,0.54545454545455,1,0.61363636363636,25
UY,Uruguay,'-33/-56,11,8,7,6,2,0.18181818181818,1,0.52272727272727,28
ES,Spain,40/-4,9,2,2,1,1,0.11111111111111,1,0.16666666666667,11
CL,Chile,'-30/-71,7,5,4,3,2,0.28571428571429,1,0.5,14
US,"United States",39.76/-98.5,7,2,2,1,0,0,1,0.17857142857143,18
BO,"Bolivia, Plurinational State of",'-17/-65,3,2,1,1,1,0.33333333333333,1,0.41666666666667,3
CR,"Costa Rica",10/-84,3,3,3,3,0,0,1,0.75,3
SV,"El Salvador",13.83333/-88.91667,2,2,1,1,0,0,1,0.5,4
FR,France,46/2,2,2,2,2,0,0,1,0.75,4
DE,Germany,51.5/10.5,2,0,0,0,0,0,1,0,5
UK,"United Kingdom",54.75844/-2.69531,2,1,1,1,0,0,1,0.375,1
,'-,,1,1,1,1,1,1,1,1,1
AT,Austria,47.33333/13.33333,1,1,1,1,1,1,1,1,1
CA,Canada,60.10867/-113.64258,1,0,0,0,0,0,1,0,1
DO,"Dominican Republic",19/-70.66667,1,1,1,0,0,0,1,0.5,1
IL,Israel,31.5/34.75,1,1,1,1,0,0,1,0.75,1
JP,Japan,35.68536/139.75309,1,0,0,0,0,0,1,0,1
NL,Netherlands,52.25/5.75,1,0,0,0,0,0,1,0,1
PT,Portugal,39.6945/-8.13057,1,1,1,1,1,1,1,1,2
VE,"Venezuela, Bolivarian Republic of",8/-66,1,0,0,0,0,0,1,0,2
IT,Italy,42.83333/12.83333,0,0,0,0,0,0,0,0,2
TR,Turkey,39/35,0,0,0,0,0,0,0,0,1

