"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2018-02-20 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_z2ksa7is"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20180220,0,0,0,0,0,0,0,0
20180221,3,37,12.333333333333,7,2,0.66666666666667,0,0
20180222,0,0,0,0,0,0,0,0
20180223,0,0,0,0,0,0,0,0
20180224,0,0,0,0,0,0,0,0
20180225,0,0,0,0,0,0,0,0
20180226,0,0,0,0,0,0,0,0
20180227,0,0,0,0,0,0,0,0
20180228,0,0,0,0,0,0,0,0
20180301,0,0,0,0,0,0,0,0
20180302,0,0,0,0,0,0,0,0
20180303,0,0,0,0,0,0,0,0
20180304,0,0,0,0,0,0,0,0
20180305,0,0,0,0,0,0,0,0
20180306,0,0,0,0,0,0,0,0
20180307,0,0,0,0,0,0,0,0
20180308,0,0,0,0,0,0,0,0
20180309,0,0,0,0,0,0,0,0
20180310,0,0,0,0,0,0,0,0
20180311,0,0,0,0,0,0,0,0
20180312,0,0,0,0,0,0,0,0
20180313,0,0,0,0,0,0,0,0
20180314,0,0,0,0,0,0,0,0
20180315,0,0,0,0,0,0,0,0
20180316,0,0,0,0,0,0,0,0
20180317,0,0,0,0,0,0,0,0
20180318,0,0,0,0,0,0,0,0
20180319,0,0,0,0,0,0,0,0
20180320,0,0,0,0,0,0,0,0
20180321,0,0,0,0,0,0,0,0
20180322,0,0,0,0,0,0,0,0
20180323,0,0,0,0,0,0,0,0
20180324,0,0,0,0,0,0,0,0
20180325,0,0,0,0,0,0,0,0
20180326,0,0,0,0,0,0,0,0
20180327,0,0,0,0,0,0,0,0
20180328,0,0,0,0,0,0,0,0
20180329,0,0,0,0,0,0,0,0
20180330,0,0,0,0,0,0,0,0
20180331,0,0,0,0,0,0,0,0
20180401,0,0,0,0,0,0,0,0
20180402,0,0,0,0,0,0,0,0
20180403,3,37,12.333333333333,13,2,0.66666666666667,0,0
20180404,0,0,0,0,0,0,0,0
20180405,0,0,0,1,1,0,0,0
20180406,7,55.516666666667,7.9309523809524,23,1,0.42857142857143,0,0
20180407,6,69.366666666667,11.561111111111,14,1,0.625,0,0
20180408,5,60.116666666667,12.023333333333,9,1,0.65,0,0
20180409,11,50.866666666667,4.6242424242424,15,1,0.25,0,0
20180410,7,46.266666666667,6.6095238095238,7,1,0.35714285714286,0,0
20180411,7,87.883333333333,12.554761904762,11,1,0.67857142857143,0,0
20180412,7,27.733333333333,3.9619047619048,12,1,0.21428571428571,0,0
20180413,3,55.5,18.5,5,1,1,0,0
20180414,5,46.25,9.25,10,1,0.5,0,0
20180415,8,83.266666666667,10.408333333333,14,1,0.5625,0,0
20180416,4,32.383333333333,8.0958333333333,6,1,0.4375,0,0
20180417,4,37,9.25,6,1,0.5,0,0
20180418,2,37,18.5,9,1,1,0,0
20180419,4,23.116666666667,5.7791666666667,9,1,0.3125,0,0
20180420,2,27.75,13.875,6,1,0.75,0,0
20180421,5,55.5,11.1,6,1,0.6,0,0
20180422,1,13.883333333333,13.883333333333,2,1,0.75,0,0
20180423,2,4.6333333333333,2.3166666666667,5,1,0.125,0,0
20180424,4,27.733333333333,6.9333333333333,4,1,0.375,0,0
20180425,3,9.25,3.0833333333333,3,1,0.16666666666667,0,0
20180426,3,0,0,6,1,0,0,0
20180427,3,27.75,9.25,4,1,0.5,0,0
20180428,3,32.366666666667,10.788888888889,10,1,0.58333333333333,0,0
20180429,7,69.383333333333,9.9119047619048,13,1,0.53571428571429,0,0
20180430,4,23.116666666667,5.7791666666667,6,1,0.3125,0,0
20180501,4,4.6166666666667,1.1541666666667,9,1,0.0625,0,0
20180502,2,37,18.5,3,1,1,0,0
20180503,5,27.75,5.55,8,1,0.3,0,0
20180504,3,41.633333333333,13.877777777778,5,1,0.75,0,0
20180505,4,0,0,5,1,0,0,0
20180506,5,32.383333333333,6.4766666666667,7,1,0.35,0,0
20180507,3,23.116666666667,7.7055555555556,7,1,0.41666666666667,0,0
20180508,2,37.016666666667,18.508333333333,5,1,1,0,0
20180509,2,9.25,4.625,2,1,0.25,0,0
20180510,4,41.616666666667,10.404166666667,6,1,0.5625,0,0
20180511,2,4.6166666666667,2.3083333333333,3,1,0.125,0,0
20180512,3,13.866666666667,4.6222222222222,5,1,0.25,0,0
20180513,2,32.383333333333,16.191666666667,3,1,0.875,0,0
20180514,3,9.2333333333333,3.0777777777778,10,1,0.16666666666667,0,0
20180515,1,0,0,1,1,0,0,0
20180516,1,0,0,1,1,0,0,0
20180517,1,13.883333333333,13.883333333333,2,1,0.75,0,0
20180518,2,9.25,4.625,5,1,0.25,0,0
20180519,3,27.766666666667,9.2555555555556,4,1,0.5,0,0
20180520,1,18.5,18.5,2,1,1,0,0
20180521,0,0,0,0,0,0,0,0
20180522,3,18.5,6.1666666666667,4,1,0.33333333333333,0,0
20180523,0,0,0,0,0,0,0,0
20180524,0,0,0,0,0,0,0,0
20180525,1,13.866666666667,13.866666666667,2,1,0.75,0,0
20180526,3,50.866666666667,16.955555555556,4,1,0.91666666666667,0,0
20180527,4,32.366666666667,8.0916666666667,7,1,0.4375,0,0
20180528,1,0,0,1,1,0,0,0
20180529,1,9.25,9.25,1,1,0.5,0,0
20180530,2,13.866666666667,6.9333333333333,3,1,0.375,0,0
20180531,3,23.116666666667,7.7055555555556,4,1,0.41666666666667,0,0
20180601,0,0,0,0,0,0,0,0
20180602,2,13.866666666667,6.9333333333333,3,1,0.375,0,0
20180603,3,9.2333333333333,3.0777777777778,6,1,0.16666666666667,0,0
20180604,1,4.6166666666667,4.6166666666667,4,1,0.25,0,0
20180605,2,18.483333333333,9.2416666666667,3,1,0.5,0,0
20180606,6,73.983333333333,12.330555555556,6,1,0.66666666666667,0,0
20180607,2,18.5,9.25,4,1,0.5,0,0
20180608,1,4.6166666666667,4.6166666666667,3,1,0.25,0,0
20180609,1,13.866666666667,13.866666666667,2,1,0.75,0,0
20180610,3,18.483333333333,6.1611111111111,9,1,0.33333333333333,0,0
20180611,3,32.366666666667,10.788888888889,5,1,0.58333333333333,0,0
20180612,2,37,18.5,4,1,1,0,0
20180613,1,13.866666666667,13.866666666667,4,1,0.75,0,0
20180614,0,0,0,1,1,0,0,0
20180615,3,41.616666666667,13.872222222222,4,1,0.75,0,0
