"# ------------------------------------"
"Report: Top Countries"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2016-01-01 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_xgf8x0du"
"# ------------------------------------"
object_id,country,coordinates,count_plays,count_plays_25,count_plays_50,count_plays_75,count_plays_100,play_through_ratio,unique_known_users,avg_view_drop_off,count_loads
EC,Ecuador,'-1.25/-78.25,95,53,43,33,24,0.25263157894737,1,0.40263157894737,135
CO,Colombia,4/-73.25,59,26,15,14,16,0.27118644067797,2,0.30084745762712,154
MX,Mexico,23/-102,22,9,7,5,3,0.13636363636364,2,0.27272727272727,62
UY,Uruguay,'-33/-56,7,1,1,1,1,0.14285714285714,1,0.14285714285714,13
PE,Peru,'-10/-75.25,6,3,2,0,0,0,1,0.20833333333333,16
AR,Argentina,'-34/-64,2,1,1,1,1,0.5,1,0.5,32
BO,"Bolivia, Plurinational State of",'-17/-65,2,2,2,1,1,0.5,1,0.75,3
BE,Belgium,50.75/4.5,0,0,0,0,0,0,0,0,3
BR,Brazil,'-10/-55,0,0,0,0,0,0,0,0,54
BG,Bulgaria,42.66667/25.25,0,0,0,0,0,0,0,0,1
CA,Canada,60.10867/-113.64258,0,0,0,0,0,0,0,0,6
CL,Chile,'-30/-71,0,0,0,0,0,0,0,0,1
CR,"Costa Rica",10/-84,0,0,0,0,0,0,0,0,1
CU,Cuba,22/-79.5,0,0,0,0,0,0,0,0,1
FR,France,46/2,0,0,0,0,0,0,0,0,15
DE,Germany,51.5/10.5,0,0,0,0,0,0,0,0,4
HN,Honduras,15/-86.5,0,0,0,0,0,0,0,0,1
IN,India,22/79,0,0,0,0,0,0,0,0,2
IT,Italy,42.83333/12.83333,0,0,0,0,0,0,0,0,1
MA,Morocco,32/-6,0,0,0,0,0,0,0,0,1
NL,Netherlands,52.25/5.75,0,0,0,0,0,0,0,0,2
PA,Panama,9/-80,0,0,0,0,0,0,0,0,4
PT,Portugal,39.6945/-8.13057,0,0,0,0,0,0,0,0,1
PR,"Puerto Rico",18.24829/-66.49989,0,0,0,0,0,0,0,0,6
ES,Spain,40/-4,0,0,0,0,0,0,0,0,15
CH,Switzerland,47.00016/8.01427,0,0,0,0,0,0,0,0,2
TR,Turkey,39/35,0,0,0,0,0,0,0,0,1
UK,"United Kingdom",54.75844/-2.69531,0,0,0,0,0,0,0,0,11
US,"United States",39.76/-98.5,0,0,1,1,1,0,0,0,45
ZM,Zambia,'-14.33333/28.5,0,0,0,0,0,0,0,0,1

