"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2017-08-03 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_qehmdq0l"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20170803,0,0,0,0,0,0,0,0
20170804,1,14.316666666667,14.316666666667,1,1,0.25,0,0
20170805,0,0,0,0,0,0,0,0
20170806,0,0,0,0,0,0,0,0
20170807,0,0,0,0,0,0,0,0
20170808,0,0,0,3,1,0,0,0
20170809,1,0,0,4,2,0,0,0
20170810,4,143.03333333333,35.758333333333,4,2,0.625,0,0
20170811,2,0,0,3,1,0,0,0
20170812,1,57.216666666667,57.216666666667,5,1,1,0,0
20170813,3,128.73333333333,42.911111111111,6,1,0.75,0,0
20170814,4,14.3,3.575,5,1,0.0625,0,0
20170815,3,114.43333333333,38.144444444444,5,1,0.66666666666667,0,0
20170816,2,28.6,14.3,4,1,0.25,0,0
20170817,5,114.43333333333,22.886666666667,8,2,0.4,0,0
20170818,2,42.9,21.45,4,1,0.375,0,0
20170819,3,0,0,5,1,0,0,0
20170820,4,128.73333333333,32.183333333333,5,1,0.5625,0,0
20170821,0,0,0,1,1,0,0,0
20170822,0,0,0,1,1,0,0,0
20170823,1,0,0,1,1,0,0,0
20170824,1,57.216666666667,57.216666666667,1,1,1,0,0
20170825,0,0,0,1,1,0,0,0
20170826,1,0,0,1,1,0,0,0
20170827,1,57.216666666667,57.216666666667,1,1,1,0,0
20170828,0,0,0,1,1,0,0,0
20170829,1,0,0,3,1,0,0,0
20170830,0,0,0,2,1,0,0,0
20170831,1,0,0,2,1,0,0,0
20170901,0,0,0,0,0,0,0,0
20170902,0,0,0,0,0,0,0,0
20170903,0,0,0,1,1,0,0,0
20170904,1,57.216666666667,57.216666666667,6,1,1,0,0
20170905,0,0,0,0,0,0,0,0
20170906,0,0,0,1,1,0,0,0
20170907,2,42.916666666667,21.458333333333,2,1,0.375,0,0
20170908,1,14.3,14.3,1,1,0.25,0,0
20170909,0,0,0,0,0,0,0,0
20170910,4,71.516666666667,17.879166666667,4,1,0.3125,0,0
20170911,0,0,0,0,0,0,0,0
20170912,2,57.216666666667,28.608333333333,2,1,0.5,0,0
20170913,1,0,0,1,1,0,0,0
20170914,1,0,0,2,1,0,0,0
20170915,0,0,0,0,0,0,0,0
20170916,0,0,0,0,0,0,0,0
20170917,0,0,0,0,0,0,0,0
20170918,0,0,0,0,0,0,0,0
20170919,0,0,0,0,0,0,0,0
20170920,0,0,0,0,0,0,0,0
20170921,0,0,0,0,0,0,0,0
20170922,0,0,0,1,1,0,0,0
20170923,1,0,0,1,1,0,0,0
20170924,1,0,0,1,1,0,0,0
20170925,1,0,0,1,1,0,0,0
20170926,2,0,0,3,1,0,0,0
20170927,1,57.216666666667,57.216666666667,1,1,1,0,0
20170928,1,0,0,1,1,0,0,0
20170929,0,0,0,1,1,0,0,0
20170930,0,0,0,0,0,0,0,0
20171001,1,28.6,28.6,1,1,0.5,0,0
20171002,0,0,0,1,1,0,0,0
20171003,0,0,0,1,1,0,0,0
20171004,0,0,0,0,0,0,0,0
20171005,1,0,0,1,1,0,0,0
20171006,0,0,0,0,0,0,0,0
20171007,0,0,0,1,1,0,0,0
