"# ------------------------------------"
"Report: Top Countries"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2018-07-15 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_aqoax8eq"
"# ------------------------------------"
object_id,country,coordinates,count_plays,count_plays_25,count_plays_50,count_plays_75,count_plays_100,play_through_ratio,unique_known_users,avg_view_drop_off,count_loads
CO,Colombia,4/-73.25,200,166,136,120,90,0.45,1,0.64,320
EC,Ecuador,'-1.25/-78.25,3,0,0,0,0,0,1,0,7
US,"United States",39.76/-98.5,3,0,0,0,0,0,1,0,7
AR,Argentina,'-34/-64,0,0,0,0,0,0,0,0,18
AU,Australia,'-25/135,0,0,0,0,0,0,0,0,1
BR,Brazil,'-10/-55,0,0,0,0,0,0,0,0,11
CA,Canada,60.10867/-113.64258,0,0,0,0,0,0,0,0,1
CL,Chile,'-30/-71,0,0,0,0,0,0,0,0,2
IN,India,22/79,0,0,0,0,0,0,0,0,1
MX,Mexico,23/-102,0,0,0,0,0,0,0,0,8
PE,Peru,'-10/-75.25,0,0,0,0,0,0,0,0,1
PT,Portugal,39.6945/-8.13057,0,0,0,0,0,0,0,0,2
ES,Spain,40/-4,0,0,0,0,0,0,0,0,2
CH,Switzerland,47.00016/8.01427,0,0,0,0,0,0,0,0,1
UY,Uruguay,'-33/-56,0,0,0,0,0,0,0,0,14

