"# ------------------------------------"
"Report: Top Countries"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2020-06-03 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 1_nvsu4tk1"
"# ------------------------------------"
object_id,country,coordinates,count_plays,count_plays_25,count_plays_50,count_plays_75,count_plays_100,play_through_ratio,unique_known_users,avg_view_drop_off,count_loads
CO,Colombia,4/-73.25,245,180,161,146,78,0.31836734693878,1,0.5765306122449,456
MX,Mexico,23/-102,19,12,12,11,5,0.26315789473684,1,0.52631578947368,27
AR,Argentina,'-34/-64,10,5,5,4,2,0.2,1,0.4,14
BR,Brazil,'-10/-55,7,1,1,1,0,0,1,0.10714285714286,12
US,"United States",39.76/-98.5,5,4,2,2,1,0.2,1,0.45,5
EC,Ecuador,'-1.25/-78.25,4,1,1,1,0,0,1,0.1875,9
PE,Peru,'-10/-75.25,4,0,0,0,0,0,1,0,5
ES,Spain,40/-4,3,2,2,1,0,0,1,0.41666666666667,3
CA,Canada,60.10867/-113.64258,2,1,0,0,0,0,1,0.125,4
CL,Chile,'-30/-71,2,0,0,0,0,0,1,0,2
RU,"Russian Federation",60/100,2,2,1,1,0,0,1,0.5,3
AU,Australia,'-25/135,1,1,1,0,0,0,1,0.5,1
AT,Austria,47.33333/13.33333,1,1,0,0,0,0,1,0.25,1
BO,"Bolivia, Plurinational State of",'-17/-65,1,1,1,1,0,0,1,0.75,2
DE,Germany,51.5/10.5,1,0,0,0,0,0,1,0,1
UY,Uruguay,'-33/-56,0,0,0,0,0,0,0,0,1

