"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2020-03-26 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_36npx93h"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20200326,0,0,0,0,0,0,0,0
20200327,0,0,0,2,1,0,0,0
20200328,0,0,0,0,0,0,0,0
20200329,0,0,0,0,0,0,0,0
20200330,0,0,0,0,0,0,0,0
20200331,0,0,0,0,0,0,0,0
20200401,0,0,0,0,0,0,0,0
20200402,0,0,0,0,0,0,0,0
20200403,0,0,0,0,0,0,0,0
20200404,0,0,0,0,0,0,0,0
20200405,0,0,0,0,0,0,0,0
20200406,0,0,0,0,0,0,0,0
20200407,0,0,0,0,0,0,0,0
20200408,0,0,0,0,0,0,0,0
20200409,0,0,0,0,0,0,0,0
20200410,0,0,0,0,0,0,0,0
20200411,0,0,0,0,0,0,0,0
20200412,0,0,0,0,0,0,0,0
20200413,0,0,0,0,0,0,0,0
20200414,0,0,0,0,0,0,0,0
20200415,0,0,0,0,0,0,0,0
20200416,0,0,0,0,0,0,0,0
20200417,0,0,0,0,0,0,0,0
20200418,0,0,0,0,0,0,0,0
20200419,0,0,0,0,0,0,0,0
20200420,0,0,0,0,0,0,0,0
20200421,0,0,0,0,0,0,0,0
20200422,0,0,0,0,0,0,0,0
20200423,0,0,0,0,0,0,0,0
20200424,0,0,0,0,0,0,0,0
20200425,0,0,0,0,0,0,0,0
20200426,0,0,0,0,0,0,0,0
20200427,1,53.7,53.7,15,2,0.75,75,0
20200428,160,4260.4666666667,26.627916666667,277,1,0.371875,42.0375,0
20200429,195,5889.4333333333,30.202222222222,305,1,0.42179487179487,44.728205128205,0
20200430,158,4708.15,29.798417721519,252,1,0.41613924050633,42.373417721519,0
20200501,132,3705.6166666667,28.072853535354,254,1,0.39204545454545,40.575757575758,0
20200502,147,4779.6333333333,32.514512471655,230,1,0.45408163265306,43.367346938776,0
20200503,115,3383.35,29.420434782609,226,1,0.41086956521739,44.373913043478,0
20200504,42,1038.3166666667,24.721825396825,95,1,0.3452380952381,39.238095238095,0
20200505,67,2237.7166666667,33.398756218905,133,1,0.46641791044776,41.686567164179,0
20200506,72,1969.15,27.349305555556,133,1,0.38194444444444,39.375,0
20200507,62,1700.6333333333,27.429569892473,101,1,0.38306451612903,40.387096774194,0
20200508,58,1772.2333333333,30.555747126437,93,1,0.42672413793103,40.965517241379,0
20200509,79,1682.6666666667,21.299578059072,132,1,0.29746835443038,32.379746835443,0
20200510,77,2774.75,36.035714285714,137,1,0.50324675324675,53.103896103896,0
20200511,89,3150.6,35.4,129,1,0.49438202247191,49.651685393258,0
20200512,10,501.26666666667,50.126666666667,17,1,0.7,73.6,0
20200513,0,0,0,0,0,0,0,0
20200514,1,35.8,35.8,3,1,0.5,60,0
20200515,0,17.9,0,0,1,0,0,0
20200516,0,0,0,3,1,0,0,0
20200517,0,0,0,3,1,0,0,0
20200518,1,0,0,4,1,0,0,0
20200519,0,0,0,0,0,0,0,0
20200520,0,0,0,0,0,0,0,0
20200521,1,35.8,35.8,1,1,0.5,1,0
20200522,0,0,0,2,1,0,0,0
20200523,0,0,0,0,0,0,0,0
20200524,0,0,0,1,1,0,0,0
20200525,0,0,0,1,1,0,0,0
20200526,0,0,0,1,1,0,0,0
20200527,0,0,0,0,0,0,0,0
20200528,0,0,0,0,0,0,0,0
20200529,0,0,0,0,0,0,0,0
20200530,0,0,0,1,1,0,0,0
20200531,0,0,0,0,0,0,0,0
20200601,0,0,0,1,1,0,0,0
20200602,0,0,0,0,0,0,0,0
20200603,0,0,0,0,0,0,0,0
20200604,0,0,0,0,0,0,0,0
20200605,0,0,0,1,1,0,0,0
20200606,0,0,0,1,1,0,0,0
20200607,0,0,0,0,0,0,0,0
20200608,1,0,0,1,1,0,0,0
20200609,0,0,0,0,0,0,0,0
20200610,0,0,0,0,0,0,0,0
20200611,0,0,0,0,0,0,0,0
20200612,0,0,0,0,0,0,0,0
20200613,0,0,0,0,0,0,0,0
20200614,0,0,0,0,0,0,0,0
20200615,0,0,0,0,0,0,0,0
20200616,0,0,0,1,1,0,0,0
20200617,0,0,0,0,0,0,0,0
20200618,0,0,0,0,0,0,0,0
20200619,0,0,0,0,0,0,0,0
20200620,0,0,0,0,0,0,0,0
20200621,0,0,0,0,0,0,0,0
20200622,1,0,0,1,1,0,0,0
20200623,0,0,0,1,1,0,0,0
20200624,0,0,0,0,0,0,0,0
20200625,0,0,0,0,0,0,0,0
20200626,0,0,0,0,0,0,0,0
20200627,0,0,0,0,0,0,0,0
20200628,0,0,0,0,0,0,0,0
20200629,0,0,0,1,1,0,0,0
20200630,0,0,0,0,0,0,0,0
20200701,0,0,0,0,0,0,0,0
20200702,0,0,0,0,0,0,0,0
20200703,0,0,0,0,0,0,0,0
20200704,0,0,0,0,0,0,0,0
20200705,0,0,0,0,0,0,0,0
20200706,0,0,0,0,0,0,0,0
20200707,0,0,0,0,0,0,0,0
20200708,0,0,0,0,0,0,0,0
20200709,0,0,0,0,0,0,0,0
20200710,0,0,0,0,0,0,0,0
20200711,0,0,0,0,0,0,0,0
20200712,0,0,0,0,0,0,0,0
20200713,0,0,0,0,0,0,0,0
20200714,0,0,0,0,0,0,0,0
20200715,0,0,0,0,0,0,0,0
20200716,0,0,0,0,0,0,0,0
20200717,0,0,0,0,0,0,0,0
20200718,0,0,0,0,0,0,0,0
20200719,0,0,0,0,0,0,0,0
20200720,0,0,0,0,0,0,0,0
20200721,0,0,0,0,0,0,0,0
20200722,0,0,0,0,0,0,0,0
20200723,0,0,0,0,0,0,0,0
20200724,0,0,0,0,0,0,0,0
20200725,0,0,0,0,0,0,0,0
20200726,0,0,0,0,0,0,0,0
20200727,0,0,0,0,0,0,0,0
20200728,0,0,0,0,0,0,0,0
20200729,0,0,0,0,0,0,0,0
20200730,0,0,0,0,0,0,0,0
20200731,0,0,0,0,0,0,0,0
