"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2019-10-02 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 1_teq5wviz"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20191002,0,0,0,1,1,0,0,0
20191003,0,0,0,0,0,0,0,0
20191004,0,0,0,0,0,0,0,0
20191005,0,0,0,0,0,0,0,0
20191006,0,0,0,1,1,0,0,0
20191007,0,0,0,0,0,0,0,0
20191008,0,0,0,0,0,0,0,0
20191009,0,0,0,0,0,0,0,0
20191010,0,0,0,0,0,0,0,0
20191011,0,0,0,0,0,0,0,0
20191012,0,0,0,0,0,0,0,0
20191013,0,0,0,0,0,0,0,0
20191014,0,0,0,0,0,0,0,0
20191015,0,0,0,0,0,0,0,0
20191016,0,0,0,0,0,0,0,0
20191017,0,0,0,0,0,0,0,0
20191018,0,0,0,0,0,0,0,0
20191019,0,0,0,0,0,0,0,0
20191020,0,0,0,0,0,0,0,0
20191021,0,0,0,0,0,0,0,0
20191022,0,0,0,0,0,0,0,0
20191023,0,0,0,0,0,0,0,0
20191024,0,0,0,0,0,0,0,0
20191025,0,0,0,0,0,0,0,0
20191026,0,0,0,14,2,0,0,0
20191027,15,225,15,37,1,0.33333333333333,37.333333333333,0
20191028,9,123.75,13.75,25,1,0.30555555555556,32.888888888889,0
20191029,6,157.5,26.25,20,1,0.58333333333333,59.333333333333,0
20191030,7,191.25,27.321428571429,18,1,0.60714285714286,56.428571428571,0
20191031,7,90,12.857142857143,15,1,0.28571428571429,33.428571428571,0
20191101,10,270,27,25,1,0.6,42.3,0
20191102,4,0,0,13,1,0,1.75,0
20191103,5,101.25,20.25,21,1,0.45,34.2,0
20191104,5,33.75,6.75,12,1,0.15,19.4,0
20191105,5,22.5,4.5,15,1,0.1,17.8,0
20191106,18,348.75,19.375,25,1,0.43055555555556,44.444444444444,0
20191107,8,78.75,9.84375,13,1,0.21875,33.5,0
20191108,3,90,30,10,1,0.66666666666667,67,0
20191109,3,33.75,11.25,20,1,0.25,38.666666666667,0
20191110,3,45,15,20,1,0.33333333333333,32.333333333333,0
20191111,1,0,0,5,1,0,1,0
20191112,2,11.25,5.625,6,1,0.125,1.5,0
20191113,4,56.25,14.0625,8,1,0.3125,39.5,0
20191114,3,45,15,8,1,0.33333333333333,33,0
20191115,3,78.75,26.25,6,1,0.58333333333333,63.666666666667,0
20191116,6,45,7.5,12,1,0.16666666666667,22.833333333333,0
20191117,5,90,18,10,1,0.4,26.8,0
20191118,2,11.25,5.625,6,1,0.125,19.5,0
20191119,0,0,0,2,1,0,0,0
20191120,1,0,0,2,1,0,1,0
20191121,3,11.25,3.75,5,1,0.083333333333333,9.6666666666667,0
20191122,2,0,0,2,1,0,0,0
20191123,4,11.25,2.8125,8,1,0.0625,8.5,0
20191124,3,45,15,5,1,0.33333333333333,34,0
20191125,10,135,13.5,12,1,0.3,19.4,0
20191126,2,0,0,8,1,0,1,0
20191127,2,67.5,33.75,5,1,0.75,80,0
20191128,1,0,0,6,1,0,5,0
20191129,1,45,45,1,1,1,98,0
20191130,4,101.25,25.3125,6,1,0.5625,48.75,0
20191201,1,33.75,33.75,2,1,0.75,87,0
20191202,1,0,0,4,1,0,0,0
20191203,1,11.25,11.25,2,1,0.25,27,0
20191204,6,56.25,9.375,5,1,0.20833333333333,22,0
20191205,1,45,45,1,1,1,53,0
20191206,3,78.75,26.25,5,1,0.58333333333333,33.333333333333,0
20191207,1,0,0,2,1,0,5,0
20191208,1,45,45,5,1,1,97,0
20191209,2,22.5,11.25,5,1,0.25,1,0
20191210,2,78.75,39.375,4,1,0.875,91.5,0
20191211,1,0,0,1,1,0,1,0
20191212,1,0,0,2,1,0,0,0
20191213,1,22.5,22.5,2,1,0.5,64,0
20191214,0,22.5,0,1,1,0,0,0
20191215,0,0,0,4,1,0,0,0
20191216,1,0,0,2,1,0,13,0
20191217,0,0,0,2,1,0,0,0
20191218,0,0,0,1,1,0,0,0
20191219,0,0,0,0,0,0,0,0
20191220,1,33.75,33.75,2,1,0.75,91,0
20191221,0,0,0,2,1,0,0,0
20191222,0,0,0,1,1,0,0,0
20191223,1,45,45,3,1,1,4,0
20191224,0,0,0,0,0,0,0,0
20191225,0,0,0,1,1,0,0,0
20191226,2,22.5,11.25,4,1,0.25,27,0
20191227,1,0,0,1,1,0,0,0
20191228,3,0,0,5,1,0,3.6666666666667,0
20191229,2,78.75,39.375,4,1,0.875,97,0
20191230,0,0,0,3,1,0,0,0
20191231,0,0,0,1,1,0,0,0
20200101,1,0,0,2,1,0,3,0
20200102,4,90,22.5,5,1,0.5,38.25,0
20200103,1,0,0,5,1,0,0,0
20200104,1,22.5,22.5,2,1,0.5,71,0
20200105,2,0,0,2,1,0,7.5,0
20200106,2,33.75,16.875,5,1,0.375,48,0
20200107,0,0,0,3,1,0,0,0
20200108,1,0,0,2,1,0,6,0
20200109,2,45,22.5,3,1,0.5,62,0
20200110,1,0,0,1,1,0,22,0
20200111,2,45,22.5,4,1,0.5,49,0
20200112,3,45,15,4,1,0.33333333333333,32.666666666667,0
20200113,1,0,0,1,1,0,0,0
20200114,1,0,0,1,1,0,0,0
20200115,0,0,0,3,1,0,0,0
20200116,3,78.75,26.25,4,1,0.58333333333333,68,0
20200117,1,45,45,2,1,1,98,0
20200118,2,45,22.5,4,1,0.5,50.5,0
20200119,5,45,9,6,1,0.2,3.6,0
20200120,1,22.5,22.5,3,1,0.5,36,0
20200121,2,0,0,2,1,0,1,0
20200122,1,11.25,11.25,1,1,0.25,0,0
20200123,0,0,0,0,0,0,0,0
20200124,2,90,45,2,1,1,97,0
20200125,5,135,27,6,1,0.6,68.4,0
20200126,14,101.25,7.2321428571429,17,1,0.16071428571429,16,0
20200127,3,45,15,4,1,0.33333333333333,38.333333333333,0
20200128,8,101.25,12.65625,9,1,0.28125,43.875,0
20200129,25,573.75,22.95,37,1,0.51,59.92,0
20200130,24,630,26.25,47,1,0.58333333333333,60.5,0
20200131,9,213.75,23.75,11,1,0.52777777777778,55.222222222222,0
20200201,1,22.5,22.5,2,1,0.5,94,0
