"# ------------------------------------"
"Report: Top Countries"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2019-12-09 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_mnbk2t66"
"# ------------------------------------"
object_id,country,coordinates,count_plays,count_plays_25,count_plays_50,count_plays_75,count_plays_100,play_through_ratio,unique_known_users,avg_view_drop_off,count_loads
CO,Colombia,4/-73.25,216,163,150,147,41,0.18981481481481,1,0.57986111111111,329
MX,Mexico,23/-102,18,17,13,13,6,0.33333333333333,1,0.68055555555556,31
AR,Argentina,'-34/-64,17,15,12,11,4,0.23529411764706,1,0.61764705882353,26
BR,Brazil,'-10/-55,11,7,6,5,2,0.18181818181818,1,0.45454545454545,16
UY,Uruguay,'-33/-56,6,6,6,6,3,0.5,1,0.875,12
EC,Ecuador,'-1.25/-78.25,5,4,4,3,0,0,1,0.55,10
PE,Peru,'-10/-75.25,5,3,3,3,1,0.2,1,0.5,13
CL,Chile,'-30/-71,3,3,2,2,1,0.33333333333333,1,0.66666666666667,4
VE,"Venezuela, Bolivarian Republic of",8/-66,1,1,1,1,0,0,1,0.75,1
,'-,,0,0,0,0,0,0,0,0,1
BO,"Bolivia, Plurinational State of",'-17/-65,0,0,0,0,0,0,0,0,1
CR,"Costa Rica",10/-84,0,0,0,0,0,0,0,0,1
FR,France,46/2,0,0,0,0,0,0,0,0,1
DE,Germany,51.5/10.5,0,0,0,0,0,0,0,0,1
PA,Panama,9/-80,0,0,0,0,0,0,0,0,3
ES,Spain,40/-4,0,0,0,0,0,0,0,0,5
US,"United States",39.76/-98.5,0,0,0,0,0,0,0,0,5

