"# ------------------------------------"
"Report: Top Countries"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2019-10-26 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 0_78g4a9xr"
"# ------------------------------------"
object_id,country,coordinates,count_plays,count_plays_25,count_plays_50,count_plays_75,count_plays_100,play_through_ratio,unique_known_users,avg_view_drop_off,count_loads
CO,Colombia,4/-73.25,49,24,19,15,3,0.061224489795918,2,0.31122448979592,143
AR,Argentina,'-34/-64,21,11,10,8,4,0.19047619047619,1,0.39285714285714,34
MX,Mexico,23/-102,13,5,4,4,2,0.15384615384615,2,0.28846153846154,23
PE,Peru,'-10/-75.25,6,1,1,1,0,0,1,0.125,13
UY,Uruguay,'-33/-56,5,2,1,1,0,0,1,0.2,12
CL,Chile,'-30/-71,4,1,1,1,0,0,1,0.1875,7
BR,Brazil,'-10/-55,3,1,1,1,1,0.33333333333333,1,0.33333333333333,9
BO,"Bolivia, Plurinational State of",'-17/-65,2,2,2,1,1,0.5,1,0.75,2
EC,Ecuador,'-1.25/-78.25,1,0,0,0,0,0,1,0,5
,'-,,0,0,0,0,0,0,0,0,2
CA,Canada,60.10867/-113.64258,0,0,0,0,0,0,0,0,1
CR,"Costa Rica",10/-84,0,0,0,0,0,0,0,0,2
DE,Germany,51.5/10.5,0,0,0,0,0,0,0,0,2
NO,Norway,62/10,0,0,0,0,0,0,0,0,1
PT,Portugal,39.6945/-8.13057,0,0,0,0,0,0,0,0,2
ES,Spain,40/-4,0,0,0,0,0,0,0,0,1
CH,Switzerland,47.00016/8.01427,0,0,0,0,0,0,0,0,1
US,"United States",39.76/-98.5,0,0,0,1,1,0,0,0,3

