"# ------------------------------------"
"Report: Top Countries"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2020-05-11 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 1_n6j3xbus"
"# ------------------------------------"
object_id,country,coordinates,count_plays,count_plays_25,count_plays_50,count_plays_75,count_plays_100,play_through_ratio,unique_known_users,avg_view_drop_off,count_loads
PE,Peru,'-10/-75.25,298,208,196,188,82,0.2751677852349,1,0.56543624161074,532
CO,Colombia,4/-73.25,162,133,128,120,27,0.16666666666667,1,0.62962962962963,304
MX,Mexico,23/-102,23,22,22,21,13,0.56521739130435,1,0.84782608695652,48
BR,Brazil,'-10/-55,11,9,9,9,2,0.18181818181818,1,0.65909090909091,15
AR,Argentina,'-34/-64,8,4,4,4,2,0.25,1,0.4375,15
UY,Uruguay,'-33/-56,6,4,4,4,1,0.16666666666667,1,0.54166666666667,16
CL,Chile,'-30/-71,4,2,2,2,1,0.25,1,0.4375,10
EC,Ecuador,'-1.25/-78.25,3,2,2,2,0,0,1,0.5,6
BO,"Bolivia, Plurinational State of",'-17/-65,1,1,0,0,0,0,1,0.25,1
CR,"Costa Rica",10/-84,1,1,1,1,0,0,1,0.75,2
GT,Guatemala,15.5/-90.25,1,1,1,1,1,1,1,1,1
PR,"Puerto Rico",18.24829/-66.49989,1,0,0,0,0,0,1,0,1
,'-,,0,0,0,0,0,0,0,0,1
AU,Australia,'-25/135,0,0,0,0,0,0,0,0,4
AT,Austria,47.33333/13.33333,0,0,0,0,0,0,0,0,1
BH,Bahrain,26.03333/50.55,0,0,0,0,0,0,0,0,1
BE,Belgium,50.75/4.5,0,0,0,0,0,0,0,0,4
CA,Canada,60.10867/-113.64258,0,0,0,0,0,0,0,0,7
DK,Denmark,56/10,0,0,0,0,0,0,0,0,1
FR,France,46/2,0,0,0,0,0,0,0,0,1
DE,Germany,51.5/10.5,0,0,0,0,0,0,0,0,4
IT,Italy,42.83333/12.83333,0,0,0,0,0,0,0,0,5
NL,Netherlands,52.25/5.75,0,0,0,0,0,0,0,0,4
RU,"Russian Federation",60/100,0,0,0,0,0,0,0,0,1
ES,Spain,40/-4,0,0,0,0,0,0,0,0,13
SE,Sweden,62/15,0,0,0,0,0,0,0,0,1
CH,Switzerland,47.00016/8.01427,0,0,0,0,0,0,0,0,1
UK,"United Kingdom",54.75844/-2.69531,0,0,0,0,0,0,0,0,5
US,"United States",39.76/-98.5,0,0,0,0,0,0,0,0,27

