"# ------------------------------------"
"Report: Video Performance"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2020-04-14 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"Filtered entries: 1_hx4vh1v6"
"# ------------------------------------"
id,count_plays,sum_time_viewed,avg_time_viewed,count_loads,unique_known_users,avg_view_drop_off,avg_completion_rate,count_viral
20200414,0,0,0,6,2,0,0,0
20200415,0,0,0,3,1,0,0,0
20200416,0,0,0,0,0,0,0,0
20200417,83,437.6,5.2722891566265,157,1,0.68072289156627,65.493975903614,0
20200418,110,567.3,5.1572727272727,199,1,0.66590909090909,64.9,0
20200419,89,431.78333333333,4.8514981273408,158,1,0.62640449438202,65.280898876404,0
20200420,82,367.78333333333,4.485162601626,157,1,0.57926829268293,58.40243902439,0
20200421,45,220.75,4.9055555555556,95,1,0.63333333333333,64.666666666667,0
20200422,42,218.83333333333,5.2103174603175,67,1,0.67261904761905,68.809523809524,0
20200423,31,139.4,4.4967741935484,51,1,0.58064516129032,56.290322580645,0
20200424,40,183.9,4.5975,71,1,0.59375,61.725,0
20200425,42,191.73333333333,4.5650793650794,68,1,0.58928571428571,63.928571428571,0
20200426,49,189.71666666667,3.871768707483,89,1,0.5,54.061224489796,0
20200427,42,193.58333333333,4.609126984127,108,1,0.5952380952381,53.119047619048,0
20200428,27,116.16666666667,4.3024691358025,48,1,0.55555555555556,53.259259259259,0
20200429,29,141.38333333333,4.8752873563218,49,1,0.62931034482759,62.48275862069,0
20200430,23,116.18333333333,5.0514492753623,41,1,0.65217391304348,66.826086956522,0
20200501,30,141.35,4.7116666666667,48,1,0.60833333333333,64.9,0
20200502,35,199.43333333333,5.6980952380952,46,1,0.73571428571429,75.285714285714,0
20200503,25,141.38333333333,5.6553333333333,38,1,0.73,75.24,0
20200504,31,183.9,5.9322580645161,53,1,0.76612903225806,80.451612903226,0
20200505,29,181.98333333333,6.2752873563218,41,1,0.81034482758621,85.275862068966,0
20200506,36,197.41666666667,5.4837962962963,52,1,0.70833333333333,76.138888888889,0
20200507,17,69.683333333333,4.0990196078431,24,1,0.52941176470588,57.117647058824,0
20200508,15,92.95,6.1966666666667,28,1,0.8,85.066666666667,0
20200509,16,98.783333333333,6.1739583333333,29,1,0.796875,81.125,0
20200510,18,89.083333333333,4.9490740740741,27,1,0.63888888888889,60.888888888889,0
20200511,17,79.383333333333,4.6696078431373,24,1,0.60294117647059,60.176470588235,0
20200512,24,108.4,4.5166666666667,54,1,0.58333333333333,60.166666666667,0
20200513,29,110.33333333333,3.8045977011494,42,1,0.49137931034483,49.896551724138,0
20200514,23,118.11666666667,5.1355072463768,45,1,0.66304347826087,70.478260869565,0
20200515,16,71.65,4.478125,24,1,0.578125,53,0
20200516,16,77.45,4.840625,30,1,0.625,54,0
20200517,23,79.366666666667,3.4507246376812,50,1,0.44565217391304,43.130434782609,0
20200518,11,65.833333333333,5.9848484848485,20,1,0.77272727272727,79.181818181818,0
20200519,10,48.383333333333,4.8383333333333,15,1,0.625,64.3,0
20200520,8,44.516666666667,5.5645833333333,10,1,0.71875,63.375,0
20200521,5,34.85,6.97,7,1,0.9,95.8,0
20200522,10,48.416666666667,4.8416666666667,15,1,0.625,53.9,0
20200523,7,29.016666666667,4.1452380952381,9,1,0.53571428571429,55.857142857143,0
20200524,9,48.4,5.3777777777778,18,1,0.69444444444444,77.111111111111,0
20200525,11,44.533333333333,4.0484848484848,18,1,0.52272727272727,59.636363636364,0
20200526,13,48.383333333333,3.7217948717949,23,1,0.48076923076923,48.692307692308,0
20200527,3,21.3,7.1,6,1,0.91666666666667,95,0
20200528,7,40.633333333333,5.8047619047619,10,1,0.75,74.428571428571,0
20200529,7,29.033333333333,4.147619047619,11,1,0.53571428571429,54.857142857143,0
20200530,10,58.1,5.81,17,1,0.75,90.2,0
20200531,3,9.6833333333333,3.2277777777778,9,1,0.41666666666667,54.333333333333,0
